date,symbol,open,high,low,close,volume,open_interest
2017-08-16,IC01.CFE,6248.8,6271.6,6204.0,6259.8,6141,17793
2017-08-16,IC02.CFE,6110.0,6137.6,6064.8,6122.8,421,3631
2017-08-16,IC03.CFE,5985.0,6016.0,5961.8,6009.8,91,633
2017-08-17,IC00.CFE,6327.0,6375.0,6296.6,6365.8,8103,4764
2017-08-17,IC01.CFE,6277.2,6325.0,6245.0,6319.4,9925,22788
2017-08-17,IC02.CFE,6138.8,6180.0,6109.0,6175.0,643,3815
2017-08-17,IC03.CFE,6035.0,6058.4,5996.8,6058.0,96,658
2017-08-18,IC00.CFE,6338.8,6367.0,6328.0,6349.8,4222,0
2017-08-18,IC01.CFE,6295.2,6317.4,6272.2,6286.6,11687,24954
2017-08-18,IC02.CFE,6140.2,6174.8,6135.2,6153.0,555,3947
2017-08-18,IC03.CFE,6018.6,6049.2,6017.4,6039.0,97,671
2017-08-21,IC00.CFE,6300.4,6369.8,6300.2,6358.8,9814,25433
2017-08-21,IC01.CFE,6276.2,6325.0,6269.0,6311.0,215,213
2017-08-21,IC02.CFE,6174.0,6227.0,6172.0,6211.4,395,3963
2017-08-21,IC03.CFE,6058.0,6108.8,6058.0,6100.4,83,685
2017-08-22,IC00.CFE,6361.4,6361.4,6311.2,6336.0,9826,25462
2017-08-22,IC01.CFE,6318.2,6318.2,6269.0,6290.0,330,318
2017-08-22,IC02.CFE,6222.2,6222.2,6176.6,6200.8,395,3953
2017-08-22,IC03.CFE,6081.2,6093.0,6065.0,6087.4,93,712
2017-08-23,IC00.CFE,6330.0,6343.0,6245.8,6285.2,11679,26144
2017-08-23,IC01.CFE,6277.0,6291.2,6203.6,6241.0,255,378
2017-08-23,IC02.CFE,6190.0,6195.0,6113.8,6149.2,453,4056
2017-08-23,IC03.CFE,6075.0,6088.6,6020.2,6052.4,89,740
2017-08-24,IC00.CFE,6295.2,6306.0,6238.0,6248.6,10851,25991
2017-08-24,IC01.CFE,6280.0,6280.0,6193.6,6200.2,232,416
2017-08-24,IC02.CFE,6160.0,6164.6,6101.8,6112.2,329,4110
2017-08-24,IC03.CFE,6053.4,6057.2,6000.6,6009.6,77,760
2017-08-25,IC00.CFE,6254.6,6354.2,6254.4,6327.2,12426,25732
2017-08-25,IC01.CFE,6214.8,6309.4,6208.2,6285.2,456,625
2017-08-25,IC02.CFE,6124.8,6226.0,6117.8,6204.6,697,4351
2017-08-25,IC03.CFE,6020.0,6133.8,6020.0,6110.4,140,784
2017-08-28,IC00.CFE,6340.4,6455.2,6331.4,6417.8,12706,26082
2017-08-28,IC01.CFE,6297.8,6413.0,6288.4,6376.8,721,980
2017-08-28,IC02.CFE,6214.8,6329.8,6205.0,6295.8,915,4687
2017-08-28,IC03.CFE,6114.0,6222.8,6110.4,6198.8,201,860
2017-08-29,IC00.CFE,6418.0,6436.0,6368.4,6389.8,9490,24580
2017-08-29,IC01.CFE,6385.4,6399.6,6331.4,6343.4,615,1164
2017-08-29,IC02.CFE,6295.8,6317.4,6254.4,6275.8,665,4779
2017-08-29,IC03.CFE,6208.0,6231.2,6170.0,6179.0,127,894
2017-08-30,IC00.CFE,6391.2,6459.8,6386.0,6433.6,9523,24556
2017-08-30,IC01.CFE,6348.8,6409.4,6343.6,6390.6,582,1280
2017-08-30,IC02.CFE,6275.0,6334.4,6271.0,6315.8,663,4928
2017-08-30,IC03.CFE,6188.0,6225.8,6188.0,6210.0,163,907
2017-08-31,IC00.CFE,6441.4,6474.6,6423.0,6464.2,9403,24031
2017-08-31,IC01.CFE,6397.2,6428.8,6381.0,6419.8,520,1436
2017-08-31,IC02.CFE,6321.8,6346.0,6298.8,6337.2,646,5068
2017-08-31,IC03.CFE,6222.8,6246.6,6196.6,6230.6,112,940
2017-09-01,IC00.CFE,6474.4,6548.0,6444.8,6528.6,11171,24156
2017-09-01,IC01.CFE,6423.2,6500.4,6399.6,6489.2,551,1558
2017-09-01,IC02.CFE,6346.0,6433.0,6331.4,6402.6,809,5269
2017-09-01,IC03.CFE,6242.0,6319.4,6232.4,6317.0,140,967
2017-09-04,IC00.CFE,6536.2,6561.0,6510.8,6548.6,9401,22959
2017-09-04,IC01.CFE,6488.8,6519.0,6475.8,6507.2,620,1780
2017-09-04,IC02.CFE,6414.0,6450.0,6400.4,6428.2,836,5437
2017-09-04,IC03.CFE,6302.0,6349.8,6296.2,6321.2,183,1029
2017-09-05,IC00.CFE,6548.8,6576.0,6516.4,6569.2,9619,22710
2017-09-05,IC01.CFE,6505.8,6531.4,6470.4,6525.4,783,2162
2017-09-05,IC02.CFE,6424.4,6446.0,6396.6,6436.6,715,5634
2017-09-05,IC03.CFE,6322.4,6335.6,6293.6,6335.6,126,1042
2017-09-06,IC00.CFE,6554.8,6612.0,6544.0,6593.6,9571,22020
2017-09-06,IC01.CFE,6522.2,6566.2,6500.8,6551.0,1007,2603
2017-09-06,IC02.CFE,6429.8,6481.6,6418.0,6466.6,616,5761
2017-09-06,IC03.CFE,6317.6,6375.0,6315.4,6364.8,107,1056
2017-09-07,IC00.CFE,6595.2,6616.0,6535.8,6549.4,9524,21708
2017-09-07,IC01.CFE,6553.6,6570.0,6493.4,6507.8,1387,3296
2017-09-07,IC02.CFE,6465.0,6489.8,6416.0,6428.8,563,5793
2017-09-07,IC03.CFE,6374.2,6377.0,6320.0,6327.4,109,1055
2017-09-08,IC00.CFE,6556.6,6613.2,6522.0,6553.2,10936,20747
2017-09-08,IC01.CFE,6514.8,6568.0,6479.6,6512.8,1404,3913
2017-09-08,IC02.CFE,6428.8,6482.0,6388.2,6421.2,944,6037
2017-09-08,IC03.CFE,6343.2,6371.0,6278.4,6312.0,153,1098
2017-09-11,IC00.CFE,6562.0,6662.2,6556.2,6661.8,11705,18520
2017-09-11,IC01.CFE,6510.0,6622.0,6507.0,6618.8,2690,5678
2017-09-11,IC02.CFE,6421.4,6533.8,6421.4,6533.6,1136,6407
2017-09-11,IC03.CFE,6312.0,6430.0,6311.0,6424.2,218,1138
2017-09-12,IC00.CFE,6671.2,6727.8,6616.8,6646.6,12628,15515
2017-09-12,IC01.CFE,6622.0,6682.0,6575.4,6603.6,4124,8271
2017-09-12,IC02.CFE,6545.0,6606.2,6500.4,6522.0,1030,6677
2017-09-12,IC03.CFE,6440.0,6506.0,6412.0,6447.6,171,1188
2017-09-13,IC00.CFE,6641.4,6690.6,6622.4,6681.6,10725,11482
2017-09-13,IC01.CFE,6605.8,6651.0,6581.0,6639.0,4693,10927
2017-09-13,IC02.CFE,6526.8,6573.4,6506.8,6564.8,1028,7024
2017-09-13,IC03.CFE,6439.6,6484.0,6418.4,6465.6,101,1185
2017-09-14,IC00.CFE,6689.0,6714.0,6652.4,6681.4,8593,6345
2017-09-14,IC01.CFE,6634.8,6670.8,6611.2,6639.4,8058,16238
2017-09-14,IC02.CFE,6537.0,6596.8,6536.0,6558.2,1214,7396
2017-09-14,IC03.CFE,6447.0,6495.6,6440.6,6455.8,122,1206
2017-09-15,IC00.CFE,6675.8,6676.0,6605.6,6629.2,5483,0
2017-09-15,IC01.CFE,6632.2,6635.0,6554.0,6588.0,11508,19881
2017-09-15,IC02.CFE,6562.4,6562.4,6485.2,6525.6,958,7603
2017-09-15,IC03.CFE,6455.8,6456.0,6388.2,6419.2,129,1240
2017-09-18,IC00.CFE,6577.0,6678.6,6577.0,6678.4,11344,20556
2017-09-18,IC01.CFE,6540.0,6670.4,6535.0,6641.6,199,194
2017-09-18,IC02.CFE,6527.2,6606.6,6510.2,6606.6,951,7512
2017-09-18,IC03.CFE,6434.0,6514.2,6434.0,6508.0,243,1359
2017-09-19,IC00.CFE,6684.8,6695.6,6579.2,6600.6,11034,20572
2017-09-19,IC01.CFE,6649.8,6649.8,6540.0,6569.8,348,337
2017-09-19,IC02.CFE,6619.8,6621.4,6518.8,6542.0,778,7376
2017-09-19,IC03.CFE,6527.6,6535.4,6458.8,6472.0,345,1500
2017-09-20,IC00.CFE,6606.2,6687.0,6589.6,6668.6,10902,20749
2017-09-20,IC01.CFE,6575.0,6655.8,6564.6,6641.2,456,492
2017-09-20,IC02.CFE,6542.0,6636.4,6537.2,6618.2,680,7398
2017-09-20,IC03.CFE,6466.4,6566.6,6465.2,6549.0,267,1551
2017-09-21,IC00.CFE,6673.8,6678.0,6574.0,6594.6,11326,20548
