family,form,k,kou_jing,ic,n_windows,ic_2020-2022,ic_2023-2026
R2,R2_lb20zw60,5,1000,0.0138940195039636,281,0.07141306968893175,0.01196927803379416
R2,R2_lb20zw60,5,blend,0.03601227742037107,281,0.09326822602684672,0.03521966205837173
R2,R2_lb20zw60,10,500,0.08540126833443593,140,0.21690140845070421,-0.08388104051774069
R2,R2_lb20zw60,10,1000,0.019343975513043996,140,0.13598256203890002,-0.09768074337085442
R2,R2_lb20zw60,10,blend,0.04795539034603831,140,0.1795103957075788,-0.0806073883810531
R2,R2_lb20zw60,20,500,0.03503868321924775,69,0.3593837535014006,0.07541713014460512
R2,R2_lb20zw60,20,1000,-0.007581362636072897,69,0.3403361344537815,0.10700778642936595
R2,R2_lb20zw60,20,blend,0.019857689603400574,69,0.36050420168067226,0.0771968854282536
R2,R2_lb20zw60,40,500,0.1764705882352941,34,0.13480392156862747,0.1912087912087912
R2,R2_lb20zw60,40,1000,0.02918258212375859,34,0.06372549019607844,0.0989010989010989
R2,R2_lb20zw60,40,blend,0.1016042780748663,34,0.06862745098039216,0.1252747252747253
R2,R2_lb20zw250,5,500,0.07959986453826563,281,0.16112033747326318,0.04983717357910906
R2,R2_lb20zw250,5,1000,0.056919098165585574,281,0.15613936861260067,0.013708141321044545
R2,R2_lb20zw250,5,blend,0.0709087792386854,281,0.15060225245453746,0.038445468509984634
R2,R2_lb20zw250,10,500,0.10804357379060708,140,0.23972675290936002,-0.0036010173503563244
R2,R2_lb20zw250,10,1000,0.05707445355865792,140,0.20410633708158504,-0.005313389237239052
R2,R2_lb20zw250,10,blend,0.08024402911700074,140,0.21683758836603692,0.016846717534184482
R2,R2_lb20zw250,20,500,0.10755206589274029,69,0.33588776789950864,0.06874304783092325
R2,R2_lb20zw250,20,1000,0.07839285456759679,69,0.35425000920604194,0.13058954393770855
R2,R2_lb20zw250,20,blend,0.10159933745010734,69,0.3567924733869466,0.07853170189098999
R2,R2_lb20zw250,40,500,0.28004696583349853,34,0.28730509037685714,-0.06373626373626373
R2,R2_lb20zw250,40,1000,0.1469174180712938,34,0.17509580615241938,0.054945054945054944
R2,R2_lb20zw250,40,blend,0.20038371515876152,34,0.250313018654515,-0.006593406593406593
R3,R3_lb5zw60,5,500,0.012176657981218442,273,0.03217249764530388,0.07330307546402925
R3,R3_lb5zw60,5,1000,-0.02007069481438035,273,-0.017703916568090394,0.040285869123425
R3,R3_lb5zw60,5,blend,-0.006099240502968267,273,0.00657114723923446,0.05243869394391002
R3,R3_lb5zw60,10,500,0.070260728533146,136,0.16987063943118294,0.0360100027785496
R3,R3_lb5zw60,10,1000,0.030638582103609938,136,0.08091952481442,0.0003889969435954432
R3,R3_lb5zw60,10,blend,0.04543784739252274,136,0.1295450163108597,0.009335926646290639
R3,R3_lb5zw60,20,500,-0.009857229799654525,67,0.3492997198879552,-0.13743842364532016
R3,R3_lb5zw60,20,1000,-0.07985553372108788,67,0.3240896358543418,-0.20443349753694576
R3,R3_lb5zw60,20,blend,-0.03926928794680183,67,0.3456582633053222,-0.1532019704433497
R3,R3_lb5zw60,40,500,-0.14538770053475936,33,0.32352941176470595,-0.12087912087912088
R3,R3_lb5zw60,40,1000,-0.2540106951871658,33,0.37500000000000006,-0.3274725274725274
R3,R3_lb5zw60,40,blend,-0.20086898395721925,33,0.30637254901960786,-0.26153846153846155
R3,R3_lb5zw250,5,500,0.016481674704940424,273,-0.0032669797994863644,0.09964097005825766
R3,R3_lb5zw250,5,1000,-0.02425226617058794,273,-0.03387149255951262,0.041511990245224215
R3,R3_lb5zw250,5,blend,-0.004953256674532412,273,-0.018469434427520172,0.06878471751795148
R3,R3_lb5zw250,10,500,0.03843629247197398,136,0.05677400896051657,0.0058349541539316485
R3,R3_lb5zw250,10,1000,0.0023225863457767585,136,0.016138632110260547,-0.048569046957488204
R3,R3_lb5zw250,10,blend,0.0170594086694952,136,0.03567487098057595,-0.02823006390664074
R3,R3_lb5zw250,20,500,-0.051367948890975804,67,0.2061777431470813,-0.12857142857142856
R3,R3_lb5zw250,20,1000,-0.11102040531637467,67,0.22941702141245673,-0.2009852216748768
R3,R3_lb5zw250,20,blend,-0.07674175457611696,67,0.23196767390499795,-0.15123152709359602
R3,R3_lb5zw250,40,500,-0.10475197995033228,33,0.2605659612451742,-0.0857142857142857
R3,R3_lb5zw250,40,1000,-0.2353148477604264,33,0.2829001864947606,-0.3010989010989011
R3,R3_lb5zw250,40,blend,-0.15804978734906133,33,0.2556028000785995,-0.2351648351648352
R3,R3_lb20zw60,5,500,0.03131073216715728,273,0.11237666541665732,0.05897574854355777
R3,R3_lb20zw60,5,1000,-0.003030451378420942,273,0.053441311828807715,0.025375965316352788
R3,R3_lb20zw60,5,blend,0.015599923804565102,273,0.0805538251473861,0.040705866413765064
R3,R3_lb20zw60,10,500,0.11369957780959701,136,0.29636398696536953,-0.05607113086968604
R3,R3_lb20zw60,10,1000,0.04666873406065282,136,0.18802974539347406,-0.06168380105584886
R3,R3_lb20zw60,10,blend,0.07358603088852067,136,0.2546299013327356,-0.06685190330647403
R3,R3_lb20zw60,20,500,-0.008420548533308116,67,0.4005602240896359,-0.0985221674876847
R3,R3_lb20zw60,20,1000,-0.059941535057008485,67,0.3644257703081233,-0.0921182266009852
R3,R3_lb20zw60,20,blend,-0.022348375254277464,67,0.3966386554621849,-0.09507389162561573
R3,R3_lb20zw60,40,500,-0.19251336898395724,33,0.20098039215686278,-0.06373626373626373
R3,R3_lb20zw60,40,1000,-0.25167112299465244,33,0.22058823529411767,-0.2351648351648352
R3,R3_lb20zw60,40,blend,-0.21323529411764705,33,0.1593137254901961,-0.221978021978022
R3,R3_lb20zw250,5,500,0.023945866963828,273,0.04233631054371794,0.12740143611976695
R3,R3_lb20zw250,5,1000,-0.015269682475884191,273,0.007132770110848659,0.07763175721446956
R3,R3_lb20zw250,5,blend,0.005527607311142273,273,0.022510386997458415,0.10335997832272047
R3,R3_lb20zw250,10,500,0.06630254471533055,136,0.12703651675845093,0.04451236454570715
R3,R3_lb20zw250,10,1000,0.009091813285579257,136,0.06893744116151296,-0.010391775493192555
R3,R3_lb20zw250,10,blend,0.03292762475382374,136,0.09944794986680552,0.013559322033898306
R3,R3_lb20zw250,20,500,0.0012606859291513345,67,0.22941702141245673,0.008866995073891625
R3,R3_lb20zw250,20,1000,-0.04754586932799318,67,0.2727781137856573,0.023152709359605905
R3,R3_lb20zw250,20,blend,-0.012306695975048739,67,0.28326412958832675,0.014285714285714282
R3,R3_lb20zw250,40,500,-0.06687366400029213,33,0.2903449282446227,0.02417582417582418
R3,R3_lb20zw250,40,1000,-0.10424917044657067,33,0.28786334766133537,-0.1384615384615385
R3,R3_lb20zw250,40,blend,-0.07592423506800082,33,0.27545544474489847,-0.1252747252747253
R4,R4_lb5zw60,5,500,-0.11523777335168782,281,-0.16194437746161885,-0.020294930875576035
R4,R4_lb5zw60,5,1000,-0.15855375427867746,281,-0.2234547062133269,-0.04662365591397849
R4,R4_lb5zw60,5,blend,-0.1365869357122295,281,-0.2023752109959007,-0.03670046082949308
R4,R4_lb5zw60,10,500,-0.2328230921177701,140,-0.29332662642521795,0.005061569842109239
