date,divergent,pos_incumbent,pos_slope20,pos_fused,abs_incumbent,abs_slope20,follows,larger_abs_leg,fwd_ret_t1,window
2014-06-23,True,1,0,1,0.5917835351780971,0.0,incumbent_ew,incumbent_ew,0.006924153376761666,2014-2020
2014-06-24,True,1,0,1,0.5466995489896375,0.0,incumbent_ew,incumbent_ew,-0.005169936052816293,2014-2020
2014-06-25,True,1,0,1,0.5062283249633218,0.0,incumbent_ew,incumbent_ew,0.01450042134296603,2014-2020
2014-06-26,True,1,0,1,0.4695935360799055,0.0,incumbent_ew,incumbent_ew,0.007311437652405495,2014-2020
2014-06-27,True,1,0,1,0.41633938934127873,0.0,incumbent_ew,incumbent_ew,0.010259767303310241,2014-2020
2014-06-30,True,1,0,1,0.3444467250805728,0.0,incumbent_ew,incumbent_ew,0.0066255091510485364,2014-2020
2014-07-01,True,1,0,1,0.3071450772505483,0.0,incumbent_ew,incumbent_ew,0.006520284848766433,2014-2020
2014-07-02,True,1,0,1,0.2522641602090727,0.0,incumbent_ew,incumbent_ew,0.008625491884159953,2014-2020
2014-07-03,True,1,0,1,0.20190527047124468,0.0,incumbent_ew,incumbent_ew,-0.0021907448546927277,2014-2020
2014-07-04,True,1,0,1,0.16443592695317186,0.0,incumbent_ew,incumbent_ew,0.0005647369125530988,2014-2020
2014-07-07,True,1,0,1,0.1559587795117129,0.0,incumbent_ew,incumbent_ew,0.007565678259433883,2014-2020
2014-07-08,True,1,0,1,0.12032857245871856,0.0,incumbent_ew,incumbent_ew,-0.014823099033533294,2014-2020
2014-07-09,True,1,0,1,0.07539271592621087,0.0,incumbent_ew,incumbent_ew,-0.00019093305016798512,2014-2020
2014-07-10,False,0,0,0,0.008293990023959141,0.0,incumbent_ew,incumbent_ew,0.00905891765850464,2014-2020
2014-07-11,False,0,0,0,0.0881966300730772,0.0,incumbent_ew,incumbent_ew,0.013521661539795948,2014-2020
2014-07-14,False,0,0,0,0.18840088200282512,0.0,incumbent_ew,incumbent_ew,-0.002942159157792945,2014-2020
2014-07-15,False,0,0,0,0.29431671922453234,0.0,incumbent_ew,incumbent_ew,-0.01053278922903661,2014-2020
2014-07-16,False,0,0,0,0.4050119005529229,0.0,incumbent_ew,incumbent_ew,-0.005559515929401571,2014-2020
2014-07-17,False,0,0,0,0.45200372719813553,0.0,incumbent_ew,incumbent_ew,0.0016669126788744215,2014-2020
2014-07-18,False,0,0,0,0.5083371422246031,0.0,incumbent_ew,incumbent_ew,-0.002793073458590145,2014-2020
2014-07-21,False,0,0,0,0.5675633925167327,0.0,incumbent_ew,incumbent_ew,0.013577166494181392,2014-2020
2014-07-22,False,0,0,0,0.5993725072840967,0.0,incumbent_ew,incumbent_ew,-0.010174027780357087,2014-2020
2014-07-23,False,0,0,0,0.6194171207871858,0.0,incumbent_ew,incumbent_ew,-0.004229928722890908,2014-2020
2014-07-24,False,0,0,0,0.6672116811529275,0.0,incumbent_ew,incumbent_ew,0.008514535176631144,2014-2020
2014-07-25,False,0,0,0,0.6962752563266015,0.0,incumbent_ew,incumbent_ew,0.018233878073058096,2014-2020
2014-07-28,False,0,0,0,0.7123916932612827,0.5562622596360179,incumbent_ew,incumbent_ew,0.010969339241061915,2014-2020
2014-07-29,False,0,0,0,0.7179413152457216,0.5473152833413366,incumbent_ew,incumbent_ew,0.005013842766420251,2014-2020
2014-07-30,False,0,0,0,0.6881099466083331,0.5211203500654215,incumbent_ew,incumbent_ew,0.007653378369358199,2014-2020
2014-07-31,False,0,0,0,0.6439564182103202,0.48560121936872913,incumbent_ew,incumbent_ew,-0.011318912691603511,2014-2020
2014-08-01,False,0,0,0,0.5972722316811424,0.42381635913133064,incumbent_ew,incumbent_ew,0.014645665744457137,2014-2020
2014-08-04,False,0,0,0,0.5630158096709492,0.36822367122421734,incumbent_ew,incumbent_ew,0.00721392775474583,2014-2020
2014-08-05,False,0,0,0,0.53662379731165,0.2922800083542467,incumbent_ew,incumbent_ew,0.005454043188466318,2014-2020
2014-08-06,False,0,0,0,0.515881167817166,0.2167814213560673,incumbent_ew,incumbent_ew,-0.008165965446330803,2014-2020
2014-08-07,False,0,0,0,0.4669809560799578,0.12649243683952918,incumbent_ew,incumbent_ew,0.007610655810413869,2014-2020
2014-08-08,False,0,0,0,0.3995198641222148,0.0025328948240427654,incumbent_ew,incumbent_ew,0.015207293584823756,2014-2020
2014-08-11,True,0,1,0,0.32190529680565233,0.11219772376707729,incumbent_ew,incumbent_ew,0.006068073297509247,2014-2020
2014-08-12,True,0,1,0,0.22337542310377173,0.19068667908915068,incumbent_ew,incumbent_ew,9.065291697590849e-05,2014-2020
2014-08-13,True,0,1,1,0.11475521327808849,0.23118760037293268,slope20,slope20,-0.004894023765832756,2014-2020
2014-08-14,True,0,1,1,0.025803932219902903,0.2735708567263163,slope20,slope20,0.011082001971276956,2014-2020
2014-08-15,False,1,1,1,0.04322234620554794,0.3125899107207522,incumbent_ew,slope20,0.01512485350536985,2014-2020
2014-08-18,False,1,1,1,0.11119883800997869,0.3685040268023024,incumbent_ew,slope20,0.003707282088196262,2014-2020
2014-08-19,False,1,1,1,0.1652440954102381,0.4322180417463654,incumbent_ew,slope20,-0.001027505840710985,2014-2020
2014-08-20,False,1,1,1,0.214249360203205,0.45011087285434725,incumbent_ew,slope20,0.0012243698964383154,2014-2020
2014-08-21,False,1,1,1,0.31694570959626317,0.4473166244772739,incumbent_ew,slope20,0.007219478466958029,2014-2020
2014-08-22,False,1,1,1,0.4102533168094199,0.43375739362768423,incumbent_ew,slope20,-0.0073833888918851676,2014-2020
2014-08-25,False,1,1,1,0.4964878586769146,0.39546124168403374,incumbent_ew,incumbent_ew,-0.018730155882138055,2014-2020
2014-08-26,False,1,1,1,0.5436904300296194,0.3761727066260735,incumbent_ew,incumbent_ew,0.004308192509191233,2014-2020
2014-08-27,False,1,1,1,0.5530626703482235,0.36585294938822566,incumbent_ew,incumbent_ew,-0.008838510478429151,2014-2020
2014-08-28,False,1,1,1,0.5146408347588934,0.3503379381178923,incumbent_ew,incumbent_ew,0.011051875272201972,2014-2020
2014-08-29,False,1,1,1,0.46393025162495916,0.3390143795198095,incumbent_ew,incumbent_ew,0.018344649304355087,2014-2020
2014-09-01,False,1,1,1,0.4311475189928798,0.2979849817570166,incumbent_ew,incumbent_ew,0.015031590777552561,2014-2020
2014-09-02,False,1,1,1,0.4159290199610302,0.2518815470131954,incumbent_ew,incumbent_ew,0.007475174229734982,2014-2020
2014-09-03,False,1,1,1,0.44534548886312814,0.21639179847054849,incumbent_ew,incumbent_ew,0.009184259060559197,2014-2020
2014-09-04,False,1,1,1,0.43764251462952614,0.1896930862954922,incumbent_ew,incumbent_ew,0.0036252410695373216,2014-2020
2014-09-05,False,1,1,1,0.40121866024125835,0.18093210016730174,incumbent_ew,incumbent_ew,0.006836388074534239,2014-2020
2014-09-09,False,1,1,1,0.349038819569,0.16058171040328195,incumbent_ew,incumbent_ew,0.00430994924657413,2014-2020
2014-09-10,False,1,1,1,0.30016153028318304,0.1319242412939909,incumbent_ew,incumbent_ew,-0.0011610195720067606,2014-2020
2014-09-11,False,1,1,1,0.24264855263122964,0.10998437419170935,incumbent_ew,incumbent_ew,0.01175040107491132,2014-2020
2014-09-12,False,1,1,1,0.1836040148359913,0.06448613956179321,incumbent_ew,incumbent_ew,0.01044542354072775,2014-2020
2014-09-15,False,1,1,1,0.15236413750135294,0.013715402610833503,incumbent_ew,incumbent_ew,-0.03410892214255001,2014-2020
2014-09-16,True,1,0,1,0.1070728888561147,0.03142772934854685,incumbent_ew,incumbent_ew,0.007870149030948292,2014-2020
2014-09-17,True,1,0,0,0.04187267833869571,0.06549021210820946,slope20,slope20,0.007487951719952424,2014-2020
2014-09-18,True,1,0,0,0.0008263670125326569,0.09686274933047674,slope20,slope20,0.009926353542863975,2014-2020
2014-09-19,False,0,0,0,0.04833733444141849,0.08896452169392309,incumbent_ew,slope20,-0.010985518397734484,2014-2020
2014-09-22,False,0,0,0,0.06024641724862033,0.046112028733725136,incumbent_ew,incumbent_ew,0.013673760822667913,2014-2020
2014-09-23,False,0,0,0,0.03298968646324348,0.01895957329067005,incumbent_ew,incumbent_ew,0.013127408193015389,2014-2020
2014-09-24,True,1,0,0,0.0010986023576915777,0.005120820639848145,slope20,slope20,0.00037770106633661094,2014-2020
2014-09-25,False,1,1,1,0.002683946562023047,0.017382258354602484,incumbent_ew,slope20,0.003713172607475501,2014-2020
2014-09-26,False,1,1,1,0.018335438813693584,0.021706707163065456,incumbent_ew,slope20,0.010290663899527708,2014-2020
2014-09-29,False,1,1,1,0.004043809031895046,0.024876617922937327,incumbent_ew,slope20,0.007833721603188848,2014-2020
2014-09-30,True,0,1,1,0.010686801939420103,0.05078536004160453,slope20,slope20,0.015041072181702475,2014-2020
2014-10-08,False,1,1,1,0.030823265165257258,0.11340792514012385,incumbent_ew,slope20,0.0029222189887050387,2014-2020
2014-10-09,False,1,1,1,0.02036283702956656,0.17339180518923647,incumbent_ew,slope20,-0.003918952995572711,2014-2020
2014-10-10,False,1,1,1,0.0436944039282807,0.22468222435809743,incumbent_ew,slope20,5.8250306626594917e-05,2014-2020
2014-10-13,False,1,1,1,0.07913097279978044,0.24313367365471272,incumbent_ew,slope20,-0.0026847645265060116,2014-2020
2014-10-14,False,1,1,1,0.09363898522901049,0.23849598322632948,incumbent_ew,slope20,0.0036921596669263756,2014-2020
2014-10-15,False,1,1,1,0.05666949595473873,0.24262285491384208,incumbent_ew,slope20,-0.015241574773739275,2014-2020
2014-10-16,False,1,1,1,0.03434467792292112,0.24144001783632646,incumbent_ew,slope20,-0.010838271036983038,2014-2020
2014-10-17,False,1,1,1,0.0370541718196336,0.24398479596951655,incumbent_ew,slope20,0.014949177083860787,2014-2020
2014-10-20,False,1,1,1,0.05383459831558386,0.25588666195437476,incumbent_ew,slope20,-0.008763359485162991,2014-2020
2014-10-21,False,1,1,1,0.11197624503838008,0.24346998683342067,incumbent_ew,slope20,-0.012165522806277473,2014-2020
2014-10-22,False,1,1,1,0.17211659615591873,0.20665714953667405,incumbent_ew,slope20,-0.015340816733632245,2014-2020
2014-10-23,False,1,1,1,0.23669222379103458,0.1866790144933912,incumbent_ew,incumbent_ew,0.0030083002170663287,2014-2020
2014-10-24,False,1,1,1,0.26025422889115707,0.16696560244520325,incumbent_ew,incumbent_ew,0.009111881356602125,2014-2020
2014-10-27,False,1,1,1,0.2521228121289668,0.18183913079626457,incumbent_ew,incumbent_ew,0.025055512816115955,2014-2020
2014-10-28,False,1,1,1,0.16745965734240448,0.16521733003700254,incumbent_ew,incumbent_ew,0.01351697752654879,2014-2020
2014-10-29,False,1,1,1,0.07147233354708658,0.08946358844204086,incumbent_ew,slope20,-0.0003214515423562436,2014-2020
2014-10-30,False,0,0,0,0.029775809945402864,0.005530447392308374,incumbent_ew,incumbent_ew,-0.0032641129412891434,2014-2020
