family,form,k,kou_jing,ic,n_windows,ic_2014-2019,ic_2020-2026
N2,N2_lb5zw250,10,500,-0.009908806676943435,286,-0.04053979543224169,0.005018750732450486
N2,N2_lb5zw250,10,1000,-0.005225329231767047,286,-0.03688631170061143,-0.003307746396343607
N2,N2_lb5zw250,10,blend,-0.006339563279666311,286,-0.034728135656610426,0.004667174499003867
N2,N2_lb5zw250,20,500,-0.08103168179457879,142,-0.19483042723870286,-0.0060856864654333
N2,N2_lb5zw250,20,1000,-0.059824171324903884,142,-0.1753954034293161,0.00258033106134372
N2,N2_lb5zw250,20,blend,-0.06721755764758289,142,-0.1882088716625529,0.00038948393378773126
N2,N2_lb5zw250,40,500,-0.015681470873338568,70,-0.27850575646926606,-0.12489878542510123
N2,N2_lb5zw250,40,1000,0.06204331947096565,70,-0.18760612304264915,-0.10951417004048583
N2,N2_lb5zw250,40,blend,0.020319405897261243,70,-0.25795841918364254,-0.1082995951417004
N2,N2_lb20zw60,5,500,0.004559597952607529,574,-0.028830647481467943,0.032389037224847386
N2,N2_lb20zw60,5,1000,-0.01529841767045863,574,-0.026658672933114136,-0.0026995207501508277
N2,N2_lb20zw60,5,blend,-0.005256750032115157,574,-0.024338712697503512,0.015110738578885008
N2,N2_lb20zw60,10,500,-0.005596215328246862,286,-0.08897969219843489,0.02047052619242939
N2,N2_lb20zw60,10,1000,-0.023751662334309576,286,-0.0863498110948557,-0.02558303058713231
N2,N2_lb20zw60,10,blend,-0.013391264425642648,286,-0.08347414671056819,0.00203914215399039
N2,N2_lb20zw60,20,500,-0.010084023047404845,142,-0.1861976051821586,0.005452775073028238
N2,N2_lb20zw60,20,1000,-0.02330515800294873,142,-0.16192190983517443,-0.0255111976630964
N2,N2_lb20zw60,20,blend,-0.011192594990895527,142,-0.18209289735896522,-0.013145082765335929
N2,N2_lb20zw60,40,500,0.04277840958796256,70,-0.2462736373748609,-0.18299595141700403
N2,N2_lb20zw60,40,1000,0.10139095442218528,70,-0.2289210233592881,-0.21558704453441294
N2,N2_lb20zw60,40,blend,0.06503368034292713,70,-0.27608453837597335,-0.18603238866396762
N2,N2_lb20zw250,5,500,-0.009860909601726133,574,-0.017175729945798225,0.01773316097327958
N2,N2_lb20zw250,5,1000,-0.0021097764506388507,574,-0.00646765368618443,0.017901375567656863
N2,N2_lb20zw250,5,blend,-0.005325774079994565,574,-0.00958532021987338,0.021790798913290593
N2,N2_lb20zw250,10,500,-0.03462515015069872,286,-0.05187330277188125,0.01874194304465018
N2,N2_lb20zw250,10,1000,-0.024848984275681125,286,-0.041603467911070766,0.0031553966951834056
N2,N2_lb20zw250,10,blend,-0.029485254936419684,286,-0.043262180356317244,0.014936130317590533
N2,N2_lb20zw250,20,500,-0.05451443286294019,142,-0.1882088716625529,0.029746835443037974
N2,N2_lb20zw250,20,1000,-0.044953549671066385,142,-0.15780531686061236,0.014629990262901656
N2,N2_lb20zw250,20,blend,-0.04992369964868813,142,-0.17815017273389758,0.022930866601752677
N2,N2_lb20zw250,40,500,0.07242179293959262,70,-0.2302641819725848,-0.09777327935222672
N2,N2_lb20zw250,40,1000,0.1317348563210038,70,-0.1353444173379112,-0.055465587044534415
N2,N2_lb20zw250,40,blend,0.10121199337111265,70,-0.21284361340433883,-0.05890688259109312
