signal,kou_jing,window,leg,reading,start,end,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
equal_weight,500,2021-2023,symmetric,iii_fut_open_entry,2021-01-04,2023-12-29,0.1808393819449805,1.0698214794446048,-0.1475104102962428,1.2259431831407945,16.85006877579092,0.5426997245179064,727
equal_weight,500,2021-2023,symmetric,iv_fut_open_both,2021-01-04,2023-12-29,0.18787881396306183,1.1085111784898847,-0.14652690555839176,1.282213756218247,16.85006877579092,0.5440771349862259,727
equal_weight,500,2021-2023,short_seg,i_spot_close,2021-01-04,2023-12-29,0.0860317762621231,0.6682301251911124,-0.17309038856381131,0.49703381554549303,8.42503438789546,0.4903047091412742,727
equal_weight,500,2021-2023,short_seg,i5_spot_close_nocarry,2021-01-04,2023-12-29,0.11601697563336416,0.9039378648201819,-0.14544631267958397,0.7976618554019159,8.42503438789546,0.4930747922437673,727
equal_weight,500,2021-2023,short_seg,ii_fut_close,2021-01-04,2023-12-29,0.08025837612251498,0.6267932749759693,-0.15684262223988488,0.5117127919460746,8.42503438789546,0.5013850415512465,727
equal_weight,500,2021-2023,short_seg,iii_fut_open_entry,2021-01-04,2023-12-29,0.07814187990760572,0.609959047310673,-0.1580123705521227,0.49453014111847327,8.42503438789546,0.5013850415512465,727
equal_weight,500,2021-2023,short_seg,iv_fut_open_both,2021-01-04,2023-12-29,0.08518131192568704,0.6637298974966441,-0.15621619333684056,0.5452783741952741,8.42503438789546,0.5207756232686981,727
equal_weight,500,2021-2023,longflat,i_spot_close,2021-01-04,2023-12-29,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,727
equal_weight,500,2021-2023,longflat,i5_spot_close_nocarry,2021-01-04,2023-12-29,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,727
equal_weight,500,2021-2023,longflat,ii_fut_close,2021-01-04,2023-12-29,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,727
