date,n_full,sum_sd,sum_var,ew_ret_full
2019-02-26,3540,88.07956141439303,2.4182388390984713,-0.001001008867149161
2019-02-27,3539,88.17314722498266,2.426965913580407,-0.001275554384167781
2019-02-28,3541,88.6237747352833,2.4553542064411724,0.004810355595952462
2019-03-01,3546,88.71742919729635,2.459413225141949,0.006495443071890547
2019-03-04,3547,88.0606780374682,2.4244609202270873,0.017960244512477623
2019-03-05,3545,88.84156554041105,2.466229077888728,0.026770142887561084
2019-03-06,3541,88.63200208678954,2.461564370896628,0.02234796355563987
2019-03-07,3546,89.6482288160266,2.5136668012580965,0.01750619745314708
2019-03-08,3549,93.66511971393591,2.7153175990229936,-0.04616165652498569
2019-03-11,3549,95.37891129251295,2.802194849951013,0.042426171613400385
2019-03-12,3546,95.8040517757237,2.828405535931073,0.019152460169403255
2019-03-13,3544,96.61062357316229,2.882252248249268,-0.018502436874463714
2019-03-14,3545,98.3069003348563,2.9831425098113775,-0.02833668901129076
2019-03-15,3547,98.95737372930729,3.018452996828396,0.016393003126466237
2019-03-18,3543,99.6094004794604,3.051983023406075,0.02362148535705045
2019-03-19,3543,98.84382716779099,3.007441467261289,0.004446129888255235
2019-03-20,3545,99.11924780313541,3.022272224786693,0.0011822249363856595
2019-03-21,3544,99.21494039643709,3.0291836400476884,0.01163346247905009
2019-03-22,3541,99.21748794434089,3.0324266060143414,0.005397827247204703
2019-03-25,3534,99.80428570237852,3.071704355727592,-0.008683010177636785
2019-03-26,3534,101.13032282155605,3.1498073289541297,-0.026238861912679757
2019-03-27,3529,101.45470083588138,3.1699624710441974,0.006872302812024609
2019-03-28,3531,101.84560367105612,3.1923923132495973,-0.013333249560989755
2019-03-29,3532,102.57716741880623,3.231893177789815,0.0268984434310728
2019-04-01,3538,103.43222730102455,3.2744855476640367,0.036006492699437904
2019-04-02,3542,103.63107061231726,3.2793741861429737,0.006227112898926076
2019-04-03,3535,103.59648177359192,3.286094397541938,0.01173452122525122
2019-04-04,3537,103.54832451031324,3.2771405973346672,0.003894814329789976
2019-04-08,3544,104.23968737711613,3.3115755916792593,-0.0029943678166330146
2019-04-09,3545,104.57232379710624,3.3318580511918094,0.00519640306403308
2019-04-10,3549,105.05934133201286,3.3571487064266967,-0.0005413670960529208
2019-04-11,3545,105.86998156090421,3.4071442120597855,-0.01714823055735351
2019-04-12,3550,106.42435555533031,3.438676756123792,-5.09897302435618e-05
2019-04-15,3548,106.67757747078984,3.4529400890240662,-0.007864132071190322
2019-04-16,3546,106.83366199824071,3.4631731364123137,0.020004957011220074
2019-04-17,3554,107.36186714862161,3.492231558268857,0.008919147870839406
2019-04-18,3560,107.90981439717926,3.5219159400090563,-0.005992776751862291
