underlying,theta,exposure,sharpe_full,ann_full,turnover_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
500｜中证500（现役分量）,-0.65,0.9263603779732812,0.280576230956254,0.06764585905678115,5.109156076898012,0.30041819356511457,-0.06169218848831552,0.47670115395883933,-0.06169218848831552
500｜中证500（现役分量）,-0.6,0.8914956011730205,0.3140236363048251,0.07479206198761257,6.386445096122515,0.377024651719815,-0.051130301497788064,0.40090887847221757,-0.051130301497788064
500｜中证500（现役分量）,-0.55,0.8582600195503421,0.4556812894729925,0.10554426456970116,7.025089605734767,0.4278041607985277,0.2329571730016855,0.7351928590602468,0.2329571730016855
500｜中证500（现役分量）,-0.5,0.8331704138155751,0.4509651459041049,0.102861679686348,7.823395242750082,0.470789137661636,0.2714127918229341,0.5447428162513298,0.2714127918229341
500｜中证500（现役分量）,-0.45,0.7963506028022157,0.6019773031469249,0.13248512149911748,9.260345389377648,0.6756135241158332,0.2859240749979712,0.6423892600550775,0.2859240749979712
500｜中证500（现役分量）,-0.4,0.7627891821440208,0.5938931468455069,0.12722935090909374,9.100684261974585,0.6945447839599379,0.32352171838137006,0.5167454337951711,0.32352171838137006
500｜中证500（现役分量）,-0.35,0.7344411860540893,0.6806908777320596,0.14286647393629562,9.42000651678071,0.7083379491302619,0.43832818489288655,0.8150135550252714,0.43832818489288655
500｜中证500（现役分量）,-0.3,0.7047898338220919,0.6972196947988399,0.1424859604108199,9.8989898989899,0.765664931021648,0.353546378518314,0.7808181695103759,0.353546378518314
500｜中证500（现役分量）,-0.25,0.6679700228087325,0.8476380059020538,0.16871192505104066,11.01661779081134,0.8030358622774674,0.7787367399351569,1.092393889028256,0.7787367399351569
500｜中证500（现役分量）,-0.2,0.6288693385467579,0.9518349606731563,0.182129948029826,10.377973281199088,0.8991673448719127,0.6165685208305842,1.424780494994474,0.6165685208305842
500｜中证500（现役分量）,-0.15,0.5956337569240795,1.058482402833647,0.1940891710638362,9.739328771586836,1.0142222639649427,0.6174707286917513,1.576748884303192,0.6174707286917513
500｜中证500（现役分量）,-0.1,0.5689149560117303,1.209236208246877,0.2137457587946876,9.8989898989899,1.2283804116356276,0.6228905383891937,1.6457009648855778,0.6228905383891937
500｜中证500（现役分量）,-0.05,0.5395894428152492,1.2911457915876854,0.21797999767107654,10.377973281199088,1.3485486935119335,0.7144415048458653,1.6045630844772842,0.7144415048458653
500｜中证500（现役分量）,0.0,0.49006190941674815,1.3464285393057427,0.21161141543339346,10.617464972303683,1.427554511456783,0.6391408901035306,1.6861878628784615,0.6391408901035306
