variant,family,length,skip,z_window,smoothing,sharpe_train_14_20,sharpe_val_21_23,sharpe_holdout_24_26,worst_tv,corr_vs_incumbent,turnover
32,slope,10,0,15,0,-0.13911478501001293,0.6186588314317462,0.5942186950582825,-0.13911478501001293,-0.06618064697596798,51.48262422864566
33,slope,10,0,15,5,-0.35052443057299015,0.2180087727285542,-0.08464546906946142,-0.35052443057299015,-0.1981501443620234,44.48035076323482
34,slope,10,0,20,0,-0.018585290725504154,0.3855857432368881,0.1340841812639662,-0.018585290725504154,-0.19600955708447626,49.73205586229295
35,slope,10,0,20,5,-0.3548107443071397,-0.08139678771142499,-0.06641125468908038,-0.3548107443071397,-0.35922692877362433,40.820071451770055
36,slope,10,0,25,0,-0.055920794981310966,-0.21704012256103147,0.5646774287830536,-0.21704012256103147,-0.33771287614862056,48.14063007469957
37,slope,10,0,25,5,-0.42479369455077515,-0.1728459752921342,-0.16057295104647107,-0.42479369455077515,-0.4972152798511315,38.27379019162066
38,slope,10,0,30,0,-0.2903777125766021,-0.5756372544734274,0.4270302494632737,-0.5756372544734274,-0.43869282700656903,46.23091912958753
39,slope,10,0,30,5,-0.6121736438568027,-0.3775886615389439,-0.18293953348239914,-0.6121736438568027,-0.5897235191941963,37.95550503410198
40,voladj,5,0,10,0,0.05048693167079971,-0.020609150672201967,0.6625037675367789,-0.020609150672201967,0.0959849353479132,116.89022409873336
41,voladj,5,0,10,5,0.29739335840372816,0.03434317936947224,0.008595646253264283,0.03434317936947224,0.0015084913344618983,66.9194543683014
42,voladj,5,0,15,0,0.47649660916744807,0.00752158082180604,-0.3557066146113132,0.00752158082180604,0.07403016913861253,106.38681390061707
43,voladj,5,0,15,5,0.36950049203937424,-0.016155920081030173,-0.3922956043869074,-0.016155920081030173,-0.04055520737935476,55.4611886976291
44,voladj,5,0,20,0,0.4450697407637019,0.23530603669326,-0.21461900938380576,0.23530603669326,0.020740867994340908,103.52224748294901
45,voladj,5,0,20,5,0.2383900831835978,0.29560161293100845,-0.2829443224212537,0.2383900831835978,-0.13985721488623076,53.55147775251705
46,voladj,5,0,25,0,-0.08871416492337386,0.5612637845869027,-0.3111970862984903,-0.08871416492337386,-0.06613542748625961,102.56739201039298
47,voladj,5,0,25,5,0.11177634761318328,-0.004650627748113192,-0.3420217650163961,-0.004650627748113192,-0.24836692944893965,51.323481649886325
48,voladj,5,0,30,0,-0.31890440774714846,0.29630282174701705,-0.21642607839079206,-0.31890440774714846,-0.13742678009771014,99.2253978564469
49,voladj,5,0,30,5,0.08084957529583951,-0.027069665044338796,-0.15117968522982467,-0.027069665044338796,-0.32838158637655945,51.16433907112699
50,voladj,10,0,10,0,0.24298884985913188,-0.6757057384314957,-0.10401432300540578,-0.6757057384314957,0.017691217551916556,98.74797012016889
51,voladj,10,0,10,5,0.16936383718106235,0.48457091894019655,0.25615021971545426,0.16936383718106235,-0.10186465971128347,46.23091912958753
52,voladj,10,0,15,0,-0.06817648775437285,0.07375211143670014,0.2793166491203482,-0.06817648775437285,-0.05638192507100997,82.35628450795713
53,voladj,10,0,15,5,0.06372511990232896,0.5726783521369831,0.193197039044359,0.06372511990232896,-0.20747596113348452,41.615784345566745
54,voladj,10,0,20,0,-0.2918319413762765,0.49625215365025716,0.28969761032678615,-0.2918319413762765,-0.16874562611136876,75.51315362130562
55,voladj,10,0,20,5,-0.14688979801785537,0.16311063674140494,0.02003472727159227,-0.14688979801785537,-0.3439751649150619,35.40922377395258
56,voladj,10,0,25,0,-0.6651881415559383,0.1837417504075928,0.0768911043743878,-0.6651881415559383,-0.28684116582725394,73.60344267619357
57,voladj,10,0,25,5,-0.14600003770738007,-0.22277629372174804,-0.16323892732242065,-0.22277629372174804,-0.46021294317818934,34.454368301396556
58,voladj,10,0,30,0,-0.8729826855334459,-0.26025094600948523,0.17737393675913457,-0.8729826855334459,-0.3820502331996487,67.23773952582006
59,voladj,10,0,30,5,-0.5366164353823561,-0.36417746262032247,-0.2894015341659039,-0.5366164353823561,-0.5490048809282739,33.18122767132186
