family,length,skip,z_window,smoothing,sharpe_train_14_20,sharpe_val_21_23,sharpe_holdout_24_26,worst
slope,10,0,10,0,-0.5677579092045365,-0.8638496025683152,-0.8544321099611035,-0.8638496025683152
slope,10,0,10,5,0.018936135193632953,-0.7671362602649847,-0.8499828009338016,-0.8499828009338016
slope,10,0,15,0,0.02154585346396413,-0.7961163708156259,-0.8579298859663472,-0.8579298859663472
slope,10,0,15,5,0.23911638732515905,-0.3772737955491632,-0.20922757935510128,-0.3772737955491632
slope,10,0,20,0,-0.08980733260234793,-0.552175601362173,-0.45702843351049294,-0.552175601362173
slope,10,0,20,5,0.24653382847093508,-0.0604510009534297,-0.23635914674900038,-0.23635914674900038
slope,10,0,25,0,-0.05316457282321878,0.0763634378446221,-0.7847865329206536,-0.7847865329206536
slope,10,0,25,5,0.32769664656261405,0.04885175922393002,0.03619115287321221,0.03619115287321221
slope,10,0,30,0,0.18564361228644932,0.44397846255332873,-0.6286811660276636,-0.6286811660276636
slope,10,0,30,5,0.5170034135754304,0.26394722979310065,0.058298053221927625,0.058298053221927625
voladj,5,0,10,0,-0.3173458814368991,-0.3382413387885859,-0.7758551581818203,-0.7758551581818203
voladj,5,0,10,5,-0.45770174148887416,-0.23939673507391543,-0.050172120155073566,-0.45770174148887416
voladj,5,0,15,0,-0.7179968348630201,-0.3365625961993415,0.09377200336569455,-0.7179968348630201
voladj,5,0,15,5,-0.5109153774063766,-0.1657627550876389,0.2569823182632598,-0.5109153774063766
voladj,5,0,20,0,-0.6845581080351681,-0.535025752618063,-0.1285843996970063,-0.6845581080351681
voladj,5,0,20,5,-0.35746522328349795,-0.468277648471824,0.2784729880206406,-0.468277648471824
voladj,5,0,25,0,-0.15076874687740172,-0.8557856851662253,-0.009082589373246661,-0.8557856851662253
voladj,5,0,25,5,-0.2513395449601201,-0.16943095021388022,0.2697738067937526,-0.2513395449601201
voladj,5,0,30,0,0.08248084559985763,-0.572626342216882,-0.02281611240720985,-0.572626342216882
voladj,5,0,30,5,-0.21269401590334774,-0.13286318550021217,0.05265680734768913,-0.21269401590334774
voladj,10,0,10,0,-0.4584248260128101,0.3769560655789073,-0.24413906706999847,-0.4584248260128101
voladj,10,0,10,5,-0.26728763468718636,-0.6412709380129347,-0.6765919397444508,-0.6765919397444508
voladj,10,0,15,0,-0.11117155213263018,-0.3333011014326899,-0.761845647492198,-0.761845647492198
voladj,10,0,15,5,-0.14585842217991218,-0.7159385989036554,-0.45618575478900475,-0.7159385989036554
voladj,10,0,20,0,0.13188661533052903,-0.7672741564315787,-0.7375330532014686,-0.7672741564315787
voladj,10,0,20,5,0.059917872014962216,-0.29296394711146034,-0.2482268057532482,-0.29296394711146034
voladj,10,0,25,0,0.5043434207017055,-0.4336627426125178,-0.36311510342138725,-0.4336627426125178
voladj,10,0,25,5,0.04600709633401208,0.1047588898489081,-0.04358579227903554,-0.04358579227903554
voladj,10,0,30,0,0.6994265082532255,0.02201480235054977,-0.42345780100274893,-0.42345780100274893
voladj,10,0,30,5,0.43525227737056227,0.252884833765944,0.14400941275026885,0.14400941275026885
