date,factor_value_opt,position_opt,factor_value_incumbent,position_incumbent,index_close,index_ret
2024-06-07,-0.11333284162216078,0,-0.06600131666329094,0,210212.2813,0.05596537570259885
2024-06-11,0.16755333388967736,1,0.020501438854768572,1,209967.5469,-0.0011642250323650183
2024-06-12,0.21637738875894652,1,0.10069697249583645,1,216297.7813,0.030148632459924274
2024-06-13,0.29937154108506014,1,0.18120295602273315,1,216257.6875,-0.00018536389859857838
2024-06-14,0.3571359214872398,1,0.30433291714037725,1,215662.6563,-0.0027514915510228333
2024-06-17,0.5904276726627563,1,0.4602559702599181,1,212228.7656,-0.015922509529063933
2024-06-18,0.5313666728115051,1,0.4927811040617426,1,218088.6094,0.027610978103903117
2024-06-19,0.47804219158750827,1,0.5436225318322904,1,219305.6094,0.0055803006096841745
2024-06-20,0.5489812701219245,1,0.5222946417762839,1,214943.4688,-0.019890693229117073
2024-06-21,0.4512382743852069,1,0.5073632102595484,1,214348.7031,-0.0027670796573652234
2024-06-24,0.28443161350813306,1,0.45764954086186316,1,205037.3281,-0.04344031414855809
2024-06-25,0.038897533252129315,1,0.374804625765713,1,207786.3281,0.013407314782502677
2024-06-26,0.19483158911924542,1,0.3272042671558911,1,216081.6875,0.03992254676163154
2024-06-27,-0.05930457761303394,1,0.23875842953463283,1,213744.7656,-0.010814992825340597
2024-06-28,-0.2564081038970402,0,0.11980824649814763,1,214128.0,0.0017929533802814035
2024-07-01,-0.3385191543462411,0,-0.048142521873190736,0,215404.7188,0.005962409399985047
2024-07-02,-0.44510526789086513,0,-0.20340341485283897,0,218933.8125,0.016383548696891292
2024-07-03,-0.5338176411964614,0,-0.3944965084838602,0,217293.8906,-0.007490491675423483
2024-07-04,-0.5353395772702154,0,-0.526067176877781,0,208613.25,-0.039948847968208856
2024-07-05,-0.5226463168464713,0,-0.5701134035946712,0,212770.625,0.019928623900926645
2024-07-08,-0.4242341378681787,0,-0.5287791231496617,0,205849.6563,-0.032527839310525164
2024-07-09,-0.22190383132010028,0,-0.5090688150417543,0,208325.0938,0.012025463362408395
2024-07-10,-0.11223439609233166,0,-0.45067325499217803,0,205137.4531,-0.015301280521972327
2024-07-11,0.08009168154097286,1,-0.36056950040513314,0,213850.4219,0.042473808016679326
2024-07-12,0.10647694203389439,1,-0.3092579331079319,0,213540.6719,-0.001448442314249232
2024-07-15,0.00996043517117988,1,-0.3691307513913463,0,208749.5313,-0.022436665377936316
2024-07-16,0.08272697847831303,1,-0.33684881294303215,0,208396.4531,-0.0016913963724908276
2024-07-17,0.19116672426894732,1,-0.3104950461183842,0,205872.6094,-0.012110780497732065
2024-07-18,0.1468670333512257,1,-0.2716682131409881,0,204614.2656,-0.006112244866703365
2024-07-19,0.2868497349989866,1,-0.19841435637309043,0,206856.6406,0.010959035497474234
2024-07-22,0.4408954014474264,1,0.008059564945370034,1,210056.3125,0.015468064697943262
