pair_set,mapping,kou_jing,carry_source,n_pairs,is_incumbent,is_gated,net_sharpe_selection_2014_2023,net_ann_selection_2014_2023,maxdd_selection_2014_2023,calmar_selection_2014_2023,turnover_selection_2014_2023,hit_selection_2014_2023,long_frac_selection_2014_2023,short_frac_selection_2014_2023,sharpe_ex_top1_selection_2014_2023,sharpe_ex_top2_selection_2014_2023,ex_top1_year_selection_2014_2023,n_obs_selection_2014_2023,net_sharpe_train_2014_2020,net_ann_train_2014_2020,maxdd_train_2014_2020,calmar_train_2014_2020,turnover_train_2014_2020,hit_train_2014_2020,long_frac_train_2014_2020,short_frac_train_2014_2020,sharpe_ex_top1_train_2014_2020,sharpe_ex_top2_train_2014_2020,ex_top1_year_train_2014_2020,n_obs_train_2014_2020,net_sharpe_val_2021_2023,net_ann_val_2021_2023,maxdd_val_2021_2023,calmar_val_2021_2023,turnover_val_2021_2023,hit_val_2021_2023,long_frac_val_2021_2023,short_frac_val_2021_2023,sharpe_ex_top1_val_2021_2023,sharpe_ex_top2_val_2021_2023,ex_top1_year_val_2021_2023,n_obs_val_2021_2023,net_sharpe_holdout_2024_2026,net_ann_holdout_2024_2026,maxdd_holdout_2024_2026,calmar_holdout_2024_2026,turnover_holdout_2024_2026,hit_holdout_2024_2026,long_frac_holdout_2024_2026,short_frac_holdout_2024_2026,sharpe_ex_top1_holdout_2024_2026,sharpe_ex_top2_holdout_2024_2026,ex_top1_year_holdout_2024_2026,n_obs_holdout_2024_2026,net_sharpe_full_2014_2026,net_ann_full_2014_2026,maxdd_full_2014_2026,calmar_full_2014_2026,turnover_full_2014_2026,hit_full_2014_2026,long_frac_full_2014_2026,short_frac_full_2014_2026,sharpe_ex_top1_full_2014_2026,sharpe_ex_top2_full_2014_2026,ex_top1_year_full_2014_2026,n_obs_full_2014_2026,worst_tv_sharpe
D_four_plus_dividend,longflat,blend,blend,5,False,True,1.192052,0.197722,-0.177413,1.114476,10.26705,0.552227,0.486442,0.0,0.926582,0.747681,2015,2434,1.324286,0.241249,-0.177413,1.35982,11.338606,0.559342,0.476274,0.0,0.98254,0.72825,2015,1707,0.746281,0.088326,-0.131245,0.672988,7.751032,0.535248,0.510316,0.0,0.613085,0.517907,2022,727,1.729174,0.309332,-0.122441,2.526372,9.318542,0.572816,0.470681,0.0,1.228074,1.618962,2025,631,1.308819,0.2207,-0.177413,1.24399,10.071778,0.556347,0.483197,0.0,1.132805,0.977713,2015,3065,0.746281
D_four_plus_dividend,symmetric,500,500,5,False,True,0.899397,0.218038,-0.372239,0.585747,20.634758,0.524645,0.486442,0.497535,0.798876,0.653492,2015,2434,0.907812,0.242758,-0.320316,0.757872,22.820738,0.521296,0.476274,0.500879,0.755157,0.54385,2015,1707,0.904358,0.153429,-0.156797,0.978518,15.502063,0.53168,0.510316,0.489684,0.154978,-0.223837,2022,727,1.340874,0.343452,-0.231025,1.486644,18.637084,0.528571,0.470681,0.529319,1.04041,1.161855,2025,631,0.995394,0.244162,-0.372239,0.655929,20.223491,0.52562,0.483197,0.504078,0.937662,0.841306,2015,3065,0.904358
D_four_plus_dividend,symmetric,1000,1000,5,False,True,1.088425,0.285675,-0.466331,0.612601,20.634758,0.524227,0.486442,0.497535,1.003105,0.836675,2015,2434,1.137604,0.324308,-0.341515,0.949615,22.820738,0.526095,0.476274,0.500879,1.01956,0.773978,2015,1707,0.939537,0.187141,-0.242017,0.773258,15.502063,0.519284,0.510316,0.489684,0.234066,-0.594474,2022,727,1.337133,0.376272,-0.241917,1.555374,18.637084,0.530159,0.470681,0.529319,1.197997,1.271388,2025,631,1.143875,0.304774,-0.466331,0.653558,20.223491,0.52562,0.483197,0.504078,1.087929,0.977228,2015,3065,0.939537
D_four_plus_dividend,symmetric,blend,blend,5,False,True,1.00592,0.251856,-0.419587,0.600248,20.634758,0.522974,0.486442,0.497535,0.912628,0.760345,2015,2434,1.033576,0.283533,-0.329455,0.860611,22.820738,0.524295,0.476274,0.500879,0.89702,0.668521,2015,1707,0.936341,0.170285,-0.192708,0.883645,15.502063,0.519284,0.510316,0.489684,0.201451,-0.437402,2022,727,1.351858,0.359862,-0.235632,1.527223,18.637084,0.526984,0.470681,0.529319,1.134296,1.225615,2025,631,1.081926,0.274468,-0.419587,0.65414,20.223491,0.523967,0.483197,0.504078,1.024656,0.926937,2015,3065,0.936341
D_rev_dividend_reversed,longflat,500,500,5,False,False,1.593989,0.252367,-0.13144,1.920018,10.26705,0.560359,0.482744,0.0,1.248348,1.128627,2015,2434,1.832078,0.318325,-0.119815,2.656808,10.764499,0.565217,0.463972,0.0,1.40752,1.266254,2015,1707,0.803662,0.090934,-0.13144,0.691826,9.099037,0.549118,0.526823,0.0,0.61282,0.379499,2021,727,1.774831,0.318556,-0.151957,2.096361,8.541997,0.54416,0.538827,0.0,1.03233,0.790782,2025,631,1.633027,0.265994,-0.153177,1.736509,9.911909,0.556753,0.49429,0.0,1.381449,1.192084,2015,3065,0.803662
D_rev_dividend_reversed,longflat,1000,1000,5,False,False,1.235939,0.208501,-0.180785,1.153311,10.26705,0.550571,0.482744,0.0,0.907797,0.815958,2015,2434,1.291095,0.235822,-0.180785,1.304436,10.764499,0.551932,0.463972,0.0,0.835364,0.672112,2015,1707,1.053807,0.136528,-0.131123,1.04122,9.099037,0.546599,0.526823,0.0,0.996123,0.937596,2022,727,1.731677,0.341074,-0.157335,2.167823,8.541997,0.57265,0.538827,0.0,1.045273,1.430064,2025,631,1.348241,0.235794,-0.180785,1.304282,9.911909,0.555485,0.49429,0.0,1.122773,0.925623,2015,3065,1.053807
D_rev_dividend_reversed,longflat,blend,blend,5,False,False,1.4217,0.230434,-0.134819,1.709212,10.26705,0.553018,0.482744,0.0,1.078744,0.973081,2015,2434,1.566288,0.277073,-0.134819,2.055152,10.764499,0.560386,0.463972,0.0,1.117056,0.963602,2015,1707,0.9513,0.113731,-0.131245,0.866554,9.099037,0.536524,0.526823,0.0,0.940623,0.686426,2022,727,1.765159,0.329815,-0.152121,2.168101,8.541997,0.581197,0.538827,0.0,1.046419,1.521202,2025,631,1.498155,0.250894,-0.152121,1.649299,9.911909,0.55929,0.49429,0.0,1.255576,1.06072,2015,3065,0.9513
D_rev_dividend_reversed,symmetric,500,500,5,False,False,1.14413,0.277095,-0.319954,0.866046,20.634758,0.525898,0.482744,0.501233,1.004029,0.911278,2015,2434,1.205488,0.321953,-0.319954,1.006249,21.672525,0.519496,0.463972,0.513181,1.012991,0.909181,2015,1707,0.973887,0.165202,-0.170717,0.96769,18.198074,0.539945,0.526823,0.473177,0.437902,0.057432,2022,727,1.472063,0.376546,-0.23328,1.614137,17.083994,0.536508,0.538827,0.461173,0.873621,0.659251,2025,631,1.215701,0.297874,-0.319954,0.930991,19.903752,0.528264,0.49429,0.492985,1.122902,0.97308,2015,3065,0.973887
D_rev_dividend_reversed,symmetric,1000,1000,5,False,False,1.363781,0.357465,-0.303792,1.176674,20.634758,0.526316,0.482744,0.501233,1.250141,1.130485,2015,2434,1.363987,0.388408,-0.303792,1.27853,21.672525,0.525495,0.463972,0.513181,1.184634,1.027833,2015,1707,1.393575,0.276987,-0.147177,1.882001,18.198074,0.527548,0.526823,0.473177,0.891203,0.434587,2022,727,1.513085,0.42511,-0.253489,1.677033,17.083994,0.54127,0.538827,0.461173,0.998867,1.243599,2025,631,1.397565,0.371839,-0.303792,1.22399,19.903752,0.529587,0.49429,0.492985,1.315659,1.194525,2015,3065,1.363987
D_rev_dividend_reversed,symmetric,blend,blend,5,False,False,1.268726,0.31728,-0.295959,1.072041,20.634758,0.523392,0.482744,0.501233,1.141403,1.032835,2015,2434,1.29634,0.355181,-0.295959,1.200102,21.672525,0.521896,0.463972,0.513181,1.107984,0.975168,2015,1707,1.217141,0.221094,-0.157568,1.403164,18.198074,0.526171,0.526823,0.473177,0.696327,0.270955,2022,727,1.508015,0.400828,-0.242889,1.650249,17.083994,0.542857,0.538827,0.461173,0.948725,1.241338,2025,631,1.321665,0.334857,-0.295959,1.131431,19.903752,0.527603,0.49429,0.492985,1.233834,1.097916,2015,3065,1.217141
