gate,metric,value,threshold,pass
META,ret_adjusted[val_2021_2023],0.9883283143978425,ann=0.0886 maxdd=-0.1111 turnover=9.099 n=727,
META,ret_adjusted[holdout_2024_2026],2.0933866598026647,ann=0.2534 maxdd=-0.1167 turnover=10.095 n=631,
META,ret_adjusted[full_2014_2026],1.672080816007126,ann=0.1929 maxdd=-0.1545 turnover=10.392 n=3065,
META,ret_incumbent[selection_2014_2023],1.5388540534815418,ann=0.2413 maxdd=-0.1348 turnover=10.468 n=2434,
META,ret_incumbent[train_2014_2020],1.705347310853592,ann=0.2911 maxdd=-0.1348 turnover=11.339 n=1707,
META,ret_incumbent[val_2021_2023],1.0009306065302395,ann=0.1172 maxdd=-0.1312 turnover=8.425 n=727,
META,ret_incumbent[holdout_2024_2026],1.8588901569075658,ann=0.3406 maxdd=-0.1667 turnover=10.872 n=631,
META,ret_incumbent[full_2014_2026],1.6098923221009442,ann=0.2617 maxdd=-0.1667 turnover=10.551 n=3065,
META,caveat_engine_exec_price,engine.py:24 shift(1)=T 收盘成交（文档债）+ 首日成本落第二天,对现役与调节版是同引擎同日期的非差分偏差，原样保留不顺手修,
META,caveat_holdout_carry,holdout 2024-2026 末段无 carry 输入（止于 2026-04-29）,只报告不进闸；对多头略偏悲观,
META,caveat_cache_not_extended,三缓存不延展，有效末日 2026-06-30,缺口 29~30 天全在 holdout 尾巴，闸门零影响（附录 §1.1 补充发现 B）,
