date,N1,share_000300,share_000905,share_000852,N2,n_market
2025-06-25,0.1707776313311994,0.13666666666666666,0.124,0.11723446893787576,-0.01604943219772878,5311
2025-06-26,0.1734136697420448,0.14,0.126,0.12024048096192384,-0.016879759519038084,5311
2025-06-27,0.16986817325800377,0.14,0.124,0.125250501002004,-0.015374749498998017,5310
2025-06-30,0.1751412429378531,0.14715719063545152,0.122,0.13034623217922606,-0.020984074545838505,5310
2025-07-01,0.1790623234795707,0.14381270903010032,0.122,0.13123092573753814,-0.017197246161331253,5311
2025-07-02,0.17548484277913765,0.13712374581939799,0.118,0.12309257375381485,-0.01657745894249056,5311
2025-07-03,0.17875306084008288,0.13712374581939799,0.114,0.12410986775178026,-0.018068811943507845,5309
2025-07-04,0.17935192162773173,0.13712374581939799,0.11,0.1271617497456765,-0.018542870946559736,5308
2025-07-07,0.17853107344632768,0.13712374581939799,0.114,0.12410986775178026,-0.018068811943507845,5310
2025-07-08,0.18022598870056497,0.13712374581939799,0.122,0.12512716174974567,-0.013560164944525152,5310
2025-07-09,0.1807909604519774,0.14046822742474915,0.122,0.12512716174974567,-0.01690464654987632,5310
2025-07-10,0.17476459510357814,0.14381270903010032,0.118,0.12207527975584945,-0.0237750691521756,5310
2025-07-11,0.18010550113036924,0.14715719063545152,0.128,0.13123092573753814,-0.017541727766682447,5308
2025-07-14,0.18327368619325674,0.1505016722408027,0.138,0.1373346897253306,-0.012834327378137389,5309
2025-07-15,0.18496892070069693,0.1605351170568562,0.138,0.14038657171922686,-0.021341831197242755,5309
2025-07-16,0.18798267093614618,0.1605351170568562,0.144,0.14343845371312308,-0.01681589020029467,5309
2025-07-17,0.19382181201732906,0.16722408026755853,0.152,0.14954221770091555,-0.016452971417100754,5309
2025-07-18,0.2000376718779431,0.1705685618729097,0.156,0.1525940996948118,-0.01627151202550381,5309
2025-07-21,0.21401657874905802,0.17725752508361203,0.176,0.16480162767039674,-0.006856711248413666,5308
2025-07-22,0.22720422004521476,0.2040133779264214,0.206,0.1790437436419125,-0.011491506105465149,5308
2025-07-23,0.22739261492087415,0.1939799331103679,0.204,0.1770091556459817,-0.003475355287377052,5308
2025-07-24,0.23078372268274303,0.18729096989966554,0.21,0.18413021363173956,0.00977413691620424,5308
2025-07-25,0.23742227247032222,0.19063545150501673,0.216,0.18819938962360122,0.011464243306783889,5307
2025-07-28,0.23968343697003958,0.20066889632107024,0.216,0.18819938962360122,0.001430798490730384,5307
2025-07-29,0.24288675334463916,0.20735785953177258,0.212,0.20040691759918616,-0.0011544007321795113,5307
2025-07-30,0.24364047484454493,0.20735785953177258,0.214,0.20142421159715157,0.0003542462668032209,5307
2025-07-31,0.24246420497362473,0.2040133779264214,0.218,0.20752797558494404,0.008750609866050613,5308
2025-08-01,0.24547852298417483,0.1939799331103679,0.218,0.20854526958290945,0.01929270168108682,5308
2025-08-04,0.25075357950263755,0.18729096989966554,0.216,0.2136317395727365,0.027524899886702703,5308
2025-08-05,0.25470987189148453,0.18729096989966554,0.22,0.22075279755849442,0.03308542887958166,5308
2025-08-06,0.2635147862120927,0.19063545150501673,0.23,0.22865853658536586,0.0386938167876662,5309
2025-08-07,0.26521002071953287,0.16387959866220736,0.224,0.2266260162601626,0.061433409467873956,5309
2025-08-08,0.2687888491241288,0.16387959866220736,0.226,0.22459349593495934,0.06141714930527231,5309
2025-08-11,0.2743879472693032,0.16722408026755853,0.224,0.22764227642276422,0.05859705794382358,5310
2025-08-12,0.28224439841837695,0.1705685618729097,0.232,0.23577235772357724,0.06331761698887894,5311
2025-08-13,0.28845791752965544,0.17725752508361203,0.238,0.24288617886178862,0.06318556434728229,5311
2025-08-14,0.2899642251929957,0.1806020066889632,0.242,0.241869918699187,0.0613329526606303,5311
