family,form,k,kou_jing,ic,n_windows,ic_2014-2019,ic_2020-2026
C2,C2_lb20zw60,10,1000,-0.12281017553879492,264,-0.05813109185829206,-0.14052631578947367
C2,C2_lb20zw60,10,blend,-0.11718825919574988,264,-0.0775394446433089,-0.11254792610665736
C2,C2_lb20zw60,20,500,-0.11623354005447288,131,-0.06273561933955894,-0.17092460881934565
C2,C2_lb20zw60,20,1000,-0.1685423698052665,131,-0.05526795217263041,-0.16568990042674253
C2,C2_lb20zw60,20,blend,-0.14319135108024159,131,-0.04462562456758734,-0.16597439544807965
C2,C2_lb20zw60,40,500,-0.14291958041958042,65,0.009768009768009768,-0.1991465149359886
C2,C2_lb20zw60,40,1000,-0.10638111888111887,65,-0.015262515262515262,-0.2614983404457088
C2,C2_lb20zw60,40,blend,-0.12447552447552448,65,-0.02564102564102564,-0.22095779990516828
C2,C2_lb20zw250,5,500,-0.0700905935041032,530,-0.06868990074011054,-0.0675731895881564
C2,C2_lb20zw250,5,1000,-0.07737505162402208,530,-0.06310261806270089,-0.08343912044353702
C2,C2_lb20zw250,5,blend,-0.07403827018697054,530,-0.06571834744352004,-0.07780264652867358
C2,C2_lb20zw250,10,500,-0.09883964772345076,264,-0.10819666023102568,-0.06159288950853955
C2,C2_lb20zw250,10,1000,-0.10369182214813905,264,-0.07845631356565053,-0.1122830254444057
C2,C2_lb20zw250,10,blend,-0.10255658166152379,264,-0.09635460272636842,-0.08438131753224119
C2,C2_lb20zw250,20,500,-0.096535010788439,131,-0.07662285270416946,-0.1955049786628734
C2,C2_lb20zw250,20,1000,-0.11418441116769391,131,-0.03513844972566977,-0.16395448079658606
C2,C2_lb20zw250,20,blend,-0.10572284538829016,131,-0.04434914758977722,-0.17943100995732575
C2,C2_lb20zw250,40,500,-0.17167842979069795,65,-0.21237071655635076,-0.23873873873873871
C2,C2_lb20zw250,40,1000,-0.11601902800193989,65,-0.20807419916937253,-0.26789947842579415
C2,C2_lb20zw250,40,blend,-0.1432366066456963,65,-0.2246464805191456,-0.24585111427216685
B1,B1_lb5zw60,5,500,0.0005646364766970063,645,0.03594222518736395,-0.0044373881750003515
B1,B1_lb5zw60,5,1000,0.00027180900565217835,645,0.04166711306117878,-0.0009286464537680427
B1,B1_lb5zw60,5,blend,-0.0023170398487743775,645,0.03864007129326171,-0.00439551494678578
B1,B1_lb5zw60,10,500,0.02608494369753291,322,0.06545425917178396,0.015602724787027228
B1,B1_lb5zw60,10,1000,0.03474547927770523,322,0.07014249724452841,0.041077270787564596
B1,B1_lb5zw60,10,blend,0.03046535237632768,322,0.06592662572823176,0.03745159709819664
B1,B1_lb5zw60,20,500,0.00691433259111684,160,0.09302849057817225,-0.10699826489300171
B1,B1_lb5zw60,20,1000,0.00990566037735849,160,0.12344845327673808,-0.10555234239444765
B1,B1_lb5zw60,20,blend,0.0067649126919020275,160,0.10576242845199049,-0.10636731689363267
B1,B1_lb5zw60,40,500,-0.01443524829600779,79,0.2927170868347339,0.05372579056789582
B1,B1_lb5zw60,40,1000,0.008008763388510224,79,0.34313725490196084,0.04365904365904366
B1,B1_lb5zw60,40,blend,-0.003773125608568647,79,0.3142857142857143,0.025495130758288652
B1,B1_lb5zw250,5,500,-0.012652876958228232,645,0.02703300235209327,-0.010477307841016352
B1,B1_lb5zw250,5,1000,-0.011621175504961726,645,0.030454494543435816,-0.012864081849246985
B1,B1_lb5zw250,5,blend,-0.015650602474746953,645,0.028282582335438695,-0.01278111806998073
B1,B1_lb5zw250,10,500,0.005312278554120319,322,0.04003700204692174,-0.037574876325646815
B1,B1_lb5zw250,10,1000,0.01202096444155756,322,0.040481813887576754,-0.00940715335619794
B1,B1_lb5zw250,10,blend,0.008636159330143028,322,0.035466855613289244,-0.015163344976371479
B1,B1_lb5zw250,20,500,0.019002834604653976,160,0.12904366840311277,-0.16880487933119512
B1,B1_lb5zw250,20,1000,0.021066895193457356,160,0.15740562094025343,-0.1663073768336926
