date,R1,R2,R3,R4,n_U,n_300,n_1000
2024-07-15,-0.07774140752864157,-0.0009589938892653614,0.09624367946390193,0.03335874785291127,1222.0,296.0,771.0
2024-07-16,-0.07446808510638298,-0.0009832843145661679,0.06803398614465264,0.02817068040803449,1222.0,296.0,771.0
2024-07-17,-0.07446808510638298,-0.0010054839130029082,0.058920481587900364,0.03233340344235285,1222.0,296.0,771.0
2024-07-18,-0.07849550286181521,-0.0010868000523033162,0.0533452931580853,0.025189049152779724,1223.0,296.0,772.0
2024-07-19,-0.07277187244480784,-0.0011091374802066607,0.058959693420975096,0.024681417168463796,1223.0,296.0,772.0
2024-07-22,-0.06775510204081632,-0.0009360840405248931,0.06397646382496662,0.01491898875619805,1225.0,296.0,774.0
2024-07-23,-0.06132461161079313,-0.0007778046274850805,0.05641999867113059,0.009335337925247364,1223.0,296.0,773.0
2024-07-24,-0.06132461161079313,-0.0007188300209131517,0.05641999867113059,0.008832733121219537,1223.0,296.0,773.0
2024-07-25,-0.06045751633986928,-0.0007631291466592993,0.04908605212486101,-0.0019485614646905028,1224.0,296.0,775.0
2024-07-26,-0.058823529411764705,-0.0007247969093833339,0.06198183971575208,0.0014298169136878758,1224.0,296.0,775.0
2024-07-29,-0.08415032679738563,-0.0012699586661841088,0.020853774925337923,0.01789886660854402,1224.0,296.0,775.0
2024-07-30,-0.09068627450980392,-0.0014388288063800412,0.001192314497579186,0.010836965998256315,1224.0,296.0,775.0
2024-07-31,-0.09313725490196079,-0.0015864299553756081,-0.006180733162830354,0.008256320836965994,1224.0,296.0,775.0
2024-08-01,-0.09461663947797716,-0.0016591007513900942,-0.015043218641225722,0.012709137709137716,1226.0,296.0,777.0
2024-08-02,-0.09209453952730236,-0.0016020012760067435,-0.010880429601133362,0.01003091780726742,1227.0,296.0,778.0
2024-08-05,-0.09616951915240424,-0.0017149187703434773,-0.010103945381912435,0.03206419787396651,1227.0,296.0,778.0
2024-08-06,-0.09624796084828711,-0.0016590455415248972,-0.015920091995828098,0.02364864864864865,1226.0,296.0,777.0
2024-08-07,-0.09120521172638436,-0.0015197721354221348,-0.005139637955892562,0.024251465843250178,1228.0,296.0,779.0
2024-08-08,-0.08957654723127036,-0.0015113555845094012,-0.010133467788190909,0.0208730874648718,1228.0,296.0,779.0
2024-08-09,-0.09364820846905537,-0.0015657077704414372,-0.016725131545978447,0.02134580022898379,1228.0,296.0,779.0
2024-08-12,-0.0984540276647681,-0.001470915331777646,-0.020712620136126528,0.03603603603603603,1229.0,296.0,780.0
2024-08-13,-0.0935720097640358,-0.001387602407240934,-0.01910392465765283,0.01749470908649342,1229.0,296.0,779.0
2024-08-14,-0.0919446704637917,-0.0013552570799378564,-0.01747658535740873,0.0006028171946015348,1229.0,296.0,779.0
2024-08-15,-0.10170870626525631,-0.001496883020329372,-0.0232132034034411,-0.00568122679804324,1229.0,296.0,779.0
2024-08-16,-0.10659072416598861,-0.0016157323362347717,-0.033818851721180765,-0.013248967838184786,1229.0,296.0,779.0
2024-08-19,-0.12693246541903988,-0.0022702820857814702,-0.05917736337822356,-0.005412344308364847,1229.0,296.0,779.0
2024-08-20,-0.13751017087062653,-0.002877697808290502,-0.07618555925983339,-0.009939978489400828,1229.0,296.0,779.0
2024-08-21,-0.1497152156224573,-0.003522647872105918,-0.08839060401166415,-0.008521840197064826,1229.0,296.0,779.0
2024-08-22,-0.15609756097560976,-0.0042584688782523255,-0.09564004463574047,-0.007623007623007633,1230.0,296.0,780.0
2024-08-23,-0.177379983726607,-0.005589364234081598,-0.11855645431484228,-0.0014379764379764404,1229.0,296.0,780.0
2024-08-26,-0.2040650406504065,-0.008021239971705552,-0.11991471385302088,0.0007743018306398675,1230.0,296.0,781.0
2024-08-27,-0.22195121951219512,-0.009511528779056673,-0.13126494500239122,-0.003668200851299458,1230.0,296.0,781.0
2024-08-28,-0.24735557363710334,-0.012457974776680291,-0.15421831873514255,-0.01701316701316699,1229.0,296.0,780.0
2024-08-29,-0.2988599348534202,-0.01614582509207371,-0.20424329537544306,-0.009749158658016177,1228.0,296.0,779.0
2024-08-30,-0.35418359057676685,-0.02134217240090525,-0.2620890510494645,-0.004715022320656126,1231.0,296.0,781.0
2024-09-02,-0.42173560421735606,-0.03150705889732861,-0.3255660850649518,-0.03260588174381274,1233.0,296.0,783.0
2024-09-03,-0.4282238442822384,-0.033640154420121034,-0.3319758834339513,-0.035531220876048486,1233.0,296.0,783.0
2024-09-04,-0.42984590429845904,-0.03556618049791891,-0.3386406925720747,-0.03561086596800883,1233.0,296.0,784.0
2024-09-05,-0.42984590429845904,-0.03743714405763641,-0.3402693570671887,-0.04319498069498068,1233.0,296.0,784.0
2024-09-06,-0.43309002433090027,-0.038893834942691274,-0.3394418158618449,-0.0347145615002758,1233.0,296.0,784.0
2024-09-09,-0.42741281427412814,-0.04209557094682983,-0.32895878660936007,-0.033059845559845535,1233.0,296.0,784.0
2024-09-10,-0.43227899432278993,-0.04309772679886361,-0.33870698455875414,-0.03599007170435742,1233.0,296.0,784.0
2024-09-11,-0.43527508090614886,-0.04334444949140035,-0.3433304104423571,-0.028886211051816157,1236.0,296.0,785.0
2024-09-12,-0.4369951534733441,-0.042872153949554626,-0.3352864472080878,-0.015482085138573687,1238.0,296.0,786.0
2024-09-13,-0.43548387096774194,-0.042814285480156436,-0.3288931468017533,-0.010547237199079629,1240.0,296.0,787.0
2024-09-18,-0.43478260869565216,-0.04181827363810091,-0.3078501432766123,-0.010874395392161895,1242.0,297.0,788.0
2024-09-19,-0.42604501607717044,-0.04073663907286896,-0.28853484520654393,-0.018488608590131406,1244.0,297.0,788.0
2024-09-20,-0.4180064308681672,-0.03946151942588972,-0.26829121524570987,-0.03035003161906713,1244.0,297.0,788.0
2024-09-23,-0.4091639871382637,-0.03922543520559281,-0.25306642616265396,-0.052312464749012966,1244.0,297.0,788.0
2024-09-24,-0.40401606425702813,-0.03808531148244848,-0.22663608053042114,-0.06461317868161975,1245.0,297.0,789.0
2024-09-25,-0.3828250401284109,-0.03323849286799223,-0.1787599994780044,-0.07098872117883526,1246.0,297.0,789.0
2024-09-26,-0.3723916532905297,-0.031021155561575368,-0.15044043377833458,-0.06639269757140481,1246.0,297.0,789.0
2024-09-27,-0.36947791164658633,-0.028009313421644373,-0.122122338009483,-0.05881146490283545,1245.0,297.0,788.0
2024-09-30,-0.3651685393258427,-0.02562859339558541,-0.06630860447242248,-0.04368558683279494,1246.0,297.0,788.0
2024-10-08,-0.35553772070626005,-0.023326131971531085,-0.0013541301294932029,-0.034464783195747695,1246.0,297.0,788.0
2024-10-09,-0.32664526484751205,-0.016088076362164277,0.09509033936984401,-0.03544753798560907,1246.0,297.0,788.0
2024-10-10,-0.3057784911717496,-0.013853502595167513,0.12244535311048882,-0.030914047411509327,1246.0,297.0,788.0
2024-10-11,-0.29246794871794873,-0.01226906365078143,0.1373779555805103,-0.024118825384648157,1248.0,297.0,790.0
2024-10-14,-0.2932692307692308,-0.011808009258972671,0.13657667352922825,0.006614669905809167,1248.0,297.0,790.0
