theta_L,h,w_S,kou_jing,carry_source,is_incumbent,is_symmetric_1a,net_sharpe_selection_2014_2023,net_ann_selection_2014_2023,maxdd_selection_2014_2023,calmar_selection_2014_2023,turnover_selection_2014_2023,hit_selection_2014_2023,long_frac_selection_2014_2023,short_frac_selection_2014_2023,n_obs_selection_2014_2023,net_sharpe_train_2014_2020,net_ann_train_2014_2020,maxdd_train_2014_2020,calmar_train_2014_2020,turnover_train_2014_2020,hit_train_2014_2020,long_frac_train_2014_2020,short_frac_train_2014_2020,n_obs_train_2014_2020,net_sharpe_val_2021_2023,net_ann_val_2021_2023,maxdd_val_2021_2023,calmar_val_2021_2023,turnover_val_2021_2023,hit_val_2021_2023,long_frac_val_2021_2023,short_frac_val_2021_2023,n_obs_val_2021_2023,net_sharpe_holdout_2024_2026,net_ann_holdout_2024_2026,maxdd_holdout_2024_2026,calmar_holdout_2024_2026,turnover_holdout_2024_2026,hit_holdout_2024_2026,long_frac_holdout_2024_2026,short_frac_holdout_2024_2026,n_obs_holdout_2024_2026,net_sharpe_full_2014_2026,net_ann_full_2014_2026,maxdd_full_2014_2026,calmar_full_2014_2026,turnover_full_2014_2026,hit_full_2014_2026,long_frac_full_2014_2026,short_frac_full_2014_2026,n_obs_full_2014_2026,worst_tv_sharpe
0.0,0.1,-0.5,blend,blend,False,False,1.482465,0.264098,-0.172159,1.534031,13.337099,0.510052,0.448233,0.461791,2434,1.596503,0.309164,-0.172159,1.795802,14.209139,0.510191,0.425308,0.462214,1707,1.125238,0.151088,-0.131245,1.151188,11.289546,0.509066,0.502063,0.460798,727,1.804532,0.362273,-0.182716,1.982712,13.58954,0.52459,0.473851,0.459588,631,1.554513,0.284498,-0.182716,1.557048,13.38907,0.51328,0.453507,0.461338,3065,1.125238
0.0,0.1,-1.0,500,500,False,False,1.142187,0.266835,-0.263181,1.013883,17.816352,0.513986,0.448233,0.461791,2434,1.196293,0.306971,-0.263181,1.166386,18.801992,0.509554,0.425308,0.462214,1707,0.992097,0.16603,-0.150083,1.106251,15.502063,0.523013,0.502063,0.460798,727,1.552749,0.388245,-0.267504,1.451365,17.860539,0.52459,0.473851,0.459588,631,1.232272,0.292135,-0.267504,1.09208,17.825449,0.516385,0.453507,0.461338,3065,0.992097
0.0,0.1,-1.0,1000,1000,False,False,1.435353,0.36314,-0.276223,1.314659,17.816352,0.513986,0.448233,0.461791,2434,1.499744,0.410167,-0.276223,1.48491,18.801992,0.51465,0.425308,0.462214,1707,1.247984,0.244896,-0.13295,1.842015,15.502063,0.511855,0.502063,0.460798,727,1.549384,0.425115,-0.286594,1.483333,17.860539,0.52623,0.473851,0.459588,631,1.461516,0.376347,-0.286594,1.313168,17.825449,0.51673,0.453507,0.461338,3065,1.247984
0.0,0.1,-1.0,blend,blend,False,False,1.305392,0.314987,-0.269625,1.168243,17.816352,0.510052,0.448233,0.461791,2434,1.362401,0.358569,-0.269625,1.329881,18.801992,0.510191,0.425308,0.462214,1707,1.145838,0.205463,-0.139042,1.477702,15.502063,0.509066,0.502063,0.460798,727,1.565828,0.40668,-0.275382,1.476787,17.860539,0.52459,0.473851,0.459588,631,1.363288,0.334241,-0.275382,1.213737,17.825449,0.51328,0.453507,0.461338,3065,1.145838
0.1,0.0,0.0,500,500,False,False,1.275903,0.182103,-0.142382,1.278973,10.468365,0.55127,0.415366,0.0,2434,1.492129,0.231524,-0.129518,1.787588,11.051552,0.55794,0.387815,0.0,1707,0.555042,0.059495,-0.142382,0.417852,9.099037,0.53719,0.480055,0.0,727,1.709201,0.288058,-0.11932,2.414164,11.648177,0.538721,0.44691,0.0,631,1.374086,0.203916,-0.157609,1.293807,10.711256,0.548529,0.42186,0.0,3065,0.555042
0.1,0.0,0.0,1000,1000,False,False,1.005592,0.155695,-0.177606,0.876634,10.468365,0.544685,0.415366,0.0,2434,1.088353,0.181105,-0.173372,1.044607,11.051552,0.547926,0.387815,0.0,1707,0.718398,0.08821,-0.138204,0.638262,9.099037,0.53719,0.480055,0.0,727,1.66168,0.304138,-0.12635,2.407112,11.648177,0.569024,0.44691,0.0,631,1.156485,0.186256,-0.177606,1.048702,10.711256,0.55,0.42186,0.0,3065,0.718398
0.1,0.0,0.0,blend,blend,False,False,1.144318,0.168899,-0.140257,1.204211,10.468365,0.544685,0.415366,0.0,2434,1.291503,0.206315,-0.138364,1.491099,11.051552,0.555079,0.387815,0.0,1707,0.651516,0.073852,-0.140257,0.526551,9.099037,0.523416,0.480055,0.0,727,1.695109,0.296098,-0.118874,2.490857,11.648177,0.572391,0.44691,0.0,631,1.27035,0.195086,-0.140257,1.390917,10.711256,0.550735,0.42186,0.0,3065,0.651516
0.1,0.0,-0.25,500,500,False,False,1.299906,0.193396,-0.149568,1.29303,13.009963,0.502084,0.415366,0.430567,2434,1.470352,0.237976,-0.149568,1.591087,13.706796,0.496933,0.387815,0.428237,1707,0.736678,0.082157,-0.142382,0.577016,11.373796,0.512301,0.480055,0.436039,727,1.760607,0.307057,-0.125861,2.439648,13.783677,0.517182,0.44691,0.435816,631,1.404627,0.216872,-0.149568,1.449989,13.16925,0.50547,0.42186,0.431648,3065,0.736678
0.1,0.0,-0.25,1000,1000,False,False,1.200406,0.193842,-0.184267,1.051964,13.009963,0.503474,0.415366,0.430567,2434,1.27236,0.220834,-0.175776,1.256333,13.706796,0.503067,0.387815,0.428237,1707,0.957475,0.122643,-0.138204,0.887403,11.373796,0.503618,0.480055,0.436039,727,1.732116,0.328302,-0.129546,2.534254,13.783677,0.520619,0.44691,0.435816,631,1.322063,0.221636,-0.184267,1.202797,13.16925,0.507294,0.42186,0.431648,3065,0.957475
0.1,0.0,-0.25,blend,blend,False,False,1.258193,0.193619,-0.160573,1.205797,13.009963,0.499305,0.415366,0.430567,2434,1.376956,0.229405,-0.160573,1.428659,13.706796,0.498978,0.387815,0.428237,1707,0.866938,0.1024,-0.140257,0.730086,11.373796,0.499276,0.480055,0.436039,727,1.7575,0.317679,-0.123336,2.575718,13.783677,0.5189,0.44691,0.435816,631,1.372149,0.219254,-0.160573,1.365442,13.16925,0.503647,0.42186,0.431648,3065,0.866938
