family,length,skip,z_window,smoothing,sharpe_train_14_20,sharpe_val_21_23,sharpe_holdout_24_26
voladj,20,0,120,0,0.9793694584008429,1.844463931291554,1.2042462356622108
voladj,20,0,120,5,0.898542844925956,1.543272250227574,1.4808586438006845
voladj,20,0,250,0,0.8823803230713133,1.8720385729701436,1.4229035397478382
voladj,20,0,250,5,1.0834641858166065,1.1886677535781713,1.5233334777920007
voladj,60,0,40,0,0.7857449395730227,1.2881018274576617,0.5136538726974758
voladj,60,0,40,5,0.5514391407850631,0.889000185025817,-0.09382198863312635
voladj,60,0,120,0,0.7328432543358916,1.016231511300481,0.24984598131534985
voladj,60,0,120,5,0.4138452176835788,0.6218299484798099,0.11949623889877611
voladj,60,0,250,0,0.7096432551099924,0.594887856259919,0.2841781899799665
voladj,60,0,250,5,0.38007648486221046,0.29391500703854767,-0.007308108770573887
voladj,120,0,40,0,0.619833126803965,1.063340228025574,1.13238114406108
voladj,120,0,40,5,0.5493746160133067,1.1798078154857983,0.4750328751833276
voladj,120,0,120,0,0.2678093175751985,0.6946089496865481,0.929143222060684
voladj,120,0,120,5,0.020674252403842273,0.7649806599009962,0.02288598833060662
voladj,120,0,250,0,0.34895195282403524,0.6848348027553204,1.3083602367592637
voladj,120,0,250,5,-0.03425266238395472,0.3616622477904027,0.6660851306539297
voladj,250,0,40,0,0.9540263553877848,-0.17267647463116423,0.13345522984736813
voladj,250,0,40,5,1.0374446157073594,0.23283462297756985,0.34991962050221
voladj,250,0,120,0,0.3778316610500899,0.28009877423556856,1.35930291874635
voladj,250,0,120,5,0.24876664413705515,0.20730730087235605,0.9391644652422869
voladj,250,0,250,0,0.09554797649734362,-0.14950595632535157,1.4841251333467957
voladj,250,0,250,5,0.25845433873906487,0.07497379037303684,1.0431454486533365
winrate,10,0,40,0,0.2843619335114276,0.171557456160397,0.5195476715626949
winrate,10,0,40,5,0.8440894514279882,1.1147895470795501,1.0764133277999455
winrate,10,0,120,0,0.905474403691679,0.7246033867444793,0.5394865536141968
winrate,10,0,120,5,0.7857401462237055,0.7815414116092074,0.19794350872057553
winrate,10,0,250,0,0.7780393251614254,0.9521139083808617,0.2222277324786079
winrate,10,0,250,5,0.9695223438463749,0.5001398907609184,0.46534951171094163
winrate,20,0,40,0,0.594689114840102,1.127416440939436,0.7656435025075913
winrate,20,0,40,5,0.6762087693062205,1.136058901988921,1.3541363030356273
winrate,20,0,120,0,0.7511397703653218,0.8078761983208053,0.3027713637100823
winrate,20,0,120,5,0.8498546208989206,0.9624569905820414,0.754663741197508
winrate,20,0,250,0,1.004222520717731,1.0987455970267876,0.6273036097055047
winrate,20,0,250,5,1.1447432661629675,0.8848525674881692,1.1755625114055273
winrate,60,0,40,0,0.9821325075258431,0.9781297619183306,0.43537718244657914
winrate,60,0,40,5,0.6255435675390981,1.3967325525175631,0.04668249670932776
winrate,60,0,120,0,0.6558641275189996,0.16310839541509436,-0.11049866917024714
winrate,60,0,120,5,0.5916999433810523,0.11525083612819353,-0.45714163162051324
winrate,60,0,250,0,0.4317379888957824,0.05188187915996211,0.11319931193626555
winrate,60,0,250,5,0.6811419399870096,-0.10905566701248062,0.3138696526195159
smooth,10,0,40,0,0.43812830154744326,0.7979079185764789,-0.565204570771217
smooth,10,0,40,5,0.6350867559741848,1.2118728040868834,0.6729206003674695
smooth,10,0,120,0,1.0692129329266356,1.324401876619685,-0.14115074452389142
smooth,10,0,120,5,0.7039482491076243,1.0806112103898897,-0.04540227985114021
smooth,10,0,250,0,0.8928453087922151,1.5160050453817258,0.012542922112179508
smooth,10,0,250,5,1.0314361309737325,0.7814669576462417,-0.0417487368051105
smooth,20,0,40,0,1.03699524441189,1.5819918279699139,1.252087347466728
smooth,20,0,40,5,1.0012268031315745,1.408392765548083,1.58275202940918
smooth,20,0,120,0,1.0431763696260552,2.0290029529701985,0.824738078769372
smooth,20,0,120,5,0.9848595019500982,1.302358838643914,1.1218555001417463
smooth,20,0,250,0,1.3753362442362618,1.4699930560823025,0.9622276018684469
smooth,20,0,250,5,1.1768421499648773,1.1847113933080626,0.8600796436464333
smooth,60,0,40,0,0.896881884614604,1.8043563098724822,0.6462151196187581
smooth,60,0,40,5,0.8172712334788378,1.284766245874298,0.3897373964534807
smooth,60,0,120,0,0.551843886791819,0.7043567173281299,0.022169206241511256
smooth,60,0,120,5,0.22141798209449784,0.1841509242049703,-0.28612284198128846
smooth,60,0,250,0,0.47656245307054845,0.4524332389265775,0.18314364855640525
smooth,60,0,250,5,0.5203075699485965,0.46229139773361977,-0.1600375261483254
highdist,60,0,40,0,1.2016804332795594,1.4063279001668711,0.6323465323512478
highdist,60,0,40,5,0.869668049684407,1.5139379813530545,1.0066483610563184
highdist,60,0,120,0,0.7751058699927146,1.1127250797528656,0.2320505601434834
highdist,60,0,120,5,0.5840175486695004,0.945704232470269,0.3945948814274996
highdist,60,0,250,0,0.38379734530170156,0.9138825584760493,0.6458499765404185
highdist,60,0,250,5,0.44221964760569477,1.0622203399615244,0.2476469323864735
highdist,120,0,40,0,1.1697111934781266,1.3888706380931217,0.6600204829731
highdist,120,0,40,5,0.8622010323841562,1.0112366221721791,1.0591357011690907
highdist,120,0,120,0,0.5843806814299325,0.2510437742720725,0.26988371883696155
highdist,120,0,120,5,0.8640768729443166,0.3974398252473014,0.3759277416071176
highdist,120,0,250,0,0.466551746896923,0.3467753618305968,-0.07372256832713267
highdist,120,0,250,5,0.42837097746624553,0.6818817112118608,0.2966165216311887
highdist,250,0,40,0,0.8582449089839376,1.4192537863001518,0.4642333630844485
highdist,250,0,40,5,0.9015410702671423,0.7800677507288681,0.8319010906289288
highdist,250,0,120,0,0.21429688710063813,0.36479519634809104,0.355082249583903
highdist,250,0,120,5,0.3601371419895707,0.6205853305399817,0.020331477056561836
highdist,250,0,250,0,0.1340912983152359,0.13263488621489897,0.6645201733906099
highdist,250,0,250,5,0.049791540005229,0.075116111995303,0.8219079369859807
