measure,form,P,Q,hold,threshold,dual_sharpe_train_14_20,maxdd_improve_train_14_20,short_frac_train_14_20,dual_sharpe_val_21_23,maxdd_improve_val_21_23,short_frac_val_21_23,dual_sharpe_holdout_24_26,maxdd_improve_holdout_24_26,short_frac_holdout_24_26
pct_above_ma20,deteriorating,60,40,5,0.2,1.3160376803177085,-2.220446049250313e-16,0.028119507908611598,0.7014602537155941,3.3306690738754696e-16,0.015130674002751032,1.7476586834892367,0.0,0.0
pct_above_ma20,low_pct,60,40,5,0.2,1.4522495597307992,0.0,0.0005858230814294083,0.7602070094470955,0.0,0.0,1.7217147722799915,0.0,0.003367003367003367
pct_above_ma20,nonconfirm,60,60,10,0.2,0.5445987434418441,-0.15286503540358853,0.14586994727592267,0.5934583727071259,0.0,0.05364511691884457,2.172792418719517,0.0021892516018939823,0.09932659932659933
pct_above_ma20,deteriorating,60,10,10,0.2,0.8703668229844482,-0.12936680285889945,0.0773286467486819,0.6995931860949103,-3.3306690738754696e-16,0.0068775790921595595,1.9078613413345642,0.0,0.05218855218855219
pct_above_ma20,low_pct,60,10,10,0.2,1.3924568603895933,-3.3306690738754696e-16,0.018746338605741066,0.7602070094470955,0.0,0.0,1.7373525855518497,0.0,0.0016835016835016834
pct_above_ma20,deteriorating,60,20,10,0.2,1.079709088207272,-0.04006788103132819,0.0492091388400703,0.5347405751099953,0.0,0.009628610729023384,1.6915656396292609,0.0,0.030303030303030304
pct_above_ma20,low_pct,60,20,10,0.2,1.3600803659147462,-0.0400678810313283,0.011130638547158758,0.7602070094470955,0.0,0.0,1.7373525855518497,0.0,0.0016835016835016834
pct_above_ma20,deteriorating,60,40,10,0.2,1.2788732381996832,-1.1102230246251565e-16,0.04569420035149385,0.7411324326174419,-5.551115123125783e-16,0.023383768913342505,1.7373525855518497,0.0,0.0016835016835016834
pct_above_ma20,low_pct,60,40,10,0.2,1.3786404772389431,-6.661338147750939e-16,0.0029291154071470417,0.7602070094470955,0.0,0.0,1.6722673839617683,0.0,0.006734006734006734
pct_above_ma20,nonconfirm,60,60,20,0.2,0.4381359400212589,-0.2575747349276959,0.1704745166959578,0.5100620201150252,-0.00024325257097113084,0.07840440165061899,1.9822697542992056,0.0021892516018939823,0.14814814814814814
pct_above_ma20,deteriorating,60,10,20,0.2,0.748628872865414,-0.17431151070613293,0.10779144698301113,0.5294937718662928,1.1102230246251565e-16,0.012379642365887207,1.8170049010380118,0.0,0.08417508417508418
pct_above_ma20,low_pct,60,10,20,0.2,1.3085424529414103,-0.027168174185408067,0.03046280023432923,0.690626125856968,0.0,0.001375515818431912,1.7373525855518497,0.0,0.0016835016835016834
pct_above_ma20,deteriorating,60,20,20,0.2,0.889754298553458,-0.07755132103343099,0.07205623901581722,0.44090071855766805,-0.00024325257097113084,0.012379642365887207,1.6915656396292609,0.0,0.030303030303030304
pct_above_ma20,low_pct,60,20,20,0.2,1.264847539434199,-0.04006788103132819,0.01757469244288225,0.7602070094470955,0.0,0.0,1.7373525855518497,0.0,0.0016835016835016834
pct_above_ma20,deteriorating,60,40,20,0.2,1.1514568960376415,-0.0042267511017552994,0.07264206209724663,0.786581971772982,-5.551115123125783e-16,0.03851444291609354,1.7373525855518497,0.0,0.0016835016835016834
pct_above_ma20,low_pct,60,40,20,0.2,1.3570617219672365,-3.3306690738754696e-16,0.007029876977152899,0.7602070094470955,0.0,0.0,1.6722673839617683,0.0,0.006734006734006734
pct_above_ma60,nonconfirm,20,20,5,0.2,0.796985582371934,-0.12554425621283494,0.09431751611013474,0.8511452274825323,0.0,0.06327372764786796,2.2030717492706198,0.002189251601893538,0.04882154882154882
pct_above_ma60,deteriorating,20,10,5,0.2,1.4074892329550188,-1.1102230246251565e-16,0.028119507908611598,0.6768444971499901,0.0,0.015130674002751032,1.780448961054905,0.0,0.010101010101010102
pct_above_ma60,low_pct,20,10,5,0.2,1.5417210392779428,-4.440892098500626e-16,0.0017574692442882249,0.7636195063226568,0.0,0.0068775790921595595,1.7476586834892367,0.0,0.0
pct_above_ma60,deteriorating,20,20,5,0.2,1.2232661364333421,-1.1102230246251565e-16,0.035735207967193906,0.620184031756212,-2.220446049250313e-16,0.02888583218707015,1.7067016045798984,1.1102230246251565e-16,0.020202020202020204
pct_above_ma60,low_pct,20,20,5,0.2,1.4263672197509434,-1.1102230246251565e-16,0.0023432923257176333,0.7636195063226568,0.0,0.0068775790921595595,1.7476586834892367,0.0,0.0
pct_above_ma60,deteriorating,20,40,5,0.2,1.3040416520563824,-0.0024797577542552407,0.0626830697129467,0.4874548611441728,1.1102230246251565e-16,0.03851444291609354,1.5800745749521534,1.1102230246251565e-16,0.04040404040404041
pct_above_ma60,low_pct,20,40,5,0.2,1.4361260763679236,-1.1102230246251565e-16,0.005858230814294083,0.7393876356449062,0.0,0.011004126547455296,1.7476586834892367,0.0,0.0
