w,delta_abs_ic,sharpe_train,sharpe_val,sharpe_holdout,worst_tv,is_equal,is_winner
0.25/0.25/0.25/0.25,0.0,1.601972256583318,1.2560757952402728,1.5108623093670808,1.2560757952402728,True,False
0.00/1.00/0.00/0.00,-7.37136960047291e-05,1.090679793314563,1.2733357836536123,0.8775574891976928,1.090679793314563,False,False
0.33/0.17/0.17/0.33,-0.0013838071113613237,1.5658781468328031,1.2795821908985299,1.368816235528481,1.2795821908985299,False,False
0.29/0.29/0.14/0.29,-0.0024359025907013943,1.2334464190272678,1.2527345802031642,1.6162720271311606,1.2334464190272678,False,False
0.20/0.40/0.40/0.00,-0.002693900526717863,1.1849606928725853,1.307500800647789,1.2470732190754799,1.1849606928725853,False,False
0.40/0.20/0.00/0.40,-0.0037459960060579334,1.2789811337059465,1.22079739997641,1.4425720308521968,1.22079739997641,False,False
0.40/0.00/0.20/0.40,-0.0038029565893343276,1.076789087504718,1.0269608038320244,1.336507102872573,1.0269608038320244,False,False
0.29/0.29/0.29/0.14,-0.005783174513824707,1.3437458470557377,1.2680966812644352,1.4499949548705438,1.2680966812644352,False,False
0.33/0.17/0.33/0.17,-0.007170332247731642,1.7464977377089799,1.3784376742101452,1.5272698050048723,1.3784376742101452,False,False
0.33/0.33/0.17/0.17,-0.009358288770053486,1.4733301278332556,1.1425669276505472,1.3902505762381807,1.1425669276505472,False,False
0.25/0.25/0.50/0.00,-0.009364990015144847,1.2564099365626764,1.1991512789211094,1.3287486391543941,1.1991512789211094,False,False
0.25/0.50/0.25/0.00,-0.01151944031201002,1.432846136901829,1.2415405624488685,1.252560603215524,1.2415405624488685,False,False
0.40/0.20/0.20/0.20,-0.015697666626459245,1.369932563169347,1.3240465210859513,1.303722253488693,1.3240465210859513,False,False
0.40/0.00/0.40/0.20,-0.01573452347446158,1.617605016034205,1.067770797163021,1.3875790821954657,1.067770797163021,False,False
0.40/0.40/0.00/0.20,-0.018914264270301462,1.1554541093982096,1.1728756416479231,1.0359222527787129,1.1554541093982096,False,False
0.50/0.00/0.00/0.50,-0.019731816171444705,1.1672985738014983,0.9844319449122025,1.371650812106912,0.9844319449122025,False,False
0.33/0.33/0.33/0.00,-0.019882594185999775,1.0855778614673426,1.2694764050147163,1.266025751589434,1.0855778614673426,False,False
0.33/0.00/0.67/0.00,-0.02221797810033105,1.4583691055555388,1.302689159812697,1.2873374226708556,1.302689159812697,False,False
0.50/0.25/0.00/0.25,-0.02722715880610621,0.9530342433405515,1.2331684371717997,1.2771227582189553,0.9530342433405515,False,False
0.50/0.00/0.25/0.25,-0.0302728747001193,1.259428137721985,0.9957559661525995,1.4741320530805324,0.9957559661525995,False,False
0.40/0.20/0.40/0.00,-0.03050406765577046,1.29054480013688,1.3670704804918303,1.3516960768095454,1.29054480013688,False,False
0.33/0.67/0.00/0.00,-0.03062804068996025,1.4013750479186715,1.3287106883630988,1.0637316111398578,1.3287106883630988,False,False
0.40/0.40/0.20/0.00,-0.03235026067843408,1.2796636371809225,1.2361076148203132,0.9762467371826689,1.2361076148203132,False,False
0.50/0.25/0.25/0.00,-0.050085105812660013,1.0774760591800974,1.374356772163692,1.0542849999884218,1.0774760591800974,False,False
0.50/0.50/0.00/0.00,-0.05011861203811671,1.1255323921474771,1.187695531665778,0.9261374258928496,1.1255323921474771,False,False
0.50/0.00/0.50/0.00,-0.05088925522362059,1.3025851319627377,1.080894607430825,1.3453323890626951,1.080894607430825,False,False
0.67/0.00/0.00/0.33,-0.051569431600391374,1.2454611586194406,1.0426016151922006,1.2665224761724407,1.0426016151922006,False,False
0.67/0.00/0.33/0.00,-0.07226957768753436,0.7525703022261976,1.1542895659640218,1.3631194954801384,0.7525703022261976,False,False
0.67/0.33/0.00/0.00,-0.07558669400774666,0.6647526257495223,1.0540877935983706,0.7994991698183129,0.6647526257495223,False,False
1.00/0.00/0.00/0.00,-0.12403669601812019,0.6222348215082872,1.1336241558860745,1.0626516110281976,0.6222348215082872,False,False
