date,T1_IF,T2_IF,n_used_IF,T1_IH,T2_IH,n_used_IH,T1_IC,T2_IC,n_used_IC,T1_IM,T2_IM,n_used_IM
2025-04-07,-1.6655438741166526,-0.8942111970755462,4.0,-1.2873443320978395,-0.6891456368291817,4.0,-0.38849837420517164,-0.20755658256140969,4.0,0.8017565045560069,0.4355476028930956,4.0
2025-04-08,-0.8021053638886467,-0.4270140093621305,4.0,-0.8849794406820716,-0.46722290942677835,4.0,-0.4977503806316106,-0.2546417759820049,4.0,-0.5677284621467621,-0.2963435786546176,4.0
2025-04-09,-0.5030184825503166,-0.27601258850725974,4.0,-0.4971163745567358,-0.28604955303811735,4.0,-0.5120173185165022,-0.269776132255987,4.0,-0.5242737062701563,-0.2673624664161627,4.0
2025-04-10,-0.37863492946049004,-0.2128848759334087,4.0,-0.3383563408977689,-0.19689633878523533,4.0,-0.33276903479396924,-0.17295957334975748,4.0,-0.34137881741122095,-0.171405379363776,4.0
2025-04-11,-0.3318616213463768,-0.1871246945588809,4.0,-0.27499257766978075,-0.1638069860260511,4.0,-0.2499799760893372,-0.12559617606607104,4.0,-0.2107824593899543,-0.10601306872103855,4.0
2025-04-14,-0.07905897275693927,-0.026753752125529245,3.0,0.005127852489483215,0.001770145175410326,3.0,-0.2644070359623364,-0.09556859339301907,3.0,-0.319423251780763,-0.11587417483825907,3.0
2025-04-15,-0.12917782529912183,-0.04589105620318237,3.0,-0.05600872573865273,-0.023343593090062446,3.0,-0.22159275042045884,-0.07759105532968319,3.0,-0.23670526976321687,-0.08165706082947474,3.0
2025-04-16,-0.1979785323625656,-0.07273561655591024,3.0,-0.16933011024968272,-0.06717024891980332,3.0,-0.25561718630140445,-0.08996659852022632,3.0,-0.2651275650732077,-0.0926625947894596,3.0
2025-04-17,-0.11569830106700056,-0.04267306414423386,3.0,-0.04365439187612109,-0.017873260469849217,3.0,-0.14321941464877794,-0.04896799470401349,3.0,-0.151631817987403,-0.05170090468505992,3.0
2025-04-18,-0.13102375190331128,-0.04840972525496941,3.0,-0.038168151516132814,-0.016110836979100353,3.0,-0.18269772661841366,-0.06344098450749759,3.0,-0.18574666387460065,-0.06482078138031994,3.0
2025-04-21,-0.07532741037331131,-0.0477541587244841,4.0,-0.03023954082797379,-0.019413487433115925,4.0,-0.11124529064583297,-0.06428236053972348,4.0,-0.14621807349030375,-0.0869238498946218,4.0
2025-04-22,-0.0661221657661473,-0.04104264937844855,4.0,-0.009722448875642255,-0.00554665830045753,4.0,-0.09619765985584572,-0.052301617717303725,4.0,-0.13703723467757994,-0.07960828992049088,4.0
2025-04-23,-0.06347089425617523,-0.03677451867431477,4.0,-0.021479849669718998,-0.012327934621821357,4.0,-0.10541193141286073,-0.05631456253078525,4.0,-0.11463519116394674,-0.06560380956416105,4.0
2025-04-24,-0.023478998828145328,-0.0063680221176235785,4.0,0.0007716257440119888,0.004572992966038868,4.0,-0.06570928828135943,-0.02782567682441725,4.0,-0.07722269619052252,-0.03754414207852852,4.0
2025-04-25,-0.02085909417311676,-0.0038883327787663027,4.0,0.0021919041111699757,0.007775130364208804,4.0,-0.087240601546564,-0.043986740665001314,4.0,-0.08987216672186982,-0.046009256386990285,4.0
