underlying,lookback,z_window,smoothing,sharpe_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
2000｜中证2000（微盘代理）,5,25,5,0.02791099534085375,0.01887498210087881,-0.06482901941418652,0.12851306482310096,-0.06482901941418652
2000｜中证2000（微盘代理）,5,250,0,0.48683845312012075,0.3732107436144288,0.6149740022254667,0.6406142878703603,0.3732107436144288
2000｜中证2000（微盘代理）,5,250,5,0.5615708817485983,0.48505622880096905,0.4398420876435152,0.8880894757083662,0.4398420876435152
2000｜中证2000（微盘代理）,10,20,0,0.3771683941056821,0.5912528157380142,-0.30222917081704953,0.4567713743980221,-0.30222917081704953
2000｜中证2000（微盘代理）,10,20,5,0.45189517534826995,0.2903364034185624,-0.021417050416020846,1.404572343188677,-0.021417050416020846
2000｜中证2000（微盘代理）,10,30,0,0.5385854025432351,0.7131568169091551,0.23556124366088818,0.3427163042222972,0.23556124366088818
2000｜中证2000（微盘代理）,10,30,5,0.7702482908717742,0.8107763362592163,0.4356759004618497,0.977838943771155,0.4356759004618497
2000｜中证2000（微盘代理）,10,50,0,0.8627981962126288,0.9765018158025532,0.7434099654758631,0.6567601175175309,0.7434099654758631
2000｜中证2000（微盘代理）,10,50,5,1.1529485411095244,1.261019500780421,1.0850348436513024,0.915122078191966,1.0850348436513024
2000｜中证2000（微盘代理）,10,250,0,0.9473085092979345,0.8801169204619496,1.3314786969590657,0.8107776488905405,0.8801169204619496
2000｜中证2000（微盘代理）,10,250,5,0.8451807499449803,0.8824036338752511,0.7381381039296379,0.8623561685654586,0.7381381039296379
2000｜中证2000（微盘代理）,20,40,0,1.2635541652891331,1.3405649267423336,1.1217997751572653,1.2121401449112854,1.1217997751572653
2000｜中证2000（微盘代理）,20,40,5,1.539804269266038,1.6234997284219497,1.0735146556278568,1.7217608846336467,1.0735146556278568
2000｜中证2000（微盘代理）,20,60,0,1.3620294282367347,1.5480878268074776,1.0655105028972869,1.1562887352109144,1.0655105028972869
2000｜中证2000（微盘代理）,20,60,5,1.3263844010518864,1.5206737743439116,0.7993365737511596,1.2669574510589288,0.7993365737511596
2000｜中证2000（微盘代理）,20,100,0,1.6185731851689045,1.8789283562526566,1.2579361156534383,1.2907970406621332,1.2579361156534383
2000｜中证2000（微盘代理）,20,100,5,1.1871424340308456,1.2286868695931863,1.1790303059710354,1.0937728662510073,1.1790303059710354
2000｜中证2000（微盘代理）,20,250,0,1.3179555166699755,1.3807163442758656,1.4154846704154835,1.1126064274600922,1.3807163442758656
2000｜中证2000（微盘代理）,20,250,5,1.0277191559966297,1.0294410415987423,0.9032969964065496,1.1259168183768133,0.9032969964065496
2000｜中证2000（微盘代理）,40,80,0,1.2455682200663887,1.330459267530701,1.3847493600000769,1.019277141550855,1.330459267530701
2000｜中证2000（微盘代理）,40,80,5,1.114067686907603,1.1484459345282316,1.3667481352327702,0.9444804439079143,1.1484459345282316
2000｜中证2000（微盘代理）,40,120,0,1.1187175909757519,1.135172869032625,1.219952545227011,1.0797029125979656,1.135172869032625
2000｜中证2000（微盘代理）,40,120,5,0.7588953491191314,0.7311579374912691,0.936076027768377,0.7556318376640779,0.7311579374912691
2000｜中证2000（微盘代理）,40,200,0,0.8770460862331564,0.6959299884645019,1.242854710423454,1.1146322987415107,0.6959299884645019
2000｜中证2000（微盘代理）,40,200,5,0.5765162965385232,0.3633008690782324,1.083807372545671,0.8110679580827448,0.3633008690782324
2000｜中证2000（微盘代理）,40,250,0,0.898041471936842,0.7718205977812819,0.9000180917432832,1.2444015993084938,0.7718205977812819
2000｜中证2000（微盘代理）,40,250,5,0.6007838074596513,0.5035200057891113,1.0894240608485297,0.5757726004271162,0.5035200057891113
2000｜中证2000（微盘代理）,60,120,0,0.7685542344016899,1.0408588300515986,0.44745172169532854,0.35160186191874415,0.44745172169532854
2000｜中证2000（微盘代理）,60,120,5,0.5936395210555613,0.8390635020340432,0.5471625733606655,0.04291997325010464,0.5471625733606655
2000｜中证2000（微盘代理）,60,180,0,0.49276834892269156,0.7775583056007707,0.4420037017471307,-0.08316761455948325,0.4420037017471307
2000｜中证2000（微盘代理）,60,180,5,0.3907698735371611,0.6142769725711623,0.3550223673606695,-0.06977266337711063,0.3550223673606695
2000｜中证2000（微盘代理）,60,300,0,0.47111120888334923,0.5731521935230129,0.3801657813139324,0.3331880241261458,0.3801657813139324
2000｜中证2000（微盘代理）,60,300,5,0.3944503285484532,0.5580055900452785,0.3478055558002906,0.08534985178399083,0.3478055558002906
2000｜中证2000（微盘代理）,60,250,0,0.6679003736834549,0.9218850261771009,0.5793475936883167,0.21388598678884907,0.5793475936883167
2000｜中证2000（微盘代理）,60,250,5,0.44899182878939636,0.7038793183507909,0.4997550796522833,-0.11532861194925974,0.4997550796522833
div｜中证红利,5,10,0,-0.02795420939726397,0.06673699140595023,-0.2612535314228062,-0.15939699358016668,-0.2612535314228062
div｜中证红利,5,10,5,0.030990817669379694,0.23361564977567417,-0.2920627492158038,-0.4121949085564597,-0.2920627492158038
div｜中证红利,5,15,0,-0.09809284568005933,-0.15746352088834847,-0.26300799794863144,0.2819472271410648,-0.26300799794863144
div｜中证红利,5,15,5,0.030760419558996655,0.25742025905255256,-0.688529877894407,-0.04267481628788977,-0.688529877894407
div｜中证红利,5,25,0,-0.15925215035399246,-0.06690932902886358,-0.6787852580266064,0.08385747688778987,-0.6787852580266064
div｜中证红利,5,25,5,-0.006978169494509769,0.18289382671734003,-0.2374014163295574,-0.5367205275848467,-0.2374014163295574
div｜中证红利,5,250,0,0.10684738423716932,0.23179610732688902,-0.18977953364667724,-0.04886806204251355,-0.18977953364667724
div｜中证红利,5,250,5,0.4118799697413398,0.7185091489992091,-0.24195839568477182,-0.04763146164430551,-0.24195839568477182
div｜中证红利,10,20,0,0.13401160023813952,0.4209734067952783,-0.43502617513643577,-0.30645879349117144,-0.43502617513643577
