family,lb,zw,k,kou_jing,ic_selection_2014_2023,n_selection_2014_2023,ic_train_2014_2020,n_train_2014_2020,ic_val_2021_2023,n_val_2021_2023,ic_holdout_2024_2026,n_holdout_2024_2026,ic_full_2014_2026,n_full_2014_2026
D3,5,60,10,blend,0.027926,211,0.059015,139,-0.058686,71,0.244444,62,0.106675,274
D3,5,60,20,500,-0.083237,105,-0.106942,69,0.021849,35,0.155506,30,-0.022871,136
D3,5,60,20,1000,-0.043624,105,-0.042821,69,-0.051821,35,0.112792,30,0.009895,136
D3,5,60,20,blend,-0.061248,105,-0.079247,69,-0.052941,35,0.117241,30,-0.009775,136
D3,5,60,40,500,-0.054128,52,-0.063102,34,0.046569,17,0.063736,14,-0.034839,67
D3,5,60,40,1000,-0.046188,52,-0.075325,34,-0.102941,17,-0.16044,14,-0.053276,67
D3,5,60,40,blend,-0.049262,52,-0.080519,34,-0.026961,17,0.01978,14,-0.042781,67
D3,5,250,5,500,0.030781,424,0.044127,279,0.015675,144,0.145063,125,0.076725,550
D3,5,250,5,1000,0.031675,424,0.049073,279,0.00924,144,0.178972,125,0.083155,550
D3,5,250,5,blend,0.030832,424,0.045268,279,0.011622,144,0.154526,125,0.081762,550
D3,5,250,10,500,0.009191,211,0.016312,139,0.006724,71,0.150063,62,0.066356,274
D3,5,250,10,1000,0.016143,211,0.044397,139,-0.034643,71,0.155477,62,0.084968,274
D3,5,250,10,blend,0.007873,211,0.020986,139,-0.024867,71,0.170461,62,0.076058,274
D3,5,250,20,500,-0.110854,105,-0.134819,69,0.018487,35,0.173304,30,-0.066962,136
D3,5,250,20,1000,-0.075409,105,-0.086701,69,-0.016246,35,0.135039,30,-0.024755,136
D3,5,250,20,blend,-0.090639,105,-0.11783,69,-0.019888,35,0.125695,30,-0.047631,136
D3,5,250,40,500,-0.053957,52,-0.086937,34,0.041667,17,0.186813,14,-0.062096,67
D3,5,250,40,1000,-0.056092,52,-0.122383,34,-0.046569,17,-0.010989,14,-0.059103,67
D3,5,250,40,blend,-0.055152,52,-0.112911,34,0.017157,17,0.138462,14,-0.059502,67
D3,20,60,5,500,0.002421,424,-0.017451,279,0.037415,144,0.145794,125,0.026564,550
D3,20,60,5,1000,-0.002443,424,-0.007655,279,0.009344,144,0.138022,125,0.026384,550
D3,20,60,5,blend,0.000464,424,-0.01316,279,0.026471,144,0.137075,125,0.028511,550
D3,20,60,10,500,0.00452,211,-0.057179,139,0.093461,71,0.146483,62,0.031256,274
D3,20,60,10,1000,-0.008343,211,-0.036592,139,0.041147,71,0.089975,62,0.029327,274
D3,20,60,10,blend,-0.001528,211,-0.049059,139,0.057478,71,0.134144,62,0.031411,274
D3,20,60,20,500,-0.031682,105,-0.098502,69,0.087395,35,0.159956,30,-0.02122,136
D3,20,60,20,1000,-0.030209,105,-0.091085,69,0.068627,35,0.134594,30,-0.018701,136
D3,20,60,20,blend,-0.0356,105,-0.100548,69,0.042017,35,0.139043,30,-0.024474,136
D3,20,60,40,500,-0.133441,52,-0.248281,34,0.093137,17,-0.283516,14,-0.148456,67
D3,20,60,40,1000,-0.139759,52,-0.290756,34,0.07598,17,-0.459341,14,-0.156317,67
D3,20,60,40,blend,-0.120977,52,-0.260199,34,0.110294,17,-0.384615,14,-0.145862,67
D3,20,250,5,500,-0.011424,424,-0.031719,279,0.038265,144,0.095711,125,0.015802,550
D3,20,250,5,1000,-0.023101,424,-0.036146,279,0.01901,144,0.098618,125,0.010772,550
D3,20,250,5,blend,-0.017487,424,-0.035744,279,0.031686,144,0.092922,125,0.014484,550
D3,20,250,10,500,-0.018701,211,-0.066741,139,0.06219,71,0.098487,62,0.007739,274
D3,20,250,10,1000,-0.038211,211,-0.063971,139,0.011905,71,0.078895,62,0.001505,274
D3,20,250,10,blend,-0.030331,211,-0.069999,139,0.033937,71,0.109365,62,0.00457,274
D3,20,250,20,500,-0.062658,105,-0.13745,69,0.135854,35,0.063404,30,-0.054162,136
D3,20,250,20,1000,-0.075119,105,-0.150237,69,0.085154,35,0.065628,30,-0.050966,136
D3,20,250,20,blend,-0.071356,105,-0.15148,69,0.090756,35,0.058509,30,-0.053776,136
D3,20,250,40,500,-0.114659,52,-0.18686,34,0.10049,17,-0.27033,14,-0.15943,67
D3,20,250,40,1000,-0.11722,52,-0.236975,34,0.080882,17,-0.402198,14,-0.138399,67
D3,20,250,40,blend,-0.097157,52,-0.199083,34,0.117647,17,-0.340659,14,-0.137681,67
