family,lb,zw,k,kou_jing,ic_selection_2014_2023,n_selection_2014_2023,ic_train_2014_2020,n_train_2014_2020,ic_val_2021_2023,n_val_2021_2023,ic_holdout_2024_2026,n_holdout_2024_2026,ic_full_2014_2026,n_full_2014_2026
X2,20,60,20,1000,-0.108383,120,-0.162397,84,-0.117087,35,0.291657,30,-0.067144,152
X2,20,60,20,blend,-0.109792,120,-0.14958,84,-0.120728,35,0.255172,30,-0.069284,152
X2,20,60,40,500,-0.06768,59,-0.108362,41,0.218137,17,0.287912,14,-0.113713,75
X2,20,60,40,1000,-0.053477,59,-0.108711,41,0.218137,17,0.432967,14,-0.107055,75
X2,20,60,40,blend,-0.065985,59,-0.10662,41,0.191176,17,0.318681,14,-0.11542,75
X2,20,250,5,500,-0.004774,485,-0.012156,340,-0.020939,144,-0.105641,125,-0.022157,612
X2,20,250,5,1000,0.019452,485,0.016959,340,-0.00846,144,-0.099508,125,0.001367,612
X2,20,250,5,blend,0.00923,485,0.003927,340,-0.013669,144,-0.096584,125,-0.011111,612
X2,20,250,10,500,-0.032249,242,-0.026045,169,-0.035815,71,-0.13354,62,-0.056091,305
X2,20,250,10,1000,0.013398,242,0.027502,169,-0.013213,71,-0.1211,62,-0.016197,305
X2,20,250,10,blend,-0.008368,242,0.008038,169,-0.007847,71,-0.130921,62,-0.035573,305
X2,20,250,20,500,-0.109119,120,-0.142472,84,-0.159384,35,-0.19911,30,-0.14342,152
X2,20,250,20,1000,-0.078193,120,-0.126962,84,-0.142577,35,-0.113237,30,-0.117743,152
X2,20,250,20,blend,-0.089833,120,-0.129108,84,-0.139216,35,-0.132369,30,-0.13136,152
X2,20,250,40,500,-0.157627,59,-0.178049,41,0.080882,17,-0.164835,14,-0.214481,75
X2,20,250,40,1000,-0.12332,59,-0.110976,41,0.137255,17,0.032967,14,-0.181451,75
X2,20,250,40,blend,-0.1346,59,-0.128397,41,0.090686,17,-0.116484,14,-0.196671,75
