pair,window,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
spot500+fut500,val,0.09519143836839412,0.8575187304841463,-0.13274421100519396,0.7171042537189777,8.42503438789546,0.5473145780051151,727
spot500+fut500,holdout,0.3116673553541912,1.7658893366033561,-0.16916956803465033,1.8423370052606247,11.206624605678233,0.5508982035928144,634
spot500+fut1000,full,0.23413813810268616,1.4273855858499052,-0.17475145604263587,1.339835120146645,10.624388653407237,0.5497448979591837,3067
spot500+fut1000,train,0.2512219838031585,1.4590608173949173,-0.15156597739136457,1.6575090803819923,11.34525205158265,0.5492289442467378,1706
spot500+fut1000,val,0.11325812174414397,0.9487619093761082,-0.13220947102398306,0.8566566439373978,8.42503438789546,0.5345268542199488,727
spot500+fut1000,holdout,0.3267796698497751,1.7716291951067522,-0.17475145604263564,1.869968223727119,11.206624605678233,0.5688622754491018,634
spot500+fut300,full,0.17429922130474962,1.263511613288044,-0.2080749392639032,0.8376752237504415,10.624388653407237,0.53125,3067
spot500+fut300,train,0.2098282870394253,1.4563847563041379,-0.12014079290114243,1.746519911950989,11.34525205158265,0.5492289442467378,1706
spot500+fut300,val,0.04360989988656682,0.3931619932585385,-0.13742013279416554,0.3173472401739548,8.42503438789546,0.49104859335038364,727
spot500+fut300,holdout,0.22855561014964262,1.5393679108819827,-0.16015883713434942,1.4270558792701429,11.206624605678233,0.5329341317365269,634
spot300+fut500,full,0.20899848115838002,1.461518249965861,-0.19062896483882474,1.0963626715126242,10.624388653407237,0.5446428571428571,3067
spot300+fut500,train,0.24855044911632482,1.6587007401568885,-0.1200864380112171,2.0697628577600753,11.34525205158265,0.5634638196915777,1706
spot300+fut500,val,0.06716493688488538,0.612333319246046,-0.1344033179583345,0.4997267768769425,8.42503438789546,0.5217391304347826,727
spot300+fut500,holdout,0.2652087798185959,1.6893791130958042,-0.16065292597251646,1.6508182357286556,11.206624605678233,0.5239520958083832,634
spot300+fut1000,full,0.19732118989121,1.3303244833748278,-0.16576520532042638,1.1903655505374935,10.624388653407237,0.5408163265306123,3067
spot300+fut1000,train,0.21424216158948964,1.3897771474813256,-0.14376894584660216,1.4901838524856448,11.34525205158265,0.5432977461447213,1706
spot300+fut1000,val,0.08523162026063523,0.734102313593192,-0.1339419701051583,0.6363324370525504,8.42503438789546,0.5294117647058824,727
spot300+fut1000,holdout,0.28032109431417984,1.705913780818708,-0.16576520532042593,1.6910731885640062,11.206624605678233,0.5479041916167665,634
spot300+fut300,full,0.1374822730932735,1.02777100250465,-0.22141933402811065,0.6209135877710625,10.624388653407237,0.5235969387755102,3067
spot300+fut300,train,0.17284846482575644,1.245779366388609,-0.12255355076560726,1.410391324820461,11.34525205158265,0.5432977461447213,1706
spot300+fut300,val,0.015583398403058063,0.13024293609375895,-0.17289398909716724,0.09013267890013295,8.42503438789546,0.48081841432225064,727
