rank_worst_tv,lookback,z_window,smoothing,theta,exposure,is_incumbent,sharpe_full,ann_full,maxdd_full,turnover_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
962,10,30,0,0.25,0.2981427174975562,0,1.1678347664153739,0.17705625955862322,-0.3627220742831814,29.29781687846204,1.183179473157126,0.5569299138692503,1.6201043232800059,0.5569299138692503
963,5,25,0,0.65,0.039100684261974585,0,0.6147119390863758,0.03958950213239181,-0.11553451521112656,10.377973281199088,0.7293040285155442,0.5558103918172301,0.6044605982087207,0.5558103918172301
964,20,250,0,0.65,0.05539263603779733,0,0.7741785699994881,0.05695695394392362,-0.1565363638456675,6.5461062235255785,1.3892574354115297,0.554897651677508,0.09063327029753115,0.554897651677508
965,10,20,0,0.5,0.14271749755620725,0,0.9568953899338384,0.10050406759760312,-0.20414248681235891,21.15509938090583,0.9857673642315888,0.5548224016899425,1.2155384863465954,0.5548224016899425
966,10,30,0,0.4,0.19159335288367546,0,0.9064655835967833,0.11290091208664772,-0.30655256478194703,24.028999674160964,0.8851737719843531,0.5538055420469639,1.215581593648777,0.5538055420469639
967,10,30,0,0.3,0.2590420332355816,0,0.9829802330992832,0.14203896944915018,-0.34519749725904425,27.22222222222222,0.9805495969207868,0.5496662489345473,1.323707970283543,0.5496662489345473
968,10,50,5,0.7,0.017595307917888565,0,0.733634164577615,0.03220673217428937,-0.108413372730784,2.2352557836428804,1.4492360505721118,0.5495599433265054,0.06965896151464275,0.5495599433265054
969,60,180,5,0.65,0.0765721733463669,0,0.7045774986133917,0.05455068915177389,-0.13853676512019686,2.3949169110459434,0.7949244943276055,0.540947716480307,0.7419225011015097,0.540947716480307
970,60,180,5,0.45,0.184099055066797,0,0.45796660791872434,0.05664540346200341,-0.35859165826610173,4.470511567285761,0.5379860603604398,1.0744287971271829,-0.02173608830435559,0.5379860603604398
971,10,20,0,-0.2,0.6331052460084718,0,0.7587221117590356,0.18357050910577763,-0.47038288020981023,34.32714239165852,0.7065419490349417,0.5375250559582303,1.0490084058845905,0.5375250559582303
