mode,signal,cost,total_ret,annual_ret,max_dd,sharpe,calmar,trades,long_pct,short_pct,flat_pct,final_nav
long_only_positive,hybrid_60,0.0003,9.718926893412883,0.2047498837428643,-0.39375649581826055,1.0120289133660323,0.5199911262857418,94,0.4412589591773138,0.0,0.5587410408226862,10.718926893412883
long_only_positive,fin_signal_60,0.0003,5.3578373597075535,0.15633373203715872,-0.35128539691069516,0.8027785242777892,0.44503339282532817,92,0.3973200373948271,0.0,0.602679962605173,6.3578373597075535
long_only_positive,fin_signal_20,0.0003,4.549256708164101,0.1440476613257593,-0.426290923331751,0.7207158895436931,0.3379092855178095,182,0.3842318479277033,0.0,0.6157681520722966,5.549256708164101
long_only_positive,confirmed_60,0.0003,1.948906309156067,0.0886344435215074,-0.37155017932537204,0.6077752812375233,0.23855309041282657,120,0.2396385166718604,0.0,0.7603614833281396,2.948906309156067
long_short,hybrid_20,0.0,33.617710862076706,0.3209298988413871,-0.27778600704052314,1.2174378061732478,1.1553134092696404,341,0.4462449361171705,0.28575880336553444,0.2679962605172951,34.617710862076706
long_short,signal_20,0.0,27.60947055612035,0.3013030838259374,-0.3880974092932118,1.0166684064606435,0.7763594309342572,345,0.4462449361171705,0.42411966344655655,0.12963540043627297,28.60947055612035
long_short,confirmed_20,0.0,8.278187145265267,0.19117081545238368,-0.37367024637349633,0.8931561350988264,0.511602990357712,411,0.25553131816765345,0.28575880336553444,0.4587098784668121,9.278187145265267
long_short,hybrid_60,0.0,5.615473006731261,0.15994644792289847,-0.4234347882286854,0.683367600484524,0.3777357278365986,196,0.4412589591773138,0.29199127454035523,0.26674976628233094,6.615473006731261
long_short,signal_60,0.0,2.3956186020544417,0.1007599079823529,-0.5051304681090828,0.4702724166340406,0.19947303586643644,241,0.4412589591773138,0.42630102835774386,0.13244001246494236,3.3956186020544417
long_short,confirmed_60,0.0,0.8342592418285408,0.048791943562710216,-0.4215884903068019,0.3182932752477883,0.1157335759503371,225,0.2396385166718604,0.29199127454035523,0.46837020878778435,1.8342592418285408
long_short,fin_signal_20,0.0,0.056097396566150426,0.004295351380068757,-0.797422285720713,0.16536222194134384,0.005386545443969632,411,0.3842318479277033,0.47803053910875665,0.13773761296354003,1.0560973965661504
long_short,fin_signal_60,0.0,-0.21751718035720435,-0.019077562042124296,-0.6842263228816805,0.08536916560713102,-0.02788194695839446,238,0.3973200373948271,0.4917419756933624,0.11093798691181053,0.7824828196427956
long_short,hybrid_20,0.0003,30.084439911389737,0.3098094428741951,-0.2859908819830912,1.1842246698184773,1.0832843366401874,341,0.4462449361171705,0.28575880336553444,0.2679962605172951,31.084439911389737
long_short,signal_20,0.0003,24.61108251979315,0.29003837646713104,-0.38884074632901366,0.9880138956695307,0.7459053075207247,345,0.4462449361171705,0.42411966344655655,0.12963540043627297,25.61108251979315
long_short,confirmed_20,0.0003,7.192779931497885,0.17958969721930673,-0.3840955121866231,0.8494655196953318,0.46756520584403044,411,0.25553131816765345,0.28575880336553444,0.4587098784668121,8.192779931497885
long_short,hybrid_60,0.0003,5.224557074952038,0.1544115184046444,-0.42514961382404926,0.6656788797870765,0.3631933638978878,196,0.4412589591773138,0.29199127454035523,0.26674976628233094,6.224557074952038
long_short,signal_60,0.0003,2.1511179225151142,0.09431914984805578,-0.5071807614377251,0.45065050159703346,0.18596752286243196,241,0.4412589591773138,0.42630102835774386,0.13244001246494236,3.1511179225151142
long_short,confirmed_60,0.0003,0.7124868302905827,0.04314947906327116,-0.4234738897717438,0.2957538197096638,0.10189407211511696,225,0.2396385166718604,0.29199127454035523,0.46837020878778435,1.7124868302905827
long_short,fin_signal_20,0.0003,-0.08131672680372692,-0.006638228097747723,-0.7992490588193666,0.1291170956212815,-0.008305581376040117,411,0.3842318479277033,0.47803053910875665,0.13773761296354003,0.9186832731962731
long_short,fin_signal_60,0.0003,-0.27401752733583085,-0.024833778469212975,-0.6849927840469934,0.06579115749045969,-0.03625407310496467,238,0.3973200373948271,0.4917419756933624,0.11093798691181053,0.7259824726641692
