name,year,n,ann,cagr,sharpe,maxdd,vol,es05,worst_day,gross_notional_max,futures_capital_share_end,cost_ann
half_short,2023,242,0.05872290651192786,0.05467196557938842,0.5598795883362574,-0.11141136756120251,0.10488488549194892,-0.016377285465731847,-0.028121385721040726,1.0004441501081143,0.7407852731747879,0.006020455261446714
half_short,2024,242,0.2793403780343921,0.2837727652641389,1.140835539588912,-0.18784773070155414,0.24485595718296913,-0.02964487136962602,-0.06432783003683751,1.000442107183989,0.7584856977070927,0.008026862168106103
half_short,2025,243,0.4797638280375925,0.5981213512388486,3.2973003450764122,-0.05351243340348044,0.14550201007742122,-0.01676107959145026,-0.027670203635481228,1.000344649477719,0.7961539384245878,0.006102921482466236
half_short,2026,169,0.3358336382316033,0.3718878154958068,1.697412877610806,-0.08697109263098746,0.19785029479940439,-0.02690328469284838,-0.04814723423798173,1.0004242341859195,0.8230864639820757,0.004849893995838725
vol15_cap1,2015,177,0.33596312152149554,0.3874449477200686,2.600419199894569,-0.04290348072969674,0.12919575487487434,-0.016840265238033836,-0.030313376072802378,0.5836643820551165,0.4948571029601451,0.003610982266161263
vol15_cap1,2016,244,0.11015408146947034,0.11160324687158628,1.181992749513561,-0.04376248182856468,0.0931935339830158,-0.012806364026463025,-0.027188742054199078,0.9176512568344154,0.5340285131288108,0.006480319107829801
vol15_cap1,2017,244,0.12301684412635248,0.12411237412876203,1.120503174439457,-0.05687905342190169,0.10978714467979345,-0.014750943858750224,-0.022309337536843055,1.0003482809244584,0.6034549084382526,0.009893875932046069
vol15_cap1,2018,243,0.21970942972153648,0.23470092305794257,1.65273886837738,-0.06125965695420743,0.1329365660391602,-0.01755363021117473,-0.04297841008319514,0.9616148111527232,0.6741397834634248,0.008565167918722076
vol15_cap1,2019,244,0.3026437974164236,0.34298761188367566,2.446360116868534,-0.06736538149061844,0.12371187517716042,-0.013838505855736623,-0.020718577731516197,0.9850835853775329,0.7194614154333643,0.008112223885508826
vol15_cap1,2020,243,0.10555643503648568,0.0952144735403713,0.6242203291651154,-0.13849409516745914,0.16910124535300816,-0.025988391049043977,-0.09736643455818705,1.0000004529384305,0.719742435801289,0.01092653394375611
vol15_cap1,2021,243,0.07747978196380037,0.07583968035367548,0.8272201824984883,-0.07388029706378296,0.0936628283533713,-0.012508421279401268,-0.015857015288377463,1.0004356255148272,0.7112193895163146,0.008978479186915078
