Date,000057.SH,000058.SH,000918.CSI,000919.CSI,H30351.CSI,H30352.CSI,H30355.CSI,H30356.CSI,000028.SH,000029.SH,000117.SH,000118.SH,932406.CSI,932407.CSI,932408.CSI,932409.CSI,399346.SZ,399348.SZ,399370.SZ,399371.SZ,399372.SZ,399373.SZ,399374.SZ,399375.SZ,399376.SZ,399377.SZ,399602.SZ,399604.SZ,399630.SZ,399631.SZ
2026-05-13,4187.9606,4564.4236,5894.0103,5139.9478,9172.9341,11180.6801,7574.7814,6556.0849,4192.1415,4157.0895,4798.3433,10777.3153,3223.0451,3478.5635,4694.5891,4031.6637,5445.2463,6858.1787,5904.9883,7362.7165,5959.0256,8178.927,5604.8689,6833.2936,7739.9236,8412.2568,1532.2718,2231.179,2179.4444,2366.5819
2026-05-12,4151.9399,4579.9135,5802.335,5153.5714,8973.7652,11124.1975,7376.759,6559.4046,4164.9131,4185.3004,4703.359,10734.9114,3198.9178,3408.9935,4648.5449,3959.3565,5332.1474,6834.711,5815.0444,7368.231,5888.4517,8220.1243,5485.2631,6787.6743,7592.9872,8393.6779,1513.7655,2223.5471,2137.3651,2354.57
2026-05-11,4138.6641,4583.9475,5771.1547,5170.2494,9024.8451,11114.2714,7277.0516,6572.2839,4154.7132,4196.3777,4695.8962,10735.3865,3225.2167,3406.8769,4687.9405,3974.2732,5326.9981,6896.825,5815.0129,7396.5582,5875.9941,8259.0384,5492.9364,6788.034,7632.6668,8445.3982,1518.559,2230.7865,2141.0615,2378.6717
2026-05-08,4090.6806,4564.8819,5649.6011,5145.6194,8805.6943,11038.4457,7084.5184,6534.7876,4088.2933,4186.5931,4638.1069,10665.486,3200.0192,3344.3211,4667.1852,3927.7134,5207.3122,6826.36,5699.2128,7357.8109,5748.5475,8226.2978,5419.9569,6738.0094,7465.073,8392.4547,1495.1023,2222.8012,2094.2119,2355.9844
2026-05-07,4117.9217,4572.1283,5693.6983,5160.6306,8855.4688,11082.6009,7114.4184,6556.0383,4124.7156,4192.9811,4629.8429,10664.3428,3195.5387,3330.1759,4614.7265,3891.1796,5244.8749,6878.6431,5735.9397,7379.1396,5785.0255,8248.5264,5456.7549,6747.6207,7512.5077,8437.8603,1500.6979,2231.7606,2105.7766,2368.6259
2026-05-06,4086.3792,4594.2936,5643.3195,5183.4081,8725.4081,11115.4245,6998.7234,6585.3049,4112.8713,4217.1285,4578.3336,10727.0197,3183.3447,3244.2169,4576.8642,3789.4858,5199.7783,6900.9172,5691.9055,7406.0769,5744.2611,8287.6851,5435.7813,6780.8675,7405.2974,8426.9654,1489.5477,2237.5059,2083.6811,2369.4549
2026-04-30,3985.9797,4589.9185,5533.2281,5176.6787,8419.3384,10901.752,6811.8149,6556.5504,4011.9567,4230.3092,4484.7363,10640.5355,3145.7672,3157.5629,4524.3017,3698.624,5103.8393,6815.4274,5577.2664,7362.1511,5642.3989,8308.1322,5299.4971,6657.9724,7241.7835,8298.3482,1463.5209,2218.3139,2040.0432,2341.5257
2026-04-29,3963.7343,4617.9184,5528.733,5206.6234,8386.0778,10943.0418,6776.6471,6596.1023,3979.3622,4259.0492,4482.2396,10718.2181,3162.1424,3101.5687,4533.1371,3683.9452,5124.1763,6838.9146,5591.6872,7402.8858,5663.8707,8345.1056,5321.2365,6717.6306,7218.4174,8334.6962,1454.955,2225.1607,2044.2192,2351.4354
2026-04-28,3931.6531,4586.033,5446.8588,5171.8433,8252.7707,10741.9292,6675.2736,6533.5252,3938.9909,4243.1911,4424.3714,10566.1845,3117.9844,3066.098,4484.8442,3658.2212,5000.0956,6722.6685,5491.2165,7314.91,5572.4003,8282.0688,5217.4688,6610.2173,7058.7356,8169.8843,1426.9564,2182.8128,1997.5018,2309.4699
2026-04-27,3943.0216,4561.229,5486.9488,5139.1397,8327.8594,10755.1059,6755.2856,6495.1323,3934.2617,4216.1178,4463.3226,10521.336,3121.2561,3121.1195,4513.4586,3705.4066,5078.1967,6709.5098,5543.4378,7284.7638,5618.4436,8209.5254,5283.7803,6622.161,7127.8097,8190.0741,1451.8054,2186.6082,2027.3438,2310.148
2026-04-24,3940.3551,4585.4996,5496.1978,5159.4315,8235.4934,10795.5118,6734.3847,6518.5315,3929.5686,4240.4695,4448.833,10566.2451,3133.1531,3086.9827,4482.5964,3651.4658,5082.9333,6681.4657,5533.3226,7306.1547,5619.7245,8244.6579,5264.1658,6624.4436,7082.5924,8208.2811,1428.3676,2179.249,2025.0774,2308.598
2026-04-23,3916.575,4599.3594,5518.5664,5178.6429,8274.7346,10836.2566,6826.5429,6538.2583,3895.3246,4252.6974,4481.5817,10606.6932,3158.4185,3112.1624,4506.5286,3657.0343,5126.6564,6703.7438,5544.1552,7320.59,5638.7603,8263.6493,5255.0115,6650.4746,7094.4713,8195.186,1431.0353,2192.9004,2041.2643,2317.2769
2026-04-22,3933.4931,4592.5929,5528.3483,5171.0338,8414.9064,10856.2885,6900.0457,6537.1942,3912.0529,4243.5946,4550.5271,10612.1231,3164.0639,3179.278,4536.6209,3733.2116,5160.9216,6727.9483,5579.9479,7316.1134,5656.6478,8236.4014,5318.5372,6671.2288,7169.7898,8217.7479,1443.0861,2199.1288,2060.8486,2329.5738
2026-04-21,3905.6997,4608.8038,5473.6106,5188.2832,8284.7452,10801.0656,6764.9778,6555.782,3896.4932,4261.7825,4502.6756,10607.0442,3155.3383,3108.6254,4526.4312,3663.2429,5093.3027,6709.838,5524.6331,7324.6961,5613.0243,8272.3037,5234.3709,6651.4322,7097.7228,8191.9886,1426.5137,2190.4185,2035.2426,2320.0705
2026-04-20,3910.09,4593.6356,5464.8898,5174.7422,8301.2849,10740.1464,6774.9763,6535.4305,3905.2956,4251.818,4492.5915,10527.0901,3150.1801,3118.5248,4520.9495,3675.0825,5081.5672,6712.9037,5511.8625,7299.4488,5586.4609,8242.8341,5247.9642,6641.1374,7096.4795,8146.1394,1429.2328,2187.2431,2032.6526,2320.2964
2026-04-17,3878.0337,4580.5685,5442.5895,5155.9351,8264.2828,10736.1883,6724.9293,6521.6937,3878.2353,4235.3703,4474.0772,10516.1929,3133.5696,3100.2066,4474.6564,3651.3911,5078.7268,6705.8799,5491.453,7277.8486,5568.9312,8205.4659,5236.9077,6652.9038,7043.2318,8110.6662,1410.4404,2188.8083,2024.5493,2313.1696
2026-04-16,3908.3826,4606.3967,5445.0222,5187.6385,8296.5618,10763.0697,6629.8174,6562.4197,3919.4069,4256.8087,4466.9497,10580.0146,3141.1262,3053.9664,4484.3814,3611.6376,5053.5508,6755.9586,5496.2081,7316.6327,5580.043,8253.4473,5241.1747,6682.4391,7023.3076,8150.4916,1413.7918,2207.1744,2010.873,2326.9422
2026-04-15,3876.5634,4601.8516,5346.949,5183.7956,8108.7042,10620.1485,6484.5102,6543.6654,3892.5355,4261.2367,4399.7055,10512.0,3118.3585,2994.8905,4432.3714,3512.971,4899.3198,6712.258,5381.5615,7275.6402,5474.5757,8255.0675,5092.8538,6587.212,6894.5818,8052.2971,1386.1701,2180.2474,1959.5111,2307.397
2026-04-14,3876.6848,4594.8338,5372.2409,5170.5715,8107.1075,10656.8186,6534.0356,6534.2813,3900.6466,4251.3815,4404.2565,10507.5383,3118.5639,3008.102,4442.2048,3518.0035,4955.5725,6719.4842,5424.1911,7271.7867,5511.5279,8218.2737,5144.4342,6640.5923,6957.8094,8054.7994,1405.1632,2183.1138,1981.7774,2313.9758
2026-04-13,3833.9766,4564.3795,5290.218,5134.6367,7931.033,10592.8527,6392.1893,6491.6541,3863.5665,4223.2105,4349.7708,10470.9492,3098.9051,2946.864,4411.2674,3454.3179,4862.2205,6667.5563,5340.308,7226.9656,5420.0123,8161.1973,5071.017,6601.6395,6866.6008,8021.5903,1380.2325,2167.9061,1946.5088,2293.1938
2026-04-10,3844.0988,4578.4842,5275.6977,5142.8571,7948.17,10656.3293,6394.9202,6508.3142,3862.1988,4232.739,4391.1404,10564.1508,3098.5451,2930.7983,4397.5408,3433.3275,4835.9188,6655.6953,5326.0102,7238.6253,5389.4051,8185.4251,5093.6269,6590.8058,6856.7735,8035.6102,1372.7772,2160.5208,1932.88,2284.7393
2026-04-09,3823.3795,4558.7183,5156.02,5122.3842,7880.7323,10583.343,6254.5386,6480.9957,3833.5988,4217.12,4366.2411,10557.8145,3085.549,2895.8852,4366.522,3413.2987,4691.4226,6617.35,5230.2,7216.9263,5271.1775,8178.7839,5039.8472,6569.0697,6761.0643,7959.9659,1344.4913,2143.7873,1882.9228,2264.7963
2026-04-08,3840.5071,4600.6561,5173.8761,5162.5982,7934.1363,10669.3722,6289.2501,6537.7217,3853.0063,4255.4067,4393.0804,10649.8591,3115.566,2906.854,4423.5613,3429.8661,4706.8437,6660.6881,5249.7719,7263.7576,5300.7828,8238.3487,5050.7185,6589.6179,6757.8586,8027.6481,1343.4652,2162.7714,1887.7462,2281.5781
2026-04-07,3694.4397,4526.6505,4945.8596,5077.2521,7502.0494,10337.9924,5916.6651,6408.8028,3711.4825,4199.9523,4180.3203,10417.7653,3041.0138,2742.2432,4312.1243,3247.4045,4478.5181,6473.4766,5023.2307,7124.4199,5078.8287,8131.7567,4832.7024,6414.0436,6437.7873,7796.1568,1283.0955,2104.5367,1796.9705,2216.4657
2026-04-03,3693.0296,4530.6897,4943.2814,5093.8997,7502.8358,10256.0908,5893.9153,6410.0516,3694.6038,4219.6792,4189.2967,10311.7529,3007.707,2722.3524,4229.1882,3218.6165,4479.2442,6467.1209,5021.8314,7120.597,5081.8396,8172.6281,4836.7751,6359.9814,6408.5177,7735.8292,1284.2497,2094.2986,1794.121,2211.4704
2026-04-02,3714.697,4579.9703,4983.2959,5146.5057,7538.7361,10389.1097,5888.1789,6483.3117,3725.733,4258.7901,4216.3281,10475.3453,3076.4451,2731.516,4356.3626,3264.7497,4526.2242,6547.7033,5074.1418,7200.7515,5137.6481,8256.7055,4875.2189,6429.9273,6482.7026,7849.8256,1301.7759,2126.1063,1811.993,2246.0063
2026-04-01,3767.6318,4587.9427,5057.8223,5149.0674,7691.5911,10480.0455,6032.7291,6501.934,3779.8172,4253.3064,4300.5148,10537.1278,3102.8158,2800.4347,4406.948,3338.1738,4589.7983,6578.6153,5145.0367,7214.5707,5203.2234,8237.94,4936.9848,6469.8812,6609.7692,7926.0342,1314.0293,2135.9058,1840.3899,2263.3704
2026-03-31,3679.7667,4549.8518,4947.8788,5106.817,7511.6926,10351.7003,5863.4989,6437.3789,3687.5192,4226.0554,4212.0859,10390.6512,3071.5675,2727.2433,4356.4682,3240.1035,4515.0527,6513.9063,5058.9344,7143.0353,5125.0607,8185.5222,4833.498,6378.769,6495.7437,7801.6291,1296.0951,2119.0889,1810.6682,2245.8129
2026-03-30,3711.0264,4572.0391,5022.9878,5110.9944,7664.6819,10512.6156,5992.8962,6461.8107,3718.8685,4234.2049,4265.7403,10576.4479,3109.5195,2780.7161,4413.7773,3302.5104,4624.0284,6530.82,5152.681,7175.5228,5214.3551,8162.8189,4911.4824,6464.4803,6658.933,7928.5182,1319.3248,2138.0802,1849.6248,2262.3397
2026-03-27,3702.8369,4568.5492,5035.2172,5109.7123,7623.7796,10499.9579,6000.5115,6464.3492,3719.2758,4226.4611,4265.3171,10554.8307,3108.1943,2761.8525,4412.0681,3295.3019,4646.8945,6541.0533,5162.759,7164.1072,5232.6023,8164.7361,4898.277,6408.7354,6675.366,7944.2521,1322.0558,2131.3298,1857.9335,2267.8778
2026-03-26,3662.5084,4572.0154,5000.6749,5110.1647,7516.1043,10443.4972,5992.4023,6457.362,3683.2396,4232.2876,4205.5069,10518.7486,3081.8869,2722.509,4350.4209,3246.1524,4587.2989,6481.87,5099.1207,7142.8613,5181.2775,8169.9577,4835.0882,6359.2054,6542.208,7880.1593,1295.8386,2104.7508,1832.4747,2247.4906
2026-03-25,3724.1914,4609.3304,5076.3505,5148.7228,7683.6131,10547.2208,6125.9635,6511.1377,3747.9225,4255.8529,4274.7833,10624.881,3096.3306,2779.4276,4395.5473,3304.5788,4639.438,6561.5928,5160.8783,7194.6347,5246.2786,8212.1411,4892.2672,6431.0022,6614.2339,7947.6421,1312.9744,2123.9447,1854.694,2273.1873
2026-03-24,3660.4768,4576.8974,4986.8598,5115.189,7490.164,10354.174,5979.0404,6452.939,3687.0498,4238.7751,4186.1669,10458.2782,3043.4111,2714.7372,4294.6607,3232.0345,4547.1384,6483.2434,5067.4056,7122.5663,5162.9659,8169.6822,4791.2948,6336.6145,6465.3633,7794.8074,1279.7529,2092.1243,1815.8693,2240.2004
