date,pair_01_factor_5,pair_02_factor_5,pair_03_factor_5,pair_04_factor_5,raw_signal_5,factor_value_raw,factor_value
2014-05-28,0.6822,0.753,0.6945,0.5565,0.6716,0.6716,0.6716
2014-05-29,0.5726,0.6329,0.3105,0.617,0.5332,0.5332,0.5332
2014-05-30,0.3427,0.5618,0.1472,0.6117,0.4159,0.4159,0.4159
2014-06-03,-0.1528,0.3969,0.0954,0.0933,0.1082,0.1082,0.1082
2014-06-04,-0.074,0.5456,0.3314,0.4684,0.3179,0.3179,0.3179
2014-06-05,-0.0071,0.2544,0.1946,0.4439,0.2214,0.2214,0.2214
2014-06-06,0.1014,0.0834,0.5351,-0.0662,0.1634,0.1634,0.1634
2014-06-09,-0.1076,-0.1954,0.16,-0.6584,-0.2003,-0.2003,-0.2003
2014-06-10,0.0825,-0.2989,0.1701,0.1933,0.0368,0.0368,0.0368
2014-06-11,0.3163,-0.2707,-0.064,0.2101,0.0479,0.0479,0.0479
2014-06-12,0.1668,0.028,-0.2721,0.4977,0.1051,0.1051,0.1051
2014-06-13,0.0222,-0.2556,-0.3759,0.3543,-0.0637,-0.0637,-0.0637
2014-06-16,0.2542,-0.3315,-0.1674,0.6238,0.0948,0.0948,0.0948
2014-06-17,0.2725,-0.3396,-0.545,-0.0791,-0.1728,-0.1728,-0.1728
2014-06-18,0.1579,-0.6371,-0.3637,0.0563,-0.1967,-0.1967,-0.1967
2014-06-19,-0.5031,-0.7696,-0.6241,-0.738,-0.6587,-0.6587,-0.6587
2014-06-20,0.1011,-0.6737,-0.5976,-0.1637,-0.3335,-0.3335,-0.3335
2014-06-23,0.6546,-0.2502,-0.1204,0.3089,0.1483,0.1483,0.1483
2014-06-24,0.6271,-0.3432,-0.1342,0.4601,0.1524,0.1524,0.1524
2014-06-25,0.316,-0.2734,-0.4714,0.4079,-0.0052,-0.0052,-0.0052
2014-06-26,0.8318,-0.311,-0.0704,0.5715,0.2555,0.2555,0.2555
2014-06-27,0.7648,-0.5256,-0.6604,-0.268,-0.1723,-0.1723,-0.1723
2014-06-30,0.44,-0.7624,-0.6299,-0.6992,-0.4129,-0.4129,-0.4129
