pit_policy,candidate,component,is_candidate,window,executable,n_obs,ann_return,sharpe,maxdd,turnover,baseline_sharpe,sharpe_difference,baseline_maxdd,maxdd_difference,baseline_turnover,turnover_ratio,partial_ic,gate_name,gate_pass,affects_verdict
legal_deadline,B3_unified,blend,True,pre-IM,False,375,0.12312685237269685,0.84794730297558,-0.11132880987032723,12.413333333333332,1.127664287358439,-0.2797169843828591,-0.1312448943202561,0.019916084449928873,8.493333333333332,1.4615384615384617,,,,False
legal_deadline,B3_unified,qblend,False,2021-2023,False,35,,,,,,,,,,,0.2482648884768707,partial_ic_leg,False,False
legal_deadline,equal_weight,blend,False,2021-2023,False,727,0.11722551300644438,1.000930606530241,-0.1312448943202561,8.42503438789546,1.000930606530241,0.0,-0.1312448943202561,0.0,8.42503438789546,1.0,,,,False
legal_deadline,equal_weight,blend,False,post-IM,True,352,0.08639827977690641,0.8446896774523189,-0.12103448714531062,8.352272727272727,0.8446896774523189,0.0,-0.12103448714531062,0.0,8.352272727272727,1.0,,,,False
legal_deadline,equal_weight,blend,False,pre-IM,False,375,0.14616200926457068,1.127664287358439,-0.1312448943202561,8.493333333333332,1.127664287358439,0.0,-0.1312448943202561,0.0,8.493333333333332,1.0,,,,False
legal_deadline_plus_one_month_end,B3_dual_target,B3_1000,False,2021-2023,False,727,0.09139123974045556,0.772941384991138,-0.1605692321645762,13.14305364511692,1.000930606530241,-0.22798922153910306,-0.1312448943202561,-0.029324337844320092,8.42503438789546,1.5600000000000003,,,,False
legal_deadline_plus_one_month_end,B3_dual_target,B3_1000,False,post-IM,True,352,0.10590240979683312,0.9686760251158618,-0.10446678202535442,11.832386363636363,0.8446896774523189,0.12398634766354288,-0.12103448714531062,0.0165677051199562,8.352272727272727,1.4166666666666667,,,,False
legal_deadline_plus_one_month_end,B3_dual_target,B3_1000,False,pre-IM,False,375,0.07777008811420251,0.6163832088103,-0.1605692321645762,14.373333333333333,1.127664287358439,-0.5112810785481391,-0.1312448943202561,-0.029324337844320092,8.493333333333332,1.6923076923076925,,,,False
legal_deadline_plus_one_month_end,B3_dual_target,B3_500,False,2021-2023,True,727,0.1002983112871399,0.8069583473037848,-0.13597691887490848,8.42503438789546,1.000930606530241,-0.19397225922645622,-0.1312448943202561,-0.004732024554652381,8.42503438789546,1.0,,,,False
legal_deadline_plus_one_month_end,B3_dual_target,B3_500,False,post-IM,True,352,0.026255020813120287,0.2569401431017028,-0.13597691887490904,9.744318181818182,0.8446896774523189,-0.587749534350616,-0.12103448714531062,-0.014942431729598415,8.352272727272727,1.1666666666666667,,,,False
legal_deadline_plus_one_month_end,B3_dual_target,B3_500,False,pre-IM,True,375,0.16980027994541963,1.1962508648960617,-0.12611589285449276,7.1866666666666665,1.127664287358439,0.06858657753762265,-0.1312448943202561,0.005129001465763339,8.493333333333332,0.8461538461538463,,,,False
legal_deadline_plus_one_month_end,B3_dual_target,aggregate,True,2021-2023,False,727,0.09584477551379773,0.898984479318013,-0.13845413412410712,10.78404401650619,1.000930606530241,-0.10194612721222807,-0.1312448943202561,-0.00720923980385102,8.42503438789546,1.2800000000000002,,maxdd_worsening,True,True
legal_deadline_plus_one_month_end,B3_dual_target,aggregate,True,2021-2023,False,727,0.09584477551379773,0.898984479318013,-0.13845413412410712,10.78404401650619,1.000930606530241,-0.10194612721222807,-0.1312448943202561,-0.00720923980385102,8.42503438789546,1.2800000000000002,,partial_ic,True,True
legal_deadline_plus_one_month_end,B3_dual_target,aggregate,True,2021-2023,False,727,0.09584477551379773,0.898984479318013,-0.13845413412410712,10.78404401650619,1.000930606530241,-0.10194612721222807,-0.1312448943202561,-0.00720923980385102,8.42503438789546,1.2800000000000002,,sharpe_improvement,False,True
legal_deadline_plus_one_month_end,B3_dual_target,aggregate,True,2021-2023,False,727,0.09584477551379773,0.898984479318013,-0.13845413412410712,10.78404401650619,1.000930606530241,-0.10194612721222807,-0.1312448943202561,-0.00720923980385102,8.42503438789546,1.2800000000000002,,turnover_multiple,True,True
legal_deadline_plus_one_month_end,B3_dual_target,aggregate,True,post-IM,True,352,0.06607871530497672,0.7209913689149534,-0.10819799242613048,10.788352272727273,0.8446896774523189,-0.12369830853736552,-0.12103448714531062,0.012836494719180136,8.352272727272727,1.2916666666666667,,post_im_maxdd_difference,True,True
legal_deadline_plus_one_month_end,B3_dual_target,aggregate,True,post-IM,True,352,0.06607871530497672,0.7209913689149534,-0.10819799242613048,10.788352272727273,0.8446896774523189,-0.12369830853736552,-0.12103448714531062,0.012836494719180136,8.352272727272727,1.2916666666666667,,post_im_min_days,True,True
legal_deadline_plus_one_month_end,B3_dual_target,aggregate,True,post-IM,True,352,0.06607871530497672,0.7209913689149534,-0.10819799242613048,10.788352272727273,0.8446896774523189,-0.12369830853736552,-0.12103448714531062,0.012836494719180136,8.352272727272727,1.2916666666666667,,post_im_partial_ic,False,True
legal_deadline_plus_one_month_end,B3_dual_target,aggregate,True,post-IM,True,352,0.06607871530497672,0.7209913689149534,-0.10819799242613048,10.788352272727273,0.8446896774523189,-0.12369830853736552,-0.12103448714531062,0.012836494719180136,8.352272727272727,1.2916666666666667,,post_im_sharpe_difference,False,True
legal_deadline_plus_one_month_end,B3_dual_target,blend,True,2021-2023,False,727,0.09584477551379773,0.898984479318013,-0.13845413412410712,10.78404401650619,1.000930606530241,-0.10194612721222807,-0.1312448943202561,-0.00720923980385102,8.42503438789546,1.2800000000000002,,,,False
legal_deadline_plus_one_month_end,B3_dual_target,blend,True,post-IM,True,352,0.06607871530497672,0.7209913689149534,-0.10819799242613048,10.788352272727273,0.8446896774523189,-0.12369830853736552,-0.12103448714531062,0.012836494719180136,8.352272727272727,1.2916666666666667,,,,False
legal_deadline_plus_one_month_end,B3_dual_target,blend,True,pre-IM,False,375,0.12378518402981108,1.0396997295343187,-0.13845413412410712,10.78,1.127664287358439,-0.08796455782412038,-0.1312448943202561,-0.00720923980385102,8.493333333333332,1.2692307692307694,,,,False
legal_deadline_plus_one_month_end,B3_dual_target,q1000,False,2021-2023,False,35,,,,,,,,,,,0.1903966237251513,partial_ic_leg,True,False
legal_deadline_plus_one_month_end,B3_dual_target,q1000,False,post-IM,True,17,,,,,,,,,,,0.3148717699022935,post_im_partial_ic_leg,True,False
legal_deadline_plus_one_month_end,B3_dual_target,q500,False,2021-2023,False,35,,,,,,,,,,,0.119565035693631,partial_ic_leg,True,False
legal_deadline_plus_one_month_end,B3_dual_target,q500,False,post-IM,True,17,,,,,,,,,,,-0.04878645340710659,post_im_partial_ic_leg,False,False
legal_deadline_plus_one_month_end,B3_unified,aggregate,True,2021-2023,False,727,0.10584296901975532,0.8384568799581349,-0.12101499205004462,9.773039889958733,1.000930606530241,-0.16247372657210613,-0.1312448943202561,0.010229902270211477,8.42503438789546,1.16,,maxdd_worsening,True,True
legal_deadline_plus_one_month_end,B3_unified,aggregate,True,2021-2023,False,727,0.10584296901975532,0.8384568799581349,-0.12101499205004462,9.773039889958733,1.000930606530241,-0.16247372657210613,-0.1312448943202561,0.010229902270211477,8.42503438789546,1.16,,partial_ic,False,True
legal_deadline_plus_one_month_end,B3_unified,aggregate,True,2021-2023,False,727,0.10584296901975532,0.8384568799581349,-0.12101499205004462,9.773039889958733,1.000930606530241,-0.16247372657210613,-0.1312448943202561,0.010229902270211477,8.42503438789546,1.16,,sharpe_improvement,False,True
legal_deadline_plus_one_month_end,B3_unified,aggregate,True,2021-2023,False,727,0.10584296901975532,0.8384568799581349,-0.12101499205004462,9.773039889958733,1.000930606530241,-0.16247372657210613,-0.1312448943202561,0.010229902270211477,8.42503438789546,1.16,,turnover_multiple,True,True
legal_deadline_plus_one_month_end,B3_unified,blend,True,2021-2023,False,727,0.10584296901975532,0.8384568799581349,-0.12101499205004462,9.773039889958733,1.000930606530241,-0.16247372657210613,-0.1312448943202561,0.010229902270211477,8.42503438789546,1.16,,,,False
legal_deadline_plus_one_month_end,B3_unified,blend,True,post-IM,True,352,0.08742974101591133,0.8535790074076243,-0.12101499205004518,6.9602272727272725,0.8446896774523189,0.008889329955305336,-0.12103448714531062,1.9495095265442686e-05,8.352272727272727,0.8333333333333334,,,,False
legal_deadline_plus_one_month_end,B3_unified,blend,True,pre-IM,False,375,0.12312685237269685,0.84794730297558,-0.11132880987032723,12.413333333333332,1.127664287358439,-0.2797169843828591,-0.1312448943202561,0.019916084449928873,8.493333333333332,1.4615384615384617,,,,False
legal_deadline_plus_one_month_end,B3_unified,qblend,False,2021-2023,False,35,,,,,,,,,,,0.2482648884768707,partial_ic_leg,False,False
legal_deadline_plus_one_month_end,equal_weight,blend,False,2021-2023,False,727,0.11722551300644438,1.000930606530241,-0.1312448943202561,8.42503438789546,1.000930606530241,0.0,-0.1312448943202561,0.0,8.42503438789546,1.0,,,,False
legal_deadline_plus_one_month_end,equal_weight,blend,False,post-IM,True,352,0.08639827977690641,0.8446896774523189,-0.12103448714531062,8.352272727272727,0.8446896774523189,0.0,-0.12103448714531062,0.0,8.352272727272727,1.0,,,,False
legal_deadline_plus_one_month_end,equal_weight,blend,False,pre-IM,False,375,0.14616200926457068,1.127664287358439,-0.1312448943202561,8.493333333333332,1.127664287358439,0.0,-0.1312448943202561,0.0,8.493333333333332,1.0,,,,False
