date,沪深300成长,沪深300价值,中证500成长,中证500价值,中证1000成长,中证1000价值,中证2000成长,中证2000价值
2014-05-30,2386.13,2244.46,4176.059,4484.091,1569.3595,1217.1727,1102.2439,1100.3618
2014-06-03,2376.676,2239.84,4170.828,4469.89,1568.466,1213.454,1098.2132,1100.2213
2014-06-04,2353.447,2218.825,4129.72,4412.346,1557.5854,1200.0078,1092.0575,1093.2675
2014-06-05,2381.779,2243.072,4176.569,4462.802,1586.858,1214.9561,1109.0483,1108.2113
2014-06-06,2360.718,2224.453,4169.225,4446.264,1586.7014,1210.2344,1106.7443,1106.354
2014-06-09,2360.19,2229.324,4143.4148,4429.0645,1568.5648,1202.5546,1101.8181,1103.93
2014-06-10,2389.809,2256.855,4189.3224,4475.7675,1591.3663,1215.9193,1117.4144,1116.6729
2014-06-11,2390.891,2253.024,4209.4656,4478.0212,1601.802,1223.4569,1124.4941,1122.617
2014-06-12,2380.57,2243.401,4209.9363,4454.5163,1599.6924,1217.9918,1125.3747,1118.7547
2014-06-13,2405.757,2270.652,4250.5281,4505.3737,1617.7438,1229.377,1134.9861,1129.7443
2014-06-16,2426.271,2290.476,4259.5133,4527.6753,1626.8913,1235.9959,1141.6814,1136.5987
2014-06-17,2402.01,2266.056,4212.6992,4474.0889,1609.8836,1225.5301,1131.9184,1128.2034
2014-06-18,2393.476,2254.558,4174.1115,4437.085,1599.6306,1213.6633,1121.9997,1116.3667
2014-06-19,2358.764,2232.247,4067.8926,4320.8831,1554.8124,1182.0668,1092.2357,1087.6124
2014-06-20,2374.52,2240.607,4103.953,4360.5861,1573.8971,1194.4337,1106.2295,1098.8741
2014-06-23,2370.334,2226.131,4138.3173,4375.2198,1595.5939,1201.4925,1120.4666,1110.6825
2014-06-24,2374.649,2229.242,4159.392,4402.9176,1603.6785,1210.864,1127.6837,1118.1211
2014-06-25,2360.716,2219.51,4136.2324,4379.7526,1595.2411,1206.3211,1124.6212,1113.2521
2014-06-26,2378.714,2232.325,4182.8032,4430.4661,1621.4224,1223.2482,1142.1238,1129.9249
2014-06-27,2378.832,2226.675,4204.8205,4472.4623,1630.123,1237.0647,1153.2556,1143.6099
