kind,rep,scheme,p_maxT,p_minP
stationary,131,restricted,0.92,0.964
stationary,131,full_group,0.924,0.954
stationary,132,restricted,0.048,0.068
stationary,132,full_group,0.07,0.066
stationary,133,restricted,0.876,0.988
stationary,133,full_group,0.852,0.966
stationary,134,restricted,0.286,0.558
stationary,134,full_group,0.306,0.616
stationary,135,restricted,0.822,0.484
stationary,135,full_group,0.84,0.542
stationary,136,restricted,0.622,0.552
stationary,136,full_group,0.646,0.562
stationary,137,restricted,0.014,0.014
stationary,137,full_group,0.036,0.042
stationary,138,restricted,0.77,0.884
stationary,138,full_group,0.78,0.886
stationary,139,restricted,0.756,0.964
stationary,139,full_group,0.72,0.956
stationary,140,restricted,0.606,0.69
stationary,140,full_group,0.632,0.754
stationary,141,restricted,0.956,0.732
stationary,141,full_group,0.958,0.76
stationary,142,restricted,0.756,0.964
stationary,142,full_group,0.74,0.964
stationary,143,restricted,0.718,0.092
stationary,143,full_group,0.708,0.118
stationary,144,restricted,0.272,0.35
stationary,144,full_group,0.294,0.44
stationary,145,restricted,0.818,0.628
stationary,145,full_group,0.852,0.534
stationary,146,restricted,0.218,0.052
stationary,146,full_group,0.206,0.052
stationary,147,restricted,0.568,0.148
stationary,147,full_group,0.556,0.226
stationary,148,restricted,0.426,0.464
stationary,148,full_group,0.366,0.458
stationary,149,restricted,0.738,0.828
stationary,149,full_group,0.74,0.786
stationary,150,restricted,0.154,0.392
stationary,150,full_group,0.188,0.402
stationary,151,restricted,0.442,0.042
stationary,151,full_group,0.394,0.078
stationary,152,restricted,0.44,0.424
stationary,152,full_group,0.452,0.554
stationary,153,restricted,0.384,0.026
stationary,153,full_group,0.36,0.024
stationary,154,restricted,0.108,0.02
stationary,154,full_group,0.122,0.022
stationary,155,restricted,0.102,0.084
stationary,155,full_group,0.098,0.222
stationary,156,restricted,0.756,0.52
stationary,156,full_group,0.666,0.536
stationary,157,restricted,0.592,0.188
stationary,157,full_group,0.6,0.186
stationary,158,restricted,0.954,0.384
stationary,158,full_group,0.966,0.394
stationary,159,restricted,0.596,0.616
stationary,159,full_group,0.568,0.588
stationary,160,restricted,0.898,0.528
stationary,160,full_group,0.86,0.6
stationary,161,restricted,0.194,0.404
stationary,161,full_group,0.154,0.334
stationary,162,restricted,0.572,0.142
stationary,162,full_group,0.59,0.216
stationary,163,restricted,0.522,0.836
stationary,163,full_group,0.574,0.872
stationary,164,restricted,0.52,0.402
stationary,164,full_group,0.504,0.352
stationary,165,restricted,0.04,0.106
stationary,165,full_group,0.056,0.23
stationary,166,restricted,0.912,0.584
stationary,166,full_group,0.916,0.558
stationary,167,restricted,0.68,0.256
stationary,167,full_group,0.726,0.314
stationary,168,restricted,0.262,0.602
stationary,168,full_group,0.232,0.436
stationary,169,restricted,0.488,0.748
stationary,169,full_group,0.47,0.712
stationary,170,restricted,0.914,0.946
stationary,170,full_group,0.886,0.958
stationary,171,restricted,0.586,0.582
stationary,171,full_group,0.574,0.51
stationary,172,restricted,0.01,0.02
stationary,172,full_group,0.016,0.052
stationary,173,restricted,0.754,0.53
stationary,173,full_group,0.728,0.66
stationary,174,restricted,0.754,0.61
stationary,174,full_group,0.744,0.602
stationary,175,restricted,0.95,0.954
stationary,175,full_group,0.936,0.962
stationary,176,restricted,0.33,0.564
stationary,176,full_group,0.3,0.572
stationary,177,restricted,0.248,0.1
stationary,177,full_group,0.236,0.19
stationary,178,restricted,0.224,0.458
stationary,178,full_group,0.222,0.488
stationary,179,restricted,0.776,0.938
stationary,179,full_group,0.746,0.926
stationary,180,restricted,0.418,0.488
stationary,180,full_group,0.436,0.5
stationary,181,restricted,0.662,0.892
stationary,181,full_group,0.618,0.896
stationary,182,restricted,0.478,0.228
stationary,182,full_group,0.482,0.222
stationary,183,restricted,0.274,0.544
stationary,183,full_group,0.324,0.642
stationary,184,restricted,0.718,0.382
stationary,184,full_group,0.714,0.336
stationary,185,restricted,0.722,0.578
stationary,185,full_group,0.744,0.604
stationary,186,restricted,0.136,0.326
stationary,186,full_group,0.152,0.348
stationary,187,restricted,0.826,0.772
stationary,187,full_group,0.804,0.742
stationary,188,restricted,0.964,0.784
stationary,188,full_group,0.956,0.836
stationary,189,restricted,0.908,0.768
stationary,189,full_group,0.938,0.694
stationary,190,restricted,0.706,0.888
stationary,190,full_group,0.698,0.822
stationary,191,restricted,0.118,0.202
stationary,191,full_group,0.08,0.134
stationary,192,restricted,0.908,0.936
stationary,192,full_group,0.854,0.868
stationary,193,restricted,0.2,0.156
stationary,193,full_group,0.212,0.152
stationary,194,restricted,0.36,0.55
stationary,194,full_group,0.424,0.568
stationary,195,restricted,0.09,0.224
