date,ret,equity,gross_pnl,pre_fill_pnl,post_fill_pnl,cost,cost_return,trade_notional,turnover,net_notional,gross_notional,rolls,symbols,decision_signal
2015-05-06,0.0127856344306434,0.9578848842414803,0.012099810829497177,0.012099810829497177,0.0,7.255860117366804e-06,7.671726543765744e-06,0.02418620039122268,0.025572421812552478,-1.0000075748769364,1.0000075748769364,0,IC1505.CFE,-1.0
2015-05-07,0.016083394422617525,0.9732909246461995,0.015415287400401361,0.015415287400401361,0.0,9.2469956822056e-06,9.653556324284219e-06,0.030823318940685334,0.032178521080947396,-1.0000095007519827,1.0000095007519827,0,IC1505.CFE,-1.0
2015-05-08,-0.033439003317319194,0.9407450461882385,-0.031961901129074634,-0.031961901129074634,0.0,0.0005839773288864242,0.0006000028502255948,1.946591096288081,2.0000095007519825,1.000620760461352,1.000620760461352,0,IC1505.CFE,1.0
2015-05-11,0.03901461873110712,0.9774478554884504,0.03670298449341045,0.03670298449341045,0.0,1.7519319866589686e-07,1.8622813840556918e-07,0.0005839773288863229,0.0006207604613518973,1.00000017923534,1.00000017923534,0,IC1505.CFE,1.0
2015-05-12,0.01861057125758947,0.9956387184535961,0.018190863017703663,0.018190863017703663,0.0,5.255795960223042e-11,5.377060198875381e-11,1.7519319867410138e-07,1.792353399625127e-07,1.0000000000527882,1.0000000000527882,0,IC1505.CFE,1.0
2015-05-13,0.005550544647470623,1.0011650556131233,0.005526337159542935,0.005526337159542935,0.0,1.576734884258142e-14,1.5836415911055485e-14,5.2557829475271405e-11,5.278805303685162e-11,1.0000000000000158,1.0000000000000158,0,IC1505.CFE,1.0
2015-05-14,0.006824416384921594,1.0079974228226605,0.00743752876016113,0.00743752876016113,0.0,0.0006051615506239753,0.0006044573242254929,2.0172051687465844,2.0148577474183096,1.0006003602161297,1.0006003602161297,1,IC1506.CFE,1.0
2015-05-15,-0.002698532817237753,1.0052773086974824,-0.002719932576712883,-0.002719932576712883,0.0,1.8154846518721712e-07,1.8010806483892905e-07,0.0006051615506240571,0.0006003602161297636,1.0000001805954075,1.0000001805954075,0,IC1506.CFE,1.0
2015-05-18,0.025478453928216904,1.0308902202922132,0.025612911649195148,0.025612911649195148,0.0,5.446453950546737e-11,5.41786221913593e-11,1.8154846501822457e-07,1.8059540730453098e-07,1.0000000000528324,1.0000000000528324,0,IC1506.CFE,1.0
2015-05-19,0.03664302600664815,1.06866515744438,0.037774937152183184,0.037774937152183184,0.0,1.6339348546043353e-14,1.5849746388526073e-14,5.446449515347784e-11,5.283248796175357e-11,1.0000000000000153,1.0000000000000153,0,IC1506.CFE,1.0
2015-05-20,0.018200157880887913,1.0881150320316717,0.019449874587291666,0.019449874587291666,0.0,4.908524758526212e-18,4.593136329310598e-18,1.6361749195087372e-14,1.5310454431035325e-14,1.0,1.0,0,IC1506.CFE,1.0
2015-05-21,0.0482189774734032,1.1405828262496782,0.05246779421800661,0.05246779421800661,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,IC1506.CFE,1.0
2015-05-22,0.0006779939596901485,1.1413561345164018,0.0007733082667236755,0.0007733082667236755,0.0,3.960536325980924e-20,3.472379414131163e-20,1.3201787753269746e-16,1.1574598047103877e-16,1.0,1.0,0,IC1506.CFE,1.0
2015-05-25,0.023138832997988024,1.167765783504206,0.02640964898780402,0.02640964898780402,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,IC1506.CFE,1.0
2015-05-26,0.05674954347520722,1.2340359586040373,0.06627017509983135,0.06627017509983135,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,IC1506.CFE,1.0
2015-05-27,0.0018799491084482423,1.236355883404208,0.002319924800170813,0.002319924800170813,0.0,4.290187996525141e-20,3.4765502306580076e-20,1.4300626655083803e-16,1.1588500768860026e-16,1.0,1.0,0,IC1506.CFE,1.0
2015-05-28,-0.05447308567096276,1.1690077634477318,-0.0673481199564763,-0.0673481199564763,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,IC1506.CFE,1.0
2015-05-29,0.014412861323818138,1.1858565102287708,0.016848746781039068,0.016848746781039068,0.0,4.1149538203971717e-20,3.5200397713878466e-20,1.3716512734657238e-16,1.1733465904626154e-16,1.0,1.0,0,IC1506.CFE,1.0
2015-06-01,0.08937851990909995,1.2918466099375887,0.10599009970881795,0.10599009970881795,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,IC1506.CFE,1.0
2015-06-02,0.02038891307502544,1.3181859581738724,0.026339348236283647,0.026339348236283647,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,IC1506.CFE,1.0
2015-06-03,-0.013083979236293786,1.3009388404675515,-0.017247117706320893,-0.017247117706320893,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,IC1506.CFE,1.0
2015-06-04,-0.021075005403847547,1.2735215473746226,-0.0274172930929288,-0.0274172930929288,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,IC1506.CFE,1.0
2015-06-05,0.0073418466860484255,1.2828715473268264,0.009349999952203838,0.009349999952203838,0.0,4.4515985949539205e-20,3.495503161396001e-20,1.4838661983179735e-16,1.1651677204653337e-16,1.0,1.0,0,IC1506.CFE,1.0
2015-06-08,-0.03221860991871395,1.2415392093676865,-0.040586967211070614,-0.040586967211070614,0.0,0.0007453707480694535,0.0005810174445154809,2.4845691602315116,1.936724815051603,-1.0006003602161295,1.0006003602161295,0,IC1506.CFE,-1.0
