name,grid,family,lookback,z_window,smoothing,regime,sharpe_train,n_train,sharpe_val,n_val,sharpe_reused,n_reused,length,skip,score,old_three_window_score,rank_grid,rank_family
classic_L120s20_zw40_sm5,momentum174,classic,,40,5,old_sym,0.004042831474629384,1706,-0.8077487380072885,727,-0.8152887970594889,654,120.0,20.0,-0.8077487380072885,-0.8152887970594889,169,43
classic_L120s20_zw120_sm0,momentum174,classic,,120,0,old_sym,-0.3489408161306426,1706,-1.001855124378856,727,0.2933690100092082,654,120.0,20.0,-1.001855124378856,-1.001855124378856,174,48
classic_L120s20_zw120_sm5,momentum174,classic,,120,5,old_sym,-0.30623561618977163,1706,-0.9418503183712365,727,0.3539879563781781,654,120.0,20.0,-0.9418503183712365,-0.9418503183712365,173,47
classic_L120s20_zw250_sm0,momentum174,classic,,250,0,old_sym,-0.2812419325660542,1706,-0.672523904702344,727,0.42073478541710957,654,120.0,20.0,-0.672523904702344,-0.672523904702344,166,40
classic_L120s20_zw250_sm5,momentum174,classic,,250,5,old_sym,-0.09516097043783171,1706,-0.8888805419250684,727,0.9599305849048854,654,120.0,20.0,-0.8888805419250684,-0.8888805419250684,171,45
classic_L250s0_zw40_sm0,momentum174,classic,,40,0,old_sym,0.7355204388438177,1706,-0.21336533754035195,727,0.6964544505136965,654,250.0,0.0,-0.21336533754035195,-0.21336533754035195,146,28
classic_L250s0_zw40_sm5,momentum174,classic,,40,5,old_sym,0.982484493823682,1706,0.2639867598329101,727,0.6485807180612132,654,250.0,0.0,0.2639867598329101,0.2639867598329101,105,20
classic_L250s0_zw120_sm0,momentum174,classic,,120,0,old_sym,0.17995100899404667,1706,-0.30310476790751173,727,0.4443510557765878,654,250.0,0.0,-0.30310476790751173,-0.30310476790751173,152,31
classic_L250s0_zw120_sm5,momentum174,classic,,120,5,old_sym,0.5880886418940754,1706,-0.09004139443769275,727,0.27122336722507023,654,250.0,0.0,-0.09004139443769275,-0.09004139443769275,136,26
classic_L250s0_zw250_sm0,momentum174,classic,,250,0,old_sym,0.3298707830739002,1706,-0.3674886612364598,727,0.8987204689004146,654,250.0,0.0,-0.3674886612364598,-0.3674886612364598,155,33
classic_L250s0_zw250_sm5,momentum174,classic,,250,5,old_sym,0.20652366092717622,1706,0.00810849483763318,727,0.9002524101559559,654,250.0,0.0,0.00810849483763318,0.00810849483763318,130,25
classic_L250s20_zw40_sm0,momentum174,classic,,40,0,old_sym,-0.818008061194364,1706,-0.003553190200518527,727,0.0729167872075433,654,250.0,20.0,-0.818008061194364,-0.818008061194364,170,44
classic_L250s20_zw40_sm5,momentum174,classic,,40,5,old_sym,-0.6901591267417407,1706,0.1621436207950097,727,0.13278493308423714,654,250.0,20.0,-0.6901591267417407,-0.6901591267417407,167,41
classic_L250s20_zw120_sm0,momentum174,classic,,120,0,old_sym,-0.5335683893072998,1706,-0.13354913420327352,727,0.2514567457777727,654,250.0,20.0,-0.5335683893072998,-0.5335683893072998,164,38
classic_L250s20_zw120_sm5,momentum174,classic,,120,5,old_sym,-0.3752999682991301,1706,-0.4420830040218641,727,0.4596275854559772,654,250.0,20.0,-0.4420830040218641,-0.4420830040218641,158,34
classic_L250s20_zw250_sm0,momentum174,classic,,250,0,old_sym,-0.27310081059862484,1706,-0.016740015031485485,727,0.6670239311519427,654,250.0,20.0,-0.27310081059862484,-0.27310081059862484,149,29
classic_L250s20_zw250_sm5,momentum174,classic,,250,5,old_sym,-0.25152177592196867,1706,-0.35242615984125636,727,0.7297135118907796,654,250.0,20.0,-0.35242615984125636,-0.35242615984125636,154,32
slope_L5s0_zw40_sm0,momentum174,slope,,40,0,old_sym,-0.4684331875487368,1706,0.5797852290569263,727,-0.46216705363574384,654,5.0,0.0,-0.4684331875487368,-0.4684331875487368,159,35
slope_L5s0_zw40_sm5,momentum174,slope,,40,5,old_sym,0.5562277804131186,1706,-0.46980673930294736,727,-0.6584995570993644,654,5.0,0.0,-0.46980673930294736,-0.6584995570993644,160,36
slope_L5s0_zw120_sm0,momentum174,slope,,120,0,old_sym,-0.25753015613375996,1706,0.866250960037308,727,0.39857786315236793,654,5.0,0.0,-0.25753015613375996,-0.25753015613375996,148,30
slope_L5s0_zw120_sm5,momentum174,slope,,120,5,old_sym,0.7070401568164112,1706,0.20900547971846112,727,0.12371022342278702,654,5.0,0.0,0.20900547971846112,0.12371022342278702,112,17
