date,IC,IM,old,fixed
2019-01-23,0.0508854309205618,,0.0508854309205618,0.0254427154602809
2019-01-24,0.028892597569943206,,0.028892597569943206,0.014446298784971603
2019-01-25,0.036295313162976364,,0.036295313162976364,0.018147656581488182
2019-01-28,0.05272317769630924,,0.05272317769630924,0.02636158884815462
2019-01-29,0.051262990571278005,,0.051262990571278005,0.025631495285639003
2019-01-30,0.0524391684325312,,0.0524391684325312,0.0262195842162656
2019-01-31,0.01722257052272478,,0.01722257052272478,0.00861128526136239
2019-02-01,-0.02171551728244751,,-0.02171551728244751,-0.010857758641223755
2019-02-11,0.0074268514096310035,,0.0074268514096310035,0.0037134257048155018
2019-02-12,0.028338255014829457,,0.028338255014829457,0.014169127507414728
2019-02-13,0.0070340258178735226,,0.0070340258178735226,0.0035170129089367613
2019-02-14,-0.013413583178123158,,-0.013413583178123158,-0.006706791589061579
2019-02-15,0.0003902548925848037,,0.0003902548925848037,0.00019512744629240184
2019-02-18,-0.05012114355742256,,-0.05012114355742256,-0.02506057177871128
2019-02-19,0.026992092359674955,,0.026992092359674955,0.013496046179837478
2019-02-20,0.05312142363859347,,0.05312142363859347,0.026560711819296735
2019-02-21,-0.010173237259403846,,-0.010173237259403846,-0.005086618629701923
2019-02-22,-0.10005994951218311,,-0.10005994951218311,-0.050029974756091555
2019-02-25,-0.3161789411272155,,-0.3161789411272155,-0.15808947056360775
2019-02-26,-0.10506797427143987,,-0.10506797427143987,-0.05253398713571993
2019-02-27,0.002201288842021874,,0.002201288842021874,0.001100644421010937
2019-02-28,-0.04507434225753483,,-0.04507434225753483,-0.022537171128767415
2019-03-01,-0.0719029082556429,,-0.0719029082556429,-0.03595145412782145
2019-03-04,0.08907264590857658,,0.08907264590857658,0.04453632295428829
2019-03-05,-0.024209316819381262,,-0.024209316819381262,-0.012104658409690631
2019-03-06,-0.07502059677489106,,-0.07502059677489106,-0.03751029838744553
2019-03-07,0.13553310168240548,,0.13553310168240548,0.06776655084120274
2019-03-08,-0.5039647943696841,,-0.5039647943696841,-0.25198239718484206
2019-03-11,0.1267811485305025,,0.1267811485305025,0.06339057426525126
2019-03-12,0.10526977626572763,,0.10526977626572763,0.052634888132863815
2019-03-13,0.7153573540144895,,0.7153573540144895,0.35767867700724476
2019-03-14,0.0411456724912397,,0.0411456724912397,0.02057283624561985
2019-03-15,0.055283014775261825,,0.055283014775261825,0.027641507387630913
2019-03-18,-0.02616031065499951,,-0.02616031065499951,-0.013080155327499754
2019-03-19,0.07415687674370808,,0.07415687674370808,0.03707843837185404
2019-03-20,0.10099343479437187,,0.10099343479437187,0.05049671739718593
2019-03-21,0.10826049501803553,,0.10826049501803553,0.054130247509017765
2019-03-22,0.025366375856043483,,0.025366375856043483,0.012683187928021741
2019-03-25,0.08174143148771257,,0.08174143148771257,0.040870715743856284
2019-03-26,0.103962219298833,,0.103962219298833,0.0519811096494165
2019-03-27,0.1639410702186361,,0.1639410702186361,0.08197053510931805
2019-03-28,0.15918070811083151,,0.15918070811083151,0.07959035405541576
2019-03-29,0.04153170973542354,,0.04153170973542354,0.02076585486771177
2019-04-01,-0.028745034659623008,,-0.028745034659623008,-0.014372517329811504
2019-04-02,0.10762042065628441,,0.10762042065628441,0.053810210328142205
2019-04-03,0.02907011798537344,,0.02907011798537344,0.01453505899268672
2019-04-04,-0.045763127301971386,,-0.045763127301971386,-0.022881563650985693
2019-04-08,0.26573011271563324,,0.26573011271563324,0.13286505635781662
2019-04-09,0.1323809248079701,,0.1323809248079701,0.06619046240398505
