ts_code,formation_date,total_shares,mkt_cap_ard,close,implied_shares,relative_error,is_target_coordinate,cdr_unit_ratio,proposed_shares,cross_field_tier,cross_field_evidence
600483.SH,2017-12-29,1551825574,11731801339.439999,7.56,1551825574.0,6.536420790063922e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=6.536e-17
600483.SH,2018-01-31,1551825574,11685246572.220001,7.53,1551825574.0,7.143877399337147e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=7.144e-17
600483.SH,2018-02-28,1551825574,10738632972.08,6.92,1551825574.0,3.163335002980835e-18,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=3.163e-18
600483.SH,2018-03-30,1551825574,11902502152.58,7.67,1551825574.0,2.8540128058184325e-18,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=2.854e-18
600483.SH,2018-04-27,1551825574,12414604592.0,8.0,1551825574.0,0.0,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=0.000e+3
600483.SH,2018-05-31,1551825574,12274940290.34,7.91,1551825574.0,5.53483646539251e-18,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=5.535e-18
600483.SH,2018-06-29,1551825574,10661041693.380001,6.87,1551825574.0000002,8.467460329131615e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=8.467e-17
600483.SH,2018-07-31,1551825574,12197349011.640001,7.86,1551825574.0,6.565441347957504e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=6.565e-17
600483.SH,2018-08-31,1551825574,12554268893.66,8.09,1551825574.0,5.411688064431985e-18,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=5.412e-18
600483.SH,2018-09-28,1551825574,12911188775.68,8.32,1551825574.0,1.052417222145547e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=1.052e-17
600483.SH,2018-10-31,1551825574,12569787149.4,8.1,1551825574.0,1.3512517420140358e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=1.351e-17
600483.SH,2018-11-30,1551825574,13299145169.18,8.57,1551825574.0,1.0217166030631214e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=1.022e-17
600483.SH,2018-12-28,1551825574,13190517379.0,8.5,1551825574.0,0.0,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=0.000e+3
600483.SH,2019-01-31,1551825574,12864634008.46,8.29,1551825574.0,3.1686771851330345e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=3.169e-17
600483.SH,2019-02-28,1551825574,14323350048.02,9.23,1551825574.0,1.4229866665629932e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=1.423e-17
600483.SH,2019-03-29,1551825574,14959598533.36,9.64,1551825574.0,1.8166205992221888e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=1.817e-17
600483.SH,2019-04-30,1551825574,13888838887.3,8.95,1551825574.0,2.4458411419695398e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=2.446e-17
600483.SH,2019-05-31,1551825574,12631860172.36,8.14,1551825574.0,2.1513786949019536e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=2.151e-17
600483.SH,2019-06-28,1551825574,13283626913.44,8.56,1551825574.0,1.7900928451447623e-17,True,1,1551825574,CROSS_FIELD_EXACT,relative_error=1.790e-17
600483.SH,2019-07-31,1551831096,12430167078.96,8.01,1551831096.0,4.7041576055958604e-17,True,1,1551831096,CROSS_FIELD_EXACT,relative_error=4.704e-17
600483.SH,2019-08-30,1551831096,13221600937.92,8.52,1551831096.0,5.580862228490787e-17,True,1,1551831096,CROSS_FIELD_EXACT,relative_error=5.581e-17
600483.SH,2019-09-30,1551832157,13299192492.720001,8.57,1551831096.0,6.837079610208297e-07,True,1,1551832157,CROSS_FIELD_EXACT,relative_error=6.837e-7
600483.SH,2019-10-31,1551832157,13749232911.019999,8.86,1551832157.0,4.1272884937635395e-17,True,1,1551832157,CROSS_FIELD_EXACT,relative_error=4.127e-17
600483.SH,2019-11-29,1551832157,13811306197.300001,8.9,1551832157.0,4.29421836050384e-17,True,1,1551832157,CROSS_FIELD_EXACT,relative_error=4.294e-17
600483.SH,2019-12-31,1551833806,14276855844.4,9.2,1551832157.0,1.062613788632474e-06,True,1,1551833806,CROSS_FIELD_EXACT,relative_error=1.063e-6
600483.SH,2020-01-23,1551833806,13314734055.48,8.58,1551833806.0,4.26616178215921e-17,True,1,1551833806,CROSS_FIELD_EXACT,relative_error=4.266e-17
600483.SH,2020-02-28,1551833806,13268179041.300001,8.55,1551833806.0,3.147752347722265e-18,True,1,1551833806,CROSS_FIELD_EXACT,relative_error=3.148e-18
600483.SH,2020-03-31,1551834745,12756073885.320002,8.22,1551833806.0,6.050902023886673e-07,True,1,1551834745,CROSS_FIELD_EXACT,relative_error=6.051e-7
600483.SH,2020-04-30,1551834745,11762907367.1,7.58,1551834745.0,2.3055969717576256e-17,True,1,1551834745,CROSS_FIELD_EXACT,relative_error=2.306e-17
600483.SH,2020-05-29,1551834745,11157691816.550001,7.19,1551834745.0,4.821377850315146e-17,True,1,1551834745,CROSS_FIELD_EXACT,relative_error=4.821e-17
600483.SH,2020-06-30,1760375824,12780327589.26,7.26,1760375701.0,6.987144349511738e-08,True,1,1760375824,CROSS_FIELD_EXACT,relative_error=6.987e-8
600483.SH,2020-07-31,1760375824,15561722284.160002,8.84,1760375824.0000002,1.2883697294986801e-16,True,1,1760375824,CROSS_FIELD_EXACT,relative_error=1.288e-16
600483.SH,2020-08-31,1760375824,13994987800.800003,7.95,1760375824.0000002,1.9571665856369675e-16,True,1,1760375824,CROSS_FIELD_EXACT,relative_error=1.957e-16
600483.SH,2020-09-30,1760376808,13959780284.320002,7.93,1760375824.0000002,5.589712357394721e-07,True,1,1760376808,CROSS_FIELD_EXACT,relative_error=5.590e-7
600483.SH,2020-10-30,1760376808,13449278813.119999,7.64,1760376808.0,3.756669130659232e-17,True,1,1760376808,CROSS_FIELD_EXACT,relative_error=3.757e-17
600483.SH,2020-11-30,1760376808,13924580551.28,7.91,1760376808.0,3.134607290898874e-17,True,1,1760376808,CROSS_FIELD_EXACT,relative_error=3.135e-17
600483.SH,2020-12-31,1760376808,13959788087.439999,7.93,1760376808.0,6.25340319571503e-17,True,1,1760376808,CROSS_FIELD_EXACT,relative_error=6.253e-17
600483.SH,2021-01-29,1760376808,13625316493.92,7.74,1760376808.0,2.194099056402741e-17,True,1,1760376808,CROSS_FIELD_EXACT,relative_error=2.194e-17
