ts_code,effective_date,total_shares,par_value,available_date,source,quality_flag
002366.SZ,2017-07-31,867057350,,2017-07-31,wind_total_shares_month_end,
002366.SZ,2022-12-30,2080937640,,2022-12-30,wind_total_shares_month_end,
002468.SZ,2013-05-31,276480000,,2013-05-31,wind_total_shares_month_end,
002468.SZ,2014-06-30,331776000,,2014-06-30,wind_total_shares_month_end,
002468.SZ,2016-12-30,1530802166,,2016-12-30,wind_total_shares_month_end,
002517.SZ,2013-05-31,176800000,,2013-05-31,wind_total_shares_month_end,
002517.SZ,2015-12-31,676799996,,2015-12-31,wind_total_shares_month_end,
002517.SZ,2016-11-30,717505878,,2016-11-30,wind_total_shares_month_end,
002517.SZ,2017-09-29,1435011756,,2017-09-29,wind_total_shares_month_end,
002517.SZ,2018-06-29,2152517634,,2018-06-29,wind_total_shares_month_end,
002558.SZ,2013-05-31,59500000,,2013-05-31,wind_total_shares_month_end,
002558.SZ,2014-07-31,65450000,,2014-07-31,wind_total_shares_month_end,
002558.SZ,2016-04-29,509136270,,2016-04-29,wind_total_shares_month_end,
002558.SZ,2016-05-31,562327759,,2016-05-31,wind_total_shares_month_end,
002558.SZ,2016-09-30,1686983277,,2016-09-30,wind_total_shares_month_end,
002558.SZ,2017-06-30,2024379932,,2017-06-30,wind_total_shares_month_end,
002558.SZ,2022-11-30,2004937008,,2022-11-30,wind_total_shares_month_end,
002558.SZ,2023-11-30,1973542406,,2023-11-30,wind_total_shares_month_end,
002581.SZ,2013-05-31,140764000,,2013-05-31,wind_total_shares_month_end,
002581.SZ,2015-07-31,281528000,,2015-07-31,wind_total_shares_month_end,
002581.SZ,2015-09-30,659735586,,2015-09-30,wind_total_shares_month_end,
002600.SZ,2013-05-31,317800000,,2013-05-31,wind_total_shares_month_end,
002600.SZ,2015-04-30,635600000,,2015-04-30,wind_total_shares_month_end,
002600.SZ,2015-09-30,879989668,,2015-09-30,wind_total_shares_month_end,
002600.SZ,2016-05-31,1046656332,,2016-05-31,wind_total_shares_month_end,
002600.SZ,2016-06-30,1177211887,,2016-06-30,wind_total_shares_month_end,
002600.SZ,2017-07-31,2354423774,,2017-07-31,wind_total_shares_month_end,
002600.SZ,2018-01-31,6783910951,,2018-01-31,wind_total_shares_month_end,
002600.SZ,2018-10-31,6724976982,,2018-10-31,wind_total_shares_month_end,
002600.SZ,2018-12-28,6825258976,,2018-12-28,wind_total_shares_month_end,
002600.SZ,2019-07-31,6822713040,,2019-07-31,wind_total_shares_month_end,
002600.SZ,2019-09-30,6847077440,,2019-09-30,wind_total_shares_month_end,
002600.SZ,2019-12-31,6827077440,,2019-12-31,wind_total_shares_month_end,
002600.SZ,2020-05-29,6820865200,,2020-05-29,wind_total_shares_month_end,
002600.SZ,2020-06-30,7143099356,,2020-06-30,wind_total_shares_month_end,
002600.SZ,2020-08-31,7047872114,,2020-08-31,wind_total_shares_month_end,
002600.SZ,2020-09-30,7042004019,,2020-09-30,wind_total_shares_month_end,
002600.SZ,2020-12-31,7043698769,,2020-12-31,wind_total_shares_month_end,
002600.SZ,2021-02-26,7057954108,,2021-02-26,wind_total_shares_month_end,
002600.SZ,2021-06-30,7056369258,,2021-06-30,wind_total_shares_month_end,
002600.SZ,2021-08-31,7065002243,,2021-08-31,wind_total_shares_month_end,
002600.SZ,2021-09-30,7066491403,,2021-09-30,wind_total_shares_month_end,
002600.SZ,2021-12-31,7071114003,,2021-12-31,wind_total_shares_month_end,
002600.SZ,2022-08-31,7038674975,,2022-08-31,wind_total_shares_month_end,
002600.SZ,2023-06-30,7008177819,,2023-06-30,wind_total_shares_month_end,
002607.SZ,2013-05-31,176000000,,2013-05-31,wind_total_shares_month_end,
002607.SZ,2013-06-28,228800000,,2013-06-28,wind_total_shares_month_end,
002607.SZ,2014-06-30,274560000,,2014-06-30,wind_total_shares_month_end,
002607.SZ,2015-05-29,356928000,,2015-05-29,wind_total_shares_month_end,
002607.SZ,2016-04-29,455742200,,2016-04-29,wind_total_shares_month_end,
002607.SZ,2017-06-30,820335960,,2017-06-30,wind_total_shares_month_end,
002607.SZ,2019-01-31,6167399389,,2019-01-31,wind_total_shares_month_end,
002694.SZ,2013-05-31,172800000,,2013-05-31,wind_total_shares_month_end,
002694.SZ,2014-06-30,345600000,,2014-06-30,wind_total_shares_month_end,
002694.SZ,2017-02-28,373248000,,2017-02-28,wind_total_shares_month_end,
002694.SZ,2017-05-31,597196800,,2017-05-31,wind_total_shares_month_end,
002694.SZ,2023-10-31,763084800,,2023-10-31,wind_total_shares_month_end,
300442.SZ,2015-10-30,100000000,,2015-10-30,wind_total_shares_month_end,
300442.SZ,2022-07-29,820420678,,2022-07-29,wind_total_shares_month_end,
300442.SZ,2023-02-28,953867583,,2023-02-28,wind_total_shares_month_end,
300442.SZ,2023-05-31,1716961649,,2023-05-31,wind_total_shares_month_end,
300442.SZ,2023-11-30,1720577649,,2023-11-30,wind_total_shares_month_end,
600097.SH,2013-05-31,202597901,,2013-05-31,wind_total_shares_month_end,
600097.SH,2017-12-29,240936559,,2017-12-29,wind_total_shares_month_end,
600179.SH,2013-05-31,390000000,,2013-05-31,wind_total_shares_month_end,
600179.SH,2016-07-29,965709779,,2016-07-29,wind_total_shares_month_end,
600179.SH,2016-09-30,1062128511,,2016-09-30,wind_total_shares_month_end,
600179.SH,2018-05-31,1486979915,,2018-05-31,wind_total_shares_month_end,
600179.SH,2020-12-31,4364286051,,2020-12-31,wind_total_shares_month_end,
600179.SH,2022-11-30,4231526979,,2022-11-30,wind_total_shares_month_end,
600217.SH,2013-05-31,660800000,,2013-05-31,wind_total_shares_month_end,
600217.SH,2015-05-29,1341587523,,2015-05-29,wind_total_shares_month_end,
600217.SH,2017-04-28,1411336529,,2017-04-28,wind_total_shares_month_end,
600217.SH,2017-12-29,1388659782,,2017-12-29,wind_total_shares_month_end,
600233.SH,2013-05-31,165000000,,2013-05-31,wind_total_shares_month_end,
600233.SH,2016-04-29,330000000,,2016-04-29,wind_total_shares_month_end,
600233.SH,2016-09-30,2821229621,,2016-09-30,wind_total_shares_month_end,
600233.SH,2017-11-30,2825477587,,2017-11-30,wind_total_shares_month_end,
600233.SH,2018-05-31,2830771222,,2018-05-31,wind_total_shares_month_end,
600233.SH,2018-12-28,2828647251,,2018-12-28,wind_total_shares_month_end,
600233.SH,2019-01-31,2828454385,,2019-01-31,wind_total_shares_month_end,
600233.SH,2019-05-31,2828460341,,2019-05-31,wind_total_shares_month_end,
600233.SH,2019-07-31,2836270281,,2019-07-31,wind_total_shares_month_end,
600233.SH,2019-09-30,2843151300,,2019-09-30,wind_total_shares_month_end,
600233.SH,2019-11-29,2842647090,,2019-11-29,wind_total_shares_month_end,
600233.SH,2019-12-31,2842930394,,2019-12-31,wind_total_shares_month_end,
600233.SH,2020-01-23,2842571478,,2020-01-23,wind_total_shares_month_end,
600233.SH,2020-03-31,3164456588,,2020-03-31,wind_total_shares_month_end,
600233.SH,2020-07-31,3159830675,,2020-07-31,wind_total_shares_month_end,
600233.SH,2021-09-30,3159830686,,2021-09-30,wind_total_shares_month_end,
600233.SH,2021-12-31,3435027509,,2021-12-31,wind_total_shares_month_end,
600233.SH,2022-03-31,3435617454,,2022-03-31,wind_total_shares_month_end,
600233.SH,2022-05-31,3436099454,,2022-05-31,wind_total_shares_month_end,
600233.SH,2022-06-30,3436146954,,2022-06-30,wind_total_shares_month_end,
