ts_code,effective_date,planned_action,reason,total_shares,available_date,source,old_total_shares,old_par_value,old_available_date,old_source,old_quality_flag,old_updated_at
000908.SZ,2016-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,879774351,2016-06-30,wind_total_shares_month_end,,,2016-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
001267.SZ,2022-05-31,INSERT,no canonical row for this key,700000000,2022-05-31,wind_total_shares_month_end,,,,,,
001267.SZ,2022-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,775446428,2022-09-30,wind_total_shares_month_end,,,2022-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
001267.SZ,2023-05-31,INSERT,no canonical row for this key,779671428,2023-05-31,wind_total_shares_month_end,,,,,,
002019.SZ,2013-05-31,INSERT,no canonical row for this key,220420000,2013-05-31,wind_total_shares_month_end,,,,,,
002019.SZ,2014-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,440319243,2014-09-30,wind_total_shares_month_end,,,2014-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002019.SZ,2016-05-31,INSERT,no canonical row for this key,1100798107,2016-05-31,wind_total_shares_month_end,,,,,,
002019.SZ,2017-08-31,INSERT,no canonical row for this key,1206974577,2017-08-31,wind_total_shares_month_end,,,,,,
002019.SZ,2019-06-28,INSERT,no canonical row for this key,1230904577,2019-06-28,wind_total_shares_month_end,,,,,,
002019.SZ,2019-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1236904577,2019-12-31,wind_total_shares_month_end,,,2020-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002019.SZ,2020-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1234677077,2020-06-30,wind_total_shares_month_end,,,2020-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002019.SZ,2021-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1234106077,2021-06-30,wind_total_shares_month_end,,,2021-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002019.SZ,2022-07-29,INSERT,no canonical row for this key,1226024827,2022-07-29,wind_total_shares_month_end,,,,,,
002027.SZ,2013-05-31,INSERT,no canonical row for this key,302335116,2013-05-31,wind_total_shares_month_end,,,,,,
002027.SZ,2015-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,4115891498,2015-12-31,wind_total_shares_month_end,,,2016-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002027.SZ,2016-04-29,INSERT,no canonical row for this key,4368416750,2016-04-29,wind_total_shares_month_end,,,,,,
002027.SZ,2016-06-30,INSERT,no canonical row for this key,8736833500,2016-06-30,wind_total_shares_month_end,,,,,,
002027.SZ,2017-07-31,INSERT,no canonical row for this key,12231566900,2017-07-31,wind_total_shares_month_end,,,,,,
002027.SZ,2018-06-29,INSERT,no canonical row for this key,14677880280,2018-06-29,wind_total_shares_month_end,,,,,,
002027.SZ,2021-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,14442199726,2021-09-30,wind_total_shares_month_end,,,2021-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002127.SZ,2013-05-31,INSERT,no canonical row for this key,446458902,2013-05-31,wind_total_shares_month_end,,,,,,
002127.SZ,2016-01-29,INSERT,no canonical row for this key,769129766,2016-01-29,wind_total_shares_month_end,,,,,,
002127.SZ,2016-05-31,INSERT,no canonical row for this key,1538259532,2016-05-31,wind_total_shares_month_end,,,,,,
002127.SZ,2017-10-31,INSERT,no canonical row for this key,1636580269,2017-10-31,wind_total_shares_month_end,,,,,,
002127.SZ,2018-05-31,INSERT,no canonical row for this key,2454870403,2018-05-31,wind_total_shares_month_end,,,,,,
002270.SZ,2013-05-31,INSERT,no canonical row for this key,189150000,2013-05-31,wind_total_shares_month_end,,,,,,
002270.SZ,2015-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,469927537,2015-12-31,wind_total_shares_month_end,,,2016-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002270.SZ,2016-01-29,INSERT,no canonical row for this key,506159420,2016-01-29,wind_total_shares_month_end,,,,,,
002270.SZ,2018-06-29,INSERT,no canonical row for this key,759239130,2018-06-29,wind_total_shares_month_end,,,,,,
002270.SZ,2022-03-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,896225431,2022-03-31,wind_total_shares_month_end,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002323.SZ,2013-05-31,INSERT,no canonical row for this key,107588000,2013-05-31,wind_total_shares_month_end,,,,,,
002323.SZ,2015-07-31,INSERT,no canonical row for this key,248576552,2015-07-31,wind_total_shares_month_end,,,,,,
002323.SZ,2016-04-29,INSERT,no canonical row for this key,745729656,2016-04-29,wind_total_shares_month_end,,,,,,
002323.SZ,2022-01-28,INSERT,no canonical row for this key,2120855142,2022-01-28,wind_total_shares_month_end,,,,,,
002343.SZ,2013-05-31,INSERT,no canonical row for this key,198120000,2013-05-31,wind_total_shares_month_end,,,,,,
002343.SZ,2015-08-31,INSERT,no canonical row for this key,314510000,2015-08-31,wind_total_shares_month_end,,,,,,
002343.SZ,2017-12-29,INSERT,no canonical row for this key,339249776,2017-12-29,wind_total_shares_month_end,,,,,,
002343.SZ,2018-06-29,INSERT,no canonical row for this key,474949686,2018-06-29,wind_total_shares_month_end,,,,,,
002366.SZ,2013-05-31,INSERT,no canonical row for this key,133500000,2013-05-31,wind_total_shares_month_end,,,,,,
002366.SZ,2015-07-31,INSERT,no canonical row for this key,404001116,2015-07-31,wind_total_shares_month_end,,,,,,
002366.SZ,2015-08-31,INSERT,no canonical row for this key,433528675,2015-08-31,wind_total_shares_month_end,,,,,,
002366.SZ,2017-07-31,INSERT,no canonical row for this key,867057350,2017-07-31,wind_total_shares_month_end,,,,,,
002366.SZ,2022-12-30,INSERT,no canonical row for this key,2080937640,2022-12-30,wind_total_shares_month_end,,,,,,
002468.SZ,2013-05-31,INSERT,no canonical row for this key,276480000,2013-05-31,wind_total_shares_month_end,,,,,,
002468.SZ,2014-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,331776000,2014-06-30,wind_total_shares_month_end,,,2014-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002468.SZ,2016-12-30,INSERT,no canonical row for this key,1530802166,2016-12-30,wind_total_shares_month_end,,,,,,
002517.SZ,2013-05-31,INSERT,no canonical row for this key,176800000,2013-05-31,wind_total_shares_month_end,,,,,,
002517.SZ,2015-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,676799996,2015-12-31,wind_total_shares_month_end,,,2016-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002517.SZ,2016-11-30,INSERT,no canonical row for this key,717505878,2016-11-30,wind_total_shares_month_end,,,,,,
002517.SZ,2017-09-29,INSERT,no canonical row for this key,1435011756,2017-09-29,wind_total_shares_month_end,,,,,,
002517.SZ,2018-06-29,INSERT,no canonical row for this key,2152517634,2018-06-29,wind_total_shares_month_end,,,,,,
002558.SZ,2013-05-31,INSERT,no canonical row for this key,59500000,2013-05-31,wind_total_shares_month_end,,,,,,
002558.SZ,2014-07-31,INSERT,no canonical row for this key,65450000,2014-07-31,wind_total_shares_month_end,,,,,,
002558.SZ,2016-04-29,INSERT,no canonical row for this key,509136270,2016-04-29,wind_total_shares_month_end,,,,,,
002558.SZ,2016-05-31,INSERT,no canonical row for this key,562327759,2016-05-31,wind_total_shares_month_end,,,,,,
002558.SZ,2016-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1686983277,2016-09-30,wind_total_shares_month_end,,,2016-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002558.SZ,2017-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,2024379932,2017-06-30,wind_total_shares_month_end,,,2017-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002558.SZ,2022-11-30,INSERT,no canonical row for this key,2004937008,2022-11-30,wind_total_shares_month_end,,,,,,
002558.SZ,2023-11-30,INSERT,no canonical row for this key,1973542406,2023-11-30,wind_total_shares_month_end,,,,,,
002581.SZ,2013-05-31,INSERT,no canonical row for this key,140764000,2013-05-31,wind_total_shares_month_end,,,,,,
002581.SZ,2015-07-31,INSERT,no canonical row for this key,281528000,2015-07-31,wind_total_shares_month_end,,,,,,
002581.SZ,2015-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,659735586,2015-09-30,wind_total_shares_month_end,,,2015-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2013-05-31,INSERT,no canonical row for this key,317800000,2013-05-31,wind_total_shares_month_end,,,,,,
002600.SZ,2015-04-30,INSERT,no canonical row for this key,635600000,2015-04-30,wind_total_shares_month_end,,,,,,
002600.SZ,2015-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,879989668,2015-09-30,wind_total_shares_month_end,,,2015-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2016-05-31,INSERT,no canonical row for this key,1046656332,2016-05-31,wind_total_shares_month_end,,,,,,
002600.SZ,2016-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1177211887,2016-06-30,wind_total_shares_month_end,,,2016-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2017-07-31,INSERT,no canonical row for this key,2354423774,2017-07-31,wind_total_shares_month_end,,,,,,
002600.SZ,2018-01-31,INSERT,no canonical row for this key,6783910951,2018-01-31,wind_total_shares_month_end,,,,,,
002600.SZ,2018-10-31,INSERT,no canonical row for this key,6724976982,2018-10-31,wind_total_shares_month_end,,,,,,
002600.SZ,2018-12-28,INSERT,no canonical row for this key,6825258976,2018-12-28,wind_total_shares_month_end,,,,,,
002600.SZ,2019-07-31,INSERT,no canonical row for this key,6822713040,2019-07-31,wind_total_shares_month_end,,,,,,
002600.SZ,2019-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,6847077440,2019-09-30,wind_total_shares_month_end,,,2019-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2019-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,6827077440,2019-12-31,wind_total_shares_month_end,,,2020-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2020-05-29,INSERT,no canonical row for this key,6820865200,2020-05-29,wind_total_shares_month_end,,,,,,
002600.SZ,2020-06-30,INSERT,no canonical row for this key,7143099356,2020-06-30,wind_total_shares_month_end,,,,,,
002600.SZ,2020-08-31,INSERT,no canonical row for this key,7047872114,2020-08-31,wind_total_shares_month_end,,,,,,
002600.SZ,2020-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,7042004019,2020-09-30,wind_total_shares_month_end,,,2020-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2020-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,7043698769,2020-12-31,wind_total_shares_month_end,,,2021-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2021-02-26,INSERT,no canonical row for this key,7057954108,2021-02-26,wind_total_shares_month_end,,,,,,
002600.SZ,2021-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,7056369258,2021-06-30,wind_total_shares_month_end,,,2021-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2021-08-31,INSERT,no canonical row for this key,7065002243,2021-08-31,wind_total_shares_month_end,,,,,,
002600.SZ,2021-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,7066491403,2021-09-30,wind_total_shares_month_end,,,2021-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2021-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,7071114003,2021-12-31,wind_total_shares_month_end,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2022-08-31,INSERT,no canonical row for this key,7038674975,2022-08-31,wind_total_shares_month_end,,,,,,
