mapping,name,window,n,ann,cagr,sharpe,maxdd,vol,es05,worst_day
longflat,DEMA7,2015-2020,1395,0.23160871636583807,0.23836765359855286,1.2333498471795479,-0.2334412658924524,0.18778833669577702,-0.03024393415162196,-0.08674252635367892
longflat,DEMA7,2021-2023,727,0.15214829851012224,0.15600799075138033,1.2750419363721184,-0.1312448943202561,0.11932807397930016,-0.019612875549849217,-0.052155925327021
longflat,DEMA7,2024-2026,654,0.29773342435468825,0.32355613811191175,1.5931896239108645,-0.16109441085251386,0.18687883719944803,-0.026011578823327677,-0.07241760384229837
longflat,CUSUM,full,2776,0.1214794924150513,0.11462786562303062,0.7590868740438523,-0.3258338217641833,0.16003371493950172,-0.026901825468983606,-0.10434174708645175
longflat,CUSUM,dual_listed,1005,0.12288297461808481,0.11480690274558335,0.7326806775907717,-0.17649049366215308,0.16771695825547533,-0.028326530271876264,-0.10434174708645175
longflat,CUSUM,2015-2020,1395,0.15681498627527743,0.15228689976081158,0.9096371198146677,-0.3258338217641833,0.17239290576359442,-0.02850633103988717,-0.08674252635367892
longflat,CUSUM,2021-2023,727,-0.0040807164887371634,-0.005613962892413602,-0.07342179428475237,-0.0784636039038007,0.05557908967616462,-0.00045575639523965457,-0.031793506546325775
longflat,CUSUM,2024-2026,654,0.18568325073009528,0.17884640049268563,0.9075702094762319,-0.17649049366215352,0.20459381411081687,-0.033442682348244636,-0.10434174708645175
longflat,Hamilton,full,2776,0.18692296907823874,0.1874237289730299,1.0775149364273375,-0.2074262996453421,0.1734759888322383,-0.027593307071809615,-0.08674252635367892
longflat,Hamilton,dual_listed,1005,0.17366557212000894,0.17510971001599798,1.104652831957981,-0.13504032642357078,0.1572128066808006,-0.023122924560964486,-0.07241760384229837
longflat,Hamilton,2015-2020,1395,0.17722708792598874,0.17119105338452362,0.9084159317995653,-0.2074262996453421,0.19509464962256132,-0.032826014159115055,-0.08674252635367892
longflat,Hamilton,2021-2023,727,0.16285747431640565,0.1697045002524592,1.4794752166475962,-0.08399796610653487,0.11007786577556272,-0.017822323869902908,-0.038715937680039024
longflat,Hamilton,2024-2026,654,0.23435625485689535,0.24341273485579162,1.287165060450936,-0.13504032642357044,0.1820716410487344,-0.025920178665697083,-0.07241760384229837
symmetric,incumbent,full,2776,0.3861754812738162,0.4227610762786233,1.4915889685856758,-0.2707171254614391,0.25890207651507885,-0.035165514213603435,-0.08674252635367892
symmetric,incumbent,dual_listed,1005,0.3375405474373344,0.3641661117923337,1.4519643743259911,-0.2501863622216788,0.23247164558980474,-0.029736218878376432,-0.07370030493493258
symmetric,incumbent,2015-2020,1395,0.46184830956197515,0.5221902641460993,1.6016418672178998,-0.2707171254614391,0.2883592886868146,-0.04014462760201445,-0.08674252635367892
symmetric,incumbent,2021-2023,727,0.23527781996687538,0.24441596785976863,1.2930111447931523,-0.15035075042658586,0.18196116941011647,-0.024493798064600156,-0.052155925327021
symmetric,incumbent,2024-2026,654,0.3925042340385932,0.4295995485814369,1.4795120725040176,-0.2501863622216792,0.2652930255407074,-0.03321680453459462,-0.07370030493493258
symmetric,raw,full,2776,0.3113556169132757,0.3201829840490213,1.200577988304456,-0.4119277019038353,0.2593381021028004,-0.035119799471753116,-0.08674252635367892
symmetric,raw,dual_listed,1005,0.26030539236737305,0.2627779900139389,1.1181922675566356,-0.28906502960585545,0.23279126490130986,-0.03028183354896793,-0.07370030493493258
symmetric,raw,2015-2020,1395,0.374419682269969,0.39473413264423596,1.2957659454732575,-0.4119277019038353,0.28895626064105145,-0.03964304084418276,-0.08674252635367892
