,g1_growth,g1_value,g2_growth,g2_value,g3_growth,g3_value,g4_growth,g4_value,g5_growth,g5_value
2016-11-24,0.004275265851380807,0.0028601152220097664,-0.005880411232751574,0.00556915963073642,-0.006012961658392061,0.005855996770386775,-0.008163900196663557,-0.0018788229567448232,-0.007914652547980112,-0.004852492828282149
2016-11-25,0.007220787110318386,0.01325011088228388,0.0034959509756101216,0.006419137289983638,0.005488109181016691,0.005110793660498711,0.0047738764381616726,0.0029074944376825053,0.0004062759395401553,0.0009382572628961726
2016-11-28,0.007467979233518511,0.009615484496052026,9.229171395109865e-06,0.009086519392467568,0.0016430832746474272,0.006164296023428509,-0.0011077092182270299,0.003561667916012801,-0.005201797248508573,-0.001962088656671225
2016-11-29,0.013747241604535379,0.01780272250881926,-0.00019357613213294176,0.003707148538482124,-0.005585571687239277,-0.0068554628969128,-0.010998566068006452,-0.00802475956079383,-0.015663016393741826,-0.015707556010821726
2016-11-30,-0.007076816315321167,-0.007765012212258428,-0.0026123022476628216,-0.014716259389990766,-0.0004035270163207338,-0.012723233765514163,0.0015430981187445293,-0.004745328010379761,-0.0023941939849331283,-0.0046621184846897335
2016-12-01,0.006892093913648405,0.01197231547828722,0.005315730614643454,0.01611269789275122,0.0005833729232131416,0.009107954545960797,0.00435733801320968,0.007992545502725509,0.003305397149021355,0.006836020570424207
2016-12-02,-0.011420674624356485,-0.006147818005111864,-0.012915003518016114,-0.008065416227500361,-0.01787734566073941,-0.015387141992667115,-0.018181678069403504,-0.012938519766387612,-0.019978466631729218,-0.018552884031752592
2016-12-05,-0.026958580480658544,-0.012488201004662683,-0.004427348661592871,-0.013846590216499812,-0.0004805378440180395,-0.007810253113949997,-0.0033485921183640417,-0.007788582547651423,-0.0031795280245986287,-0.008525918018828627
2016-12-06,-0.0038252830525632798,-0.006644409946168763,-0.005228730153782297,-0.004040221727666517,0.00018252230387308656,-0.0032705570088413832,-0.0008952908198833974,0.001987893196788545,0.004323161310944096,0.004609509400477656
2016-12-07,0.005100453443988142,-0.0009476761833323876,0.008201065209869294,0.00907588243931099,0.009578797356639374,0.012774501902575487,0.011258251691399889,0.012549020134170752,0.01125400710430627,0.014403937208019834
2016-12-08,-0.0089745106179507,0.00741071685213022,-0.008746453823308862,-0.003747425695647646,-0.00478280069245587,-0.004236464776339003,-0.007968559162381768,-0.004745026450601046,-0.006441889594789319,-0.005833762355025461
2016-12-09,0.0036085296620119037,0.018530135929661844,-0.004462292180625526,0.0016365747774797841,-0.0033265852272622116,-0.001491853211836142,-0.005178083556822076,-0.0003612588652378986,-0.003106205933321813,-0.002267191115715794
