,mine,official
2018-03-19,0.007901744565210233,0.00930073268849474
2018-03-20,0.004959104863001806,0.0007253499645402117
2018-03-21,-0.0036377668177853713,-0.004092794778396858
2018-03-22,-0.0014691854615427411,0.00023264787861909664
2018-03-23,-0.005136622640367884,0.0011708218547811233
2018-03-26,0.00980082766132832,0.012331164779888715
2018-03-27,0.007532088401086354,0.009323959417469663
2018-03-28,0.0033312948438411934,0.005798051473163923
2018-03-29,-0.00334247764911187,-0.009758076285356632
2018-03-30,0.012777840042825917,0.011398082769354279
2018-04-02,0.003290333955998365,0.00145970117974481
2018-04-03,0.00038049076308791126,-0.00030609957757254946
2018-04-04,-0.004783908751409386,-0.0012872195793739438
2018-04-09,0.0015556149484564363,0.003152969848450926
2018-04-10,-0.006197214889450331,-0.00892757409034095
2018-04-11,0.0010497507631903533,0.0015562046956481002
2018-04-12,0.0033137434493714616,0.0021717248391187605
2018-04-13,0.003662890790943809,0.003991159014362866
2018-04-16,0.008935032973061325,0.009365796872740528
2018-04-17,-0.0066831026683080025,-0.004259617424197004
2018-04-18,0.008994163768061364,0.009544627259928884
2018-04-19,-0.0023948053887875484,-0.00270020585176467
2018-04-20,0.0023631220207986185,0.0030019898939662726
2018-04-23,-0.006252099742622632,-0.007167745854292806
2018-04-24,0.005174641242017521,0.0020402002691310983
2018-04-25,0.0026472154786273076,0.0036771531142717473
2018-04-26,-0.001332601165913324,-0.002470961023194662
2018-04-27,-5.912763640374348e-05,0.0001519835295802352
2018-05-02,-0.006617351801174468,-0.008193051685596364
2018-05-03,0.0008681828025855157,0.0022712185682634
2018-05-04,-0.000574028101313469,-0.003677958897270739
2018-05-07,0.005691341088307763,0.0032961801311102157
2018-05-08,-0.0003001841439949082,-0.0012953657648260286
2018-05-09,0.0028748259827635105,0.00041510484564100114
2018-05-10,0.0007891525390769502,0.0007445814169311227
2018-05-11,-0.004620345609936639,-0.001832693949448183
2018-05-14,-0.002390194942137095,-0.00435529933631551
2018-05-15,0.005080640267373425,0.005114787924710429
2018-05-16,-0.005464030234909433,-0.004398950535379087
2018-05-17,-0.0032365824361173775,-0.003995276653643298
2018-05-18,-0.0034187478785970924,-0.0031427751918591262
2018-05-21,0.0015141540169689213,0.002922407304553065
2018-05-22,0.0031053112234339674,0.0019440266463121025
2018-05-23,0.0003611439556548881,0.000793595793929458
2018-05-24,-0.003964808700675536,-0.003060636421633234
2018-05-25,-0.0024557362342360334,-0.008784663111453428
2018-05-28,-0.006312582220599323,-0.0074670739360496174
2018-05-29,-0.004089677213838132,-0.0024962664142126334
2018-05-30,-0.005176877445775947,-0.0012124067715451048
2018-05-31,-0.0038922517046671695,-0.004578536843940384
2018-06-01,-0.0038443587624865426,-0.0070010962159524626
2018-06-04,-0.0017213175404422786,-0.005839325217795621
2018-06-05,0.006412498879390622,0.0077205530111810194
2018-06-06,0.000489972421190402,-0.001517875748148545
2018-06-07,-0.0010543902797401864,-0.004190522879186531
2018-06-08,0.0036809837068138666,0.0023925791200297697
2018-06-11,-0.0008354172897743345,-0.006363447120438903
2018-06-12,-0.0006691007995544181,0.00025917984459855603
2018-06-13,-0.0018254044338004774,-0.0034833213329036328
2018-06-14,0.001703727108014856,-0.006710196042285732
2018-06-15,-0.005586993497628406,-0.009594826839445125
2018-06-19,0.006158731560442304,0.009117478650743638
2018-06-20,-0.00021790099779039895,-0.004027018059538756
2018-06-21,-0.004573415508487971,-0.012474579454333057
2018-06-22,0.00030559038893284915,0.002418894252384174
2018-06-25,0.002822323290492431,0.007672966135816028
2018-06-26,0.00526717557920931,0.015531049503385685
2018-06-27,-0.0015890952923628653,-0.0010269102276643238
2018-06-28,-0.0012717786486177302,0.0007831860674825109
2018-06-29,0.006453381971555948,0.011646040750472375
2018-07-02,0.008330526321706966,0.011863342602168814
2018-07-03,0.003960354484624057,0.006397339881556885
2018-07-04,-0.0055415879823767136,-0.009422817039387188
2018-07-05,0.004383826438603532,0.008983606904022445
2018-07-06,0.0015814630142442073,0.004897566834924927
2018-07-09,-0.0007750323281570971,-0.002340291303483344
2018-07-10,-6.417755062876687e-07,-0.002418037877224277
2018-07-11,-0.0011420888115379786,0.0020968309889003445
2018-07-12,0.001729826173112528,0.00655330879129834
2018-07-13,0.0008535518154941177,0.002284210693026978
2018-07-16,0.0005985704920789219,0.0011485234206383144
2018-07-17,0.001310654770245096,0.003116394030397096
2018-07-18,-0.005186758084778419,-0.0034548035617955053
2018-07-19,-0.00340798589808978,-0.006525172917011601
2018-07-20,-0.00037752339633361463,-0.0012119263565222305
2018-07-23,-0.005562719060710397,-0.010643415577223259
2018-07-24,-0.008203053879123817,-0.011558682223306693
2018-07-25,-0.0019787502900507122,-0.00202335070788906
2018-07-26,-0.009106045454949937,-0.012008665612254443
2018-07-27,-0.0024011258903539117,-0.004702454098349018
2018-07-30,-0.007874125148245767,-0.00941022875521047
2018-07-31,-0.002837226556239964,-0.0008832144130751507
2018-08-01,0.0005307550918952613,0.0029229435128960146
2018-08-02,-0.00406690964155574,-0.006159748821817246
2018-08-03,-0.009132158852511243,-0.006040741481644352
2018-08-06,-0.0033380259751537994,-0.007347053950929827
2018-08-07,-0.002970410724199568,-0.0050785772942807395
2018-08-08,-0.004177937000424483,-0.012045270528732499
2018-08-09,0.005421187232332224,0.00784264070246632
2018-08-10,0.0028941445722860323,0.005114778173355594
2018-08-13,0.006473276688627018,0.006667474167683318
2018-08-14,-0.003096630078396948,-0.003584924716530047
2018-08-15,-0.0007093384070045484,0.0022145560769646355
2018-08-16,0.0002923934131505695,0.0002742402772166752
2018-08-17,-0.003812069827668043,-0.004127963582783667
2018-08-20,0.0002387580555115133,0.0020081068052213435
2018-08-21,2.290822246196235e-05,-0.001669394016762471
2018-08-22,-0.0028262124980933823,-0.003974970751466467
2018-08-23,0.006576698535302779,0.009316405899791325
2018-08-24,-0.0012325252824330135,-0.0006400735939880997
2018-08-27,0.002128480554518534,0.0031331721233882615
2018-08-28,-0.003280224980841749,-0.0010288128842764754
2018-08-29,-0.0012155565587523114,-0.0007855746454914492
2018-08-30,-0.003128466170892401,-0.003126944047194269
2018-08-31,-0.004596959433650811,-0.004077624914003097
2018-09-03,-0.0005200725989513919,-0.0032148466926820163
2018-09-04,0.001318251577384513,8.290967004209726e-05
2018-09-05,-0.001508270142778911,0.00089855137987227
2018-09-06,0.0009151987343918606,0.0010456333982299393
2018-09-07,-0.002751709859051178,-0.005456964986292112
2018-09-10,-0.004741671903638299,-0.006620849623792946
2018-09-11,0.0037588438872771853,0.011769363499799512
2018-09-12,-0.0007230556802752106,0.0012604880938141827
2018-09-13,-0.0031184716690948475,-0.003398949476526747
2018-09-14,-0.005946566851976945,-0.005814425627618358
2018-09-17,-0.0008191069928704994,-0.00023960073436535279
2018-09-18,-0.00013175752895903947,-0.004119543647967072
2018-09-19,-3.430086798999685e-05,-0.0014855723455355907
2018-09-20,-0.001853042117100731,-0.00439711407022958
2018-09-21,-0.002567700052499176,-0.003308275125960103
2018-09-25,0.00034815516558937224,0.004534677405548249
2018-09-26,0.00045568418553201557,0.003670846742829692
2018-09-27,-0.005721334863136654,-0.0025019094657694474
2018-09-28,-0.00039679009188565463,-0.0010406322559077807
2018-10-08,-0.009515005199976102,-0.010552477917120329
2018-10-09,-0.00108153672335927,-0.0015933903669023142
2018-10-10,-0.003939808868353435,-0.008207792388418178
2018-10-11,-0.0025533005854265767,-0.002522115399753777
2018-10-12,0.00022633704264549658,-4.979564009777171e-05
2018-10-15,0.005020340476819251,0.005391385010553695
2018-10-16,0.003700662351819612,6.31833724855646e-05
2018-10-17,-0.0018253133271277557,-0.006175965091188118
2018-10-18,-0.006013361429652125,-0.002300291951857547
2018-10-19,-0.002105335747093838,0.00013010800270807366
2018-10-22,0.0007463949347208537,-0.0011020464802851127
2018-10-23,-0.0005944180641615469,-0.00124447555558449
2018-10-24,-0.005347707021918863,-0.005192845664470425
2018-10-25,-0.008334136257275845,-0.00967604245842646
2018-10-26,-0.006330533569471601,-0.009218497065234255
2018-10-29,-5.597713839799491e-05,-0.0016139307141210812
2018-10-30,-0.0015888690599310008,-0.0009627584698983505
2018-10-31,0.0004958620925423918,0.0030425829751410394
2018-11-01,0.005274392948396819,0.006790633299657345
2018-11-02,0.007527344666548592,0.012539665678485967
2018-11-05,-0.004038558990994181,-0.0014794160937594558
2018-11-06,-0.005945886411405196,-0.005810258627245379
2018-11-07,0.006714865278824173,0.008350910830509428
2018-11-08,0.0006092151347689904,-0.001619981762086109
2018-11-09,0.001026101391793504,0.001920650618111086
2018-11-12,0.002588366662088542,0.002939080987158116
2018-11-13,0.0011707921181178908,-0.0007022195399633002
2018-11-14,0.0008123916148869716,-0.0002529920191571833
2018-11-15,0.003287234525623489,0.001773706535175723
2018-11-16,-0.001211223202360806,-0.0013267919430710595
2018-11-19,-0.0061188662852241435,-0.005506901331622016
2018-11-20,0.00293699261851681,0.0012375533664804594
2018-11-21,0.0006099246918100619,0.00041241924078394554
2018-11-22,-0.0005718880719123426,0.0015992761579105563
2018-11-23,-0.0011469360808588694,0.002138136450766215
2018-11-26,-0.0043533435017005665,-0.002145689144103735
2018-11-27,0.0011839905186594385,0.003529159101096857
2018-11-28,0.0010048466625939747,0.003962410553174589
2018-11-29,-0.002406615958275491,-0.0036486284425539806
2018-11-30,-0.0002429970121342719,0.0018526354253942667
2018-12-03,0.00385524019755042,0.006209692152596036
2018-12-04,-0.002698666979057622,-0.0030686428335471305
2018-12-05,0.005452843136014191,0.0027805294044086493
2018-12-06,-0.001509241201812523,-0.003257946921347954
2018-12-07,-0.002903391745914433,-0.002020400810699652
2018-12-10,-0.0013218070368387694,-7.191418486596213e-05
2018-12-11,0.0035261905499478444,0.005929566137391706
2018-12-12,-0.0022872628434005646,-0.001455808419180027
2018-12-13,-0.001622207596196813,-0.0031986953679130625
2018-12-14,-0.003037947378285208,-0.007138200527556426
2018-12-17,-0.0014941300617304968,-0.007344130090086609
2018-12-18,-0.00011286985271882419,0.0010927966427103364
2018-12-19,-0.0011447492527574179,-0.005132051316550368
2018-12-20,-0.0012458874607772404,0.002483335296410427
