pit_policy,formation_date,scope,input_n,size_excluded_n,model_excluded_n,size_n,model_n,m_orthogonality_error,s_orthogonality_error,h_orthogonality_error,max_orthogonality_error,data_exempt_names,data_exempt_share,data_materiality_threshold,q500,q1000,qblend,unverified_first_disclosure_model_rows,unverified_first_disclosure_dependencies_json
legal_deadline,2016-02-29,exposure,2816,38,459,2778,2357,3.515668018690142e-16,6.890125437127769e-16,7.590136781679709e-16,7.590136781679709e-16,0,0.0,0.0025,-0.550912013863517,0.2557886990679888,-0.14756165739776408,0,[]
legal_deadline,2016-03-31,exposure,2832,54,475,2778,2357,8.962254137672453e-16,4.3857128977801716e-16,3.5969152576247115e-16,8.962254137672453e-16,0,0.0,0.0025,-0.5367283811085523,0.2682103882823621,-0.13425899641309508,0,[]
legal_deadline,2016-04-29,exposure,2843,65,430,2778,2413,3.1606998468052364e-16,4.1243422471829965e-16,2.537912713551792e-16,4.1243422471829965e-16,0,0.0,0.0025,-0.5345098799185982,0.2878381969546936,-0.12333584148195231,0,[]
legal_deadline,2016-05-31,exposure,2855,77,438,2778,2417,3.628626049170692e-16,8.791775588301137e-16,3.376622013636444e-16,8.791775588301137e-16,0,0.0,0.0025,-0.5137813811639234,0.28682639610865757,-0.1134774925276329,0,[]
legal_deadline,2016-06-30,exposure,2868,61,451,2807,2417,3.7487954685974897e-16,7.914719296491003e-16,3.7515980020860017e-16,7.914719296491003e-16,0,0.0,0.0025,-0.5858628149761824,0.2447735708149914,-0.1705446220805955,0,[]
legal_deadline,2016-07-29,exposure,2881,73,464,2808,2417,5.675524176484104e-16,9.56816909828406e-16,2.3063457389026053e-16,9.56816909828406e-16,0,0.0,0.0025,-0.6148022027793725,0.2389727492848719,-0.1879147267472503,0,[]
legal_deadline,2016-08-31,exposure,2911,95,457,2816,2454,3.062854581632269e-16,4.587219371548911e-16,5.7643846752344715e-16,5.7643846752344715e-16,0,0.0,0.0025,-0.6301521044310282,0.26030614485128034,-0.18492297978987393,0,[]
legal_deadline,2016-09-30,exposure,2933,102,479,2831,2454,3.776849689035052e-16,5.703377255771044e-16,1.915269011621686e-16,5.703377255771044e-16,0,0.0,0.0025,-0.6244730771037954,0.26936203577971496,-0.17755552066204022,0,[]
legal_deadline,2016-10-31,exposure,2955,111,499,2844,2456,2.6586611192768963e-16,1.0785255058094178e-15,3.0015913057401103e-16,1.0785255058094178e-15,0,0.0,0.0025,-0.5851976960666548,0.2736495115866099,-0.15577409224002248,0,[]
legal_deadline,2016-11-30,exposure,2989,132,533,2857,2456,6.836698104045579e-16,4.208961892780695e-16,4.0688237700032607e-16,6.836698104045579e-16,0,0.0,0.0025,-0.6152844112802183,0.2873645023597434,-0.16395995446023742,0,[]
legal_deadline,2016-12-30,exposure,3034,165,578,2869,2456,2.830432010154271e-16,6.15273191273186e-16,2.5593818558912315e-16,6.15273191273186e-16,0,0.0,0.0025,-0.635386695945834,0.25178079397981407,-0.19180295098300995,0,[]
