date,factor_value
2024-11-21,-0.4415
2024-11-20,-0.3143
2024-11-19,-0.1244
2024-11-18,0.0404
2024-11-15,0.2462
2024-11-14,0.3352
2024-11-13,0.2296
2024-11-12,0.0303
2024-11-11,-0.1426
2024-11-08,-0.2530
2024-11-07,-0.2513
2024-11-06,-0.0820
2024-11-05,0.1398
2024-11-04,0.3622
2024-11-01,0.5328
2024-10-31,0.6439
2024-10-30,0.6345
2024-10-29,0.6376
2024-10-28,0.6345
2024-10-25,0.6114
2024-10-24,0.5633
2024-10-23,0.5103
2024-10-22,0.4351
2024-10-21,0.4153
2024-10-18,0.3888
2024-10-17,0.4039
2024-10-16,0.4824
2024-10-15,0.6107
2024-10-14,0.6907
2024-10-11,0.7708
2024-10-10,0.8314
2024-10-09,0.8027
2024-10-08,0.7111
2024-09-30,0.6398
2024-09-27,0.5520
2024-09-26,0.4798
2024-09-25,0.4833
2024-09-24,0.4955
2024-09-23,0.4849
2024-09-20,0.5223
2024-09-19,0.5657
2024-09-18,0.5165
2024-09-13,0.4719
2024-09-12,0.4045
2024-09-11,0.3397
2024-09-10,0.2323
2024-09-09,0.1835
2024-09-06,0.1415
2024-09-05,0.1658
2024-09-04,0.0851
2024-09-03,-0.0606
2024-09-02,-0.1626
2024-08-30,-0.2405
2024-08-29,-0.3932
2024-08-28,-0.4317
2024-08-27,-0.3561
2024-08-26,-0.3511
2024-08-23,-0.4147
2024-08-22,-0.4148
2024-08-21,-0.4170
2024-08-20,-0.4226
2024-08-19,-0.3610
2024-08-16,-0.2179
2024-08-15,-0.1210
2024-08-14,-0.0482
2024-08-13,0.0626
2024-08-12,0.1675
2024-08-09,0.2177
2024-08-08,0.2846
2024-08-07,0.3899
2024-08-06,0.4503
2024-08-05,0.4584
2024-08-02,0.4618
2024-08-01,0.4624
2024-07-31,0.3732
2024-07-30,0.2368
2024-07-29,0.2020
2024-07-26,0.2138
2024-07-25,0.1944
2024-07-24,0.1720
2024-07-23,0.1548
2024-07-22,0.0283
2024-07-19,-0.1704
2024-07-18,-0.2833
2024-07-17,-0.3555
2024-07-16,-0.4178
2024-07-15,-0.4661
2024-07-12,-0.4398
2024-07-11,-0.4838
2024-07-10,-0.5527
2024-07-09,-0.5863
2024-07-08,-0.6028
2024-07-05,-0.6219
2024-07-04,-0.5944
2024-07-03,-0.4851
2024-07-02,-0.3096
2024-07-01,-0.1643
2024-06-28,-0.0017
2024-06-27,0.1212
2024-06-26,0.1951
2024-06-25,0.2326
2024-06-24,0.3080
2024-06-21,0.3694
2024-06-20,0.4102
2024-06-19,0.4533
2024-06-18,0.4302
2024-06-17,0.4206
2024-06-14,0.3035
2024-06-13,0.2130
2024-06-12,0.1622
2024-06-11,0.0994
2024-06-07,0.0239
2024-06-06,0.0342
2024-06-05,0.0258
2024-06-04,0.0064
2024-06-03,0.0417
2024-05-31,0.0584
2024-05-30,0.0779
2024-05-29,0.1561
2024-05-28,0.2245
2024-05-27,0.2181
2024-05-24,0.2302
2024-05-23,0.2248
2024-05-22,0.1493
2024-05-21,0.0440
2024-05-20,-0.0073
2024-05-17,-0.0814
2024-05-16,-0.1493
2024-05-15,-0.1336
2024-05-14,-0.1481
2024-05-13,-0.1639
2024-05-10,-0.1714
2024-05-09,-0.1763
2024-05-08,-0.2162
2024-05-07,-0.2339
2024-05-06,-0.2927
2024-04-30,-0.3362
2024-04-29,-0.3945
2024-04-26,-0.4789
2024-04-25,-0.5604
2024-04-24,-0.5881
2024-04-23,-0.6128
2024-04-22,-0.6114
2024-04-19,-0.5762
2024-04-18,-0.5265
2024-04-17,-0.4785
2024-04-16,-0.4023
2024-04-15,-0.2794
2024-04-12,-0.1863
2024-04-11,-0.0949
2024-04-10,0.0032
2024-04-09,0.0648
2024-04-08,0.0665
2024-04-03,0.0906
2024-04-02,0.1316
2024-04-01,0.1622
2024-03-29,0.2101
2024-03-28,0.2865
2024-03-27,0.3644
2024-03-26,0.4389
2024-03-25,0.5161
2024-03-22,0.5757
2024-03-21,0.5992
2024-03-20,0.6242
2024-03-19,0.6540
2024-03-18,0.6954
2024-03-15,0.7383
2024-03-14,0.7690
2024-03-13,0.7933
2024-03-12,0.8106
2024-03-11,0.8029
2024-03-08,0.7821
2024-03-07,0.7482
2024-03-06,0.6783
2024-03-05,0.5168
2024-03-04,0.3955
2024-03-01,0.2494
2024-02-29,0.1064
2024-02-28,0.0104
2024-02-27,-0.0421
2024-02-26,-0.1373
2024-02-23,-0.2023
2024-02-22,-0.2452
2024-02-21,-0.3144
2024-02-20,-0.3607
2024-02-19,-0.4447
2024-02-08,-0.5291
2024-02-07,-0.6034
2024-02-06,-0.6982
2024-02-05,-0.7864
2024-02-02,-0.8382
2024-02-01,-0.8785
2024-01-31,-0.8783
2024-01-30,-0.8441
2024-01-29,-0.7662
2024-01-26,-0.6748
2024-01-25,-0.5610
2024-01-24,-0.4339
2024-01-23,-0.3916
2024-01-22,-0.3161
2024-01-19,-0.2763
2024-01-18,-0.2317
2024-01-17,-0.2343
2024-01-16,-0.2138
2024-01-15,-0.2923
2024-01-12,-0.3399
2024-01-11,-0.3937
2024-01-10,-0.4447
2024-01-09,-0.3995
2024-01-08,-0.3042
2024-01-05,-0.1823
2024-01-04,-0.0976
2024-01-03,-0.0895
2024-01-02,-0.1124
2023-12-29,-0.1327
2023-12-28,-0.1895
2023-12-27,-0.2689
2023-12-26,-0.3037
2023-12-25,-0.3678
2023-12-22,-0.4769
2023-12-21,-0.5675
2023-12-20,-0.6193
2023-12-19,-0.6620
2023-12-18,-0.6767
2023-12-15,-0.6514
2023-12-14,-0.6334
2023-12-13,-0.6357
2023-12-12,-0.6124
2023-12-11,-0.6106
2023-12-08,-0.6156
2023-12-07,-0.5695
2023-12-06,-0.4362
2023-12-05,-0.3370
2023-12-04,-0.2446
2023-12-01,-0.1914
2023-11-30,-0.1263
2023-11-29,-0.0414
2023-11-28,0.0571
2023-11-27,0.1938
2023-11-24,0.3849
2023-11-23,0.5104
2023-11-22,0.5367
2023-11-21,0.6027
2023-11-20,0.6462
2023-11-17,0.6663
2023-11-16,0.6623
2023-11-15,0.6636
2023-11-14,0.6321
2023-11-13,0.6169
2023-11-10,0.6108
2023-11-09,0.6080
2023-11-08,0.5595
2023-11-07,0.5871
2023-11-06,0.6088
2023-11-03,0.6372
2023-11-02,0.6763
2023-11-01,0.7045
2023-10-31,0.6453
2023-10-30,0.5497
2023-10-27,0.4418
2023-10-26,0.3810
2023-10-25,0.3261
2023-10-24,0.2240
2023-10-23,0.1699
2023-10-20,0.1218
2023-10-19,0.1052
2023-10-18,0.1192
2023-10-17,0.1961
2023-10-16,0.2492
2023-10-13,0.2544
2023-10-12,0.1464
2023-10-11,0.0700
2023-10-10,0.0025
2023-10-09,0.0599
2023-09-28,0.1047
2023-09-27,0.1092
2023-09-26,0.2013
2023-09-25,0.2611
2023-09-22,0.2029
2023-09-21,0.1576
2023-09-20,0.1645
2023-09-19,0.1725
2023-09-18,0.2019
2023-09-15,0.1613
2023-09-14,0.1212
2023-09-13,0.1168
2023-09-12,0.0612
2023-09-11,0.0016
2023-09-08,-0.0194
2023-09-07,0.0097
2023-09-06,0.0628
2023-09-05,0.0630
2023-09-04,0.0414
2023-09-01,-0.0174
2023-08-31,-0.0679
2023-08-30,-0.1455
2023-08-29,-0.2613
2023-08-28,-0.3304
2023-08-25,-0.3280
2023-08-24,-0.3632
2023-08-23,-0.3909
2023-08-22,-0.3914
2023-08-21,-0.4276
2023-08-18,-0.4428
2023-08-17,-0.4351
2023-08-16,-0.4540
2023-08-15,-0.4506
2023-08-14,-0.4382
2023-08-11,-0.4461
2023-08-10,-0.4402
2023-08-09,-0.4436
2023-08-08,-0.4636
2023-08-07,-0.4970
2023-08-04,-0.5296
2023-08-03,-0.5988
2023-08-02,-0.6023
2023-08-01,-0.5825
2023-07-31,-0.5534
2023-07-28,-0.5512
2023-07-27,-0.5043
2023-07-26,-0.5158
2023-07-25,-0.5216
2023-07-24,-0.4720
2023-07-21,-0.3786
2023-07-20,-0.2388
2023-07-19,-0.0471
2023-07-18,0.1388
2023-07-17,0.3045
2023-07-14,0.4502
2023-07-13,0.4899
2023-07-12,0.5012
2023-07-11,0.4960
2023-07-10,0.4543
2023-07-07,0.4020
2023-07-06,0.3998
2023-07-05,0.3835
2023-07-04,0.3736
2023-07-03,0.3630
2023-06-30,0.3629
2023-06-29,0.3375
2023-06-28,0.3652
2023-06-27,0.3904
2023-06-26,0.4241
2023-06-21,0.4608
2023-06-20,0.4591
2023-06-19,0.4192
2023-06-16,0.3800
2023-06-15,0.3509
2023-06-14,0.2982
2023-06-13,0.3136
2023-06-12,0.3740
2023-06-09,0.4483
2023-06-08,0.5166
2023-06-07,0.5889
2023-06-06,0.5816
2023-06-05,0.5137
2023-06-02,0.4284
2023-06-01,0.3893
2023-05-31,0.3484
2023-05-30,0.3356
2023-05-29,0.3037
2023-05-26,0.2440
2023-05-25,0.1279
2023-05-24,-0.0082
2023-05-23,-0.1255
2023-05-22,-0.2004
2023-05-19,-0.2654
2023-05-18,-0.3644
2023-05-17,-0.4378
2023-05-16,-0.5166
2023-05-15,-0.6255
2023-05-12,-0.7053
2023-05-11,-0.7488
2023-05-10,-0.7758
2023-05-09,-0.7634
