ts_code,list_date,first_eff
300458.SZ,2015-05-15,2025-04-01
300471.SZ,2015-06-11,2025-04-01
300473.SZ,2015-06-12,2025-04-01
300476.SZ,2015-06-11,2025-04-01
300483.SZ,2015-06-30,2025-04-01
300486.SZ,2015-06-30,2025-04-01
300488.SZ,2015-07-01,2025-04-01
300492.SZ,2015-12-23,2025-04-01
300501.SZ,2016-02-04,2025-04-01
300502.SZ,2016-03-03,2025-04-01
300506.SZ,2016-03-24,2025-04-01
300511.SZ,2016-05-04,2025-04-01
300516.SZ,2016-06-02,2025-04-01
300532.SZ,2016-08-18,2025-04-01
300539.SZ,2016-08-30,2025-04-01
300540.SZ,2016-08-23,2025-04-01
300553.SZ,2016-10-21,2025-04-01
300557.SZ,2016-11-01,2025-04-01
300573.SZ,2016-12-08,2025-04-01
300576.SZ,2016-12-20,2025-04-01
300587.SZ,2017-01-05,2025-04-01
300619.SZ,2017-03-01,2025-04-01
300622.SZ,2017-03-15,2025-04-01
300627.SZ,2017-03-21,2025-04-01
300638.SZ,2017-04-13,2025-04-01
300648.SZ,2017-04-25,2025-04-01
300650.SZ,2017-05-03,2025-04-01
300651.SZ,2017-05-09,2025-04-01
300652.SZ,2017-05-16,2025-04-01
300660.SZ,2017-06-02,2025-04-01
300661.SZ,2017-06-06,2025-04-01
300665.SZ,2017-06-13,2025-04-01
300681.SZ,2017-07-25,2025-04-01
300692.SZ,2017-08-21,2025-04-01
300695.SZ,2017-09-08,2025-04-01
300697.SZ,2017-09-07,2025-04-01
300708.SZ,2017-10-16,2025-04-01
300711.SZ,2017-11-01,2025-04-01
300725.SZ,2017-11-10,2025-04-01
300727.SZ,2017-11-27,2025-04-01
300732.SZ,2017-12-12,2025-04-01
300739.SZ,2018-02-01,2025-04-01
300757.SZ,2019-01-08,2025-04-01
300779.SZ,2019-05-22,2025-04-01
300781.SZ,2019-06-06,2025-04-01
300782.SZ,2019-06-18,2025-04-01
300787.SZ,2019-08-15,2025-04-01
300791.SZ,2019-09-25,2025-04-01
300795.SZ,2019-10-22,2025-04-01
300826.SZ,2020-04-03,2025-04-01
300827.SZ,2020-04-10,2025-04-01
300829.SZ,2020-04-22,2025-04-01
300836.SZ,2020-05-28,2025-04-01
300839.SZ,2020-06-30,2025-04-01
300844.SZ,2021-08-13,2025-04-01
300845.SZ,2020-07-03,2025-04-01
300850.SZ,2020-07-13,2025-04-01
300852.SZ,2020-07-13,2025-04-01
300856.SZ,2020-07-22,2025-04-01
300857.SZ,2020-07-27,2025-04-01
300861.SZ,2020-08-24,2025-04-01
300863.SZ,2020-08-24,2025-04-01
300871.SZ,2020-08-24,2025-04-01
300872.SZ,2020-08-24,2025-04-01
300876.SZ,2020-08-24,2025-04-01
300889.SZ,2020-09-16,2025-04-01
300893.SZ,2020-09-24,2025-04-01
300897.SZ,2020-09-28,2025-04-01
300900.SZ,2020-10-29,2025-04-01
300911.SZ,2020-12-03,2025-04-01
300913.SZ,2020-12-07,2025-04-01
300915.SZ,2020-12-02,2025-04-01
300918.SZ,2020-12-22,2025-04-01
300919.SZ,2020-12-23,2025-04-01
300921.SZ,2020-12-22,2025-04-01
300932.SZ,2021-01-22,2025-04-01
300933.SZ,2021-01-22,2025-04-01
300938.SZ,2021-01-27,2025-04-01
300946.SZ,2021-02-08,2025-04-01
300948.SZ,2021-02-25,2025-04-01
300952.SZ,2021-03-11,2025-04-01
300953.SZ,2021-03-18,2025-04-01
300956.SZ,2021-03-26,2025-04-01
300960.SZ,2021-03-29,2025-04-01
300963.SZ,2021-04-09,2025-04-01
300969.SZ,2021-04-12,2025-04-01
300971.SZ,2021-04-15,2025-04-01
300972.SZ,2021-04-19,2025-04-01
300976.SZ,2021-04-19,2025-04-01
300981.SZ,2021-04-27,2025-04-01
300984.SZ,2021-06-18,2025-04-01
300986.SZ,2021-04-30,2025-04-01
300996.SZ,2021-06-03,2025-04-01
301002.SZ,2021-06-07,2025-04-01
301004.SZ,2021-06-25,2025-04-01
301008.SZ,2021-06-11,2025-04-01
301012.SZ,2021-06-22,2025-04-01
301016.SZ,2021-06-30,2025-04-01
301022.SZ,2021-07-02,2025-04-01
301023.SZ,2021-07-07,2025-04-01
301026.SZ,2021-07-16,2025-04-01
301031.SZ,2021-07-15,2025-04-01
301038.SZ,2021-08-04,2025-04-01
301046.SZ,2021-08-17,2025-04-01
301051.SZ,2021-08-27,2025-04-01
301053.SZ,2021-09-01,2025-04-01
301061.SZ,2021-09-13,2025-04-01
301066.SZ,2021-09-22,2025-04-01
301068.SZ,2021-09-28,2025-04-01
301069.SZ,2021-09-27,2025-04-01
301070.SZ,2021-09-23,2025-04-01
301076.SZ,2021-10-11,2025-04-01
301077.SZ,2021-09-30,2025-04-01
301080.SZ,2021-10-18,2025-04-01
301081.SZ,2021-10-20,2025-04-01
301082.SZ,2021-10-27,2025-04-01
301087.SZ,2021-10-25,2025-04-01
301091.SZ,2021-10-29,2025-04-01
301093.SZ,2021-11-01,2025-04-01
301099.SZ,2021-11-22,2025-04-01
301107.SZ,2022-05-24,2025-04-01
301108.SZ,2021-12-03,2025-04-01
301109.SZ,2022-04-13,2025-04-01
301113.SZ,2021-12-22,2025-04-01
301117.SZ,2022-01-17,2025-04-01
301121.SZ,2022-08-08,2025-04-01
301128.SZ,2021-11-10,2025-04-01
301131.SZ,2022-03-14,2025-04-01
301133.SZ,2021-11-26,2025-04-01
301150.SZ,2022-04-21,2025-04-01
301160.SZ,2022-06-06,2025-04-01
301162.SZ,2022-04-29,2025-04-01
301165.SZ,2022-11-21,2025-04-01
301171.SZ,2022-08-19,2025-04-01
301172.SZ,2023-07-26,2025-04-01
301179.SZ,2021-12-08,2025-04-01
301187.SZ,2022-04-22,2025-04-01
301188.SZ,2021-11-11,2025-04-01
301193.SZ,2021-12-09,2025-04-01
301199.SZ,2021-12-07,2025-04-01
301200.SZ,2022-02-28,2025-04-01
301209.SZ,2022-08-25,2025-04-01
301210.SZ,2023-06-30,2025-04-01
301211.SZ,2021-12-22,2025-04-01
301216.SZ,2022-03-29,2025-04-01
301220.SZ,2022-06-22,2025-04-01
301229.SZ,2022-02-22,2025-04-01
301236.SZ,2022-03-15,2025-04-01
301252.SZ,2023-05-25,2025-04-01
301255.SZ,2022-12-27,2025-04-01
301276.SZ,2022-09-09,2025-04-01
301277.SZ,2022-11-16,2025-04-01
301278.SZ,2022-08-04,2025-04-01
301279.SZ,2022-04-13,2025-04-01
301280.SZ,2022-12-26,2025-04-01
301282.SZ,2022-08-26,2025-04-01
301297.SZ,2022-12-30,2025-04-01
301312.SZ,2022-07-11,2025-04-01
301319.SZ,2022-09-29,2025-04-01
301327.SZ,2022-09-19,2025-04-01
301330.SZ,2022-08-17,2025-04-01
301339.SZ,2022-09-09,2025-04-01
301348.SZ,2023-08-10,2025-04-01
301349.SZ,2022-09-09,2025-04-01
301353.SZ,2023-05-30,2025-04-01
301358.SZ,2023-02-09,2025-04-01
301359.SZ,2022-11-09,2025-04-01
301363.SZ,2022-10-12,2025-04-01
301366.SZ,2022-09-26,2025-04-01
301371.SZ,2023-08-01,2025-04-01
301379.SZ,2022-11-01,2025-04-01
301380.SZ,2022-10-25,2025-04-01
301382.SZ,2023-05-17,2025-04-01
301395.SZ,2023-07-03,2025-04-01
301396.SZ,2022-11-11,2025-04-01
301397.SZ,2023-06-28,2025-04-01
301398.SZ,2022-12-15,2025-04-01
301399.SZ,2023-05-23,2025-04-01
301419.SZ,2023-02-09,2025-04-01
301459.SZ,2023-12-13,2025-04-01
301489.SZ,2023-10-24,2025-04-01
301500.SZ,2023-09-21,2025-04-01
301505.SZ,2023-07-19,2025-04-01
301517.SZ,2023-10-17,2025-04-01
301550.SZ,2023-09-15,2025-04-01
301578.SZ,2023-12-28,2025-04-01
600000.SH,1999-11-10,2025-04-01
600004.SH,2003-04-28,2025-04-01
600026.SH,2002-05-23,2025-04-01
600027.SH,2005-02-03,2025-04-01
600031.SH,2003-07-03,2025-04-01
600097.SH,1997-06-19,2025-04-01
600141.SH,1999-06-16,2025-04-01
600150.SH,1998-05-20,2025-04-01
600165.SH,1998-05-29,2025-04-01
600179.SH,1998-11-04,2025-04-01
600184.SH,2003-11-06,2025-04-01
600217.SH,1999-12-16,2025-04-01
600233.SH,2000-06-08,2025-04-01
600252.SH,2000-11-30,2025-04-01
600272.SH,2001-02-28,2025-04-01
600273.SH,2003-06-27,2025-04-01
600292.SH,2000-11-01,2025-04-01
600299.SH,2000-04-20,2025-04-01
600313.SH,2001-01-19,2025-04-01
600331.SH,2001-12-20,2025-04-01
600356.SH,2001-04-19,2025-04-01
600361.SH,2001-11-29,2025-04-01
600365.SH,2001-01-15,2025-04-01
600398.SH,2000-12-28,2025-04-01
600416.SH,2002-07-18,2025-04-01
600458.SH,2002-12-19,2025-04-01
600459.SH,2003-05-16,2025-04-01
600469.SH,2003-10-21,2025-04-01
600479.SH,2004-03-12,2025-04-01
600480.SH,2003-08-15,2025-04-01
600481.SH,2003-04-22,2025-04-01
600483.SH,2004-05-31,2025-04-01
600498.SH,2001-08-23,2025-04-01
600506.SH,2001-12-26,2025-04-01
600531.SH,2002-07-30,2025-04-01
600536.SH,2002-05-17,2025-04-01
600566.SH,2001-08-22,2025-04-01
600567.SH,2001-12-18,2025-04-01
600575.SH,2003-03-28,2025-04-01
600580.SH,2002-06-06,2025-04-01
600603.SH,1992-01-13,2025-04-01
600615.SH,1992-09-10,2025-04-01
600629.SH,1993-02-09,2025-04-01
600648.SH,1993-05-04,2025-04-01
600666.SH,1993-07-12,2025-04-01
600668.SH,1993-07-28,2025-04-01
600681.SH,1993-10-18,2025-04-01
600684.SH,1993-10-28,2025-04-01
