ts_code,formation_date,required_formation,list_date,delist_date,raw_close,close_source,selected_share_effective_date,selected_share_known_date,selected_total_shares,reason_code
002019.SZ,2013-07-31,False,2004-07-13,,10.5,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002027.SZ,2013-07-31,False,2004-08-04,,3.84,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002127.SZ,2013-07-31,False,2007-04-18,,3.97,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002270.SZ,2013-07-31,False,2008-09-05,,6.04,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002323.SZ,2013-07-31,False,2009-12-18,,11.74,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002343.SZ,2013-07-31,False,2010-01-26,,6.86,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002366.SZ,2013-07-31,False,2010-03-12,,7.78,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002468.SZ,2013-07-31,False,2010-09-08,,6.88,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002517.SZ,2013-07-31,False,2010-12-07,,12.6,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002558.SZ,2013-07-31,False,2011-03-02,,23.15,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002581.SZ,2013-07-31,False,2011-05-20,,10.38,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002600.SZ,2013-07-31,False,2011-07-15,,9.95,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002607.SZ,2013-07-31,False,2011-08-10,,6.14,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002694.SZ,2013-07-31,False,2012-08-16,,12.37,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600097.SH,2013-07-31,False,1997-06-19,,10.28,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600179.SH,2013-07-31,False,1998-11-04,,4.89,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600217.SH,2013-07-31,False,1999-12-16,,4.22,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600233.SH,2013-07-31,False,2000-06-08,,8.9,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600398.SH,2013-07-31,False,2000-12-28,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
600483.SH,2013-07-31,False,2004-05-31,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
600566.SH,2013-07-31,False,2001-08-22,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
600567.SH,2013-07-31,False,2001-12-18,,2.04,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600603.SH,2013-07-31,False,1992-01-13,,5.06,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600629.SH,2013-07-31,False,1993-02-09,,6.57,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600666.SH,2013-07-31,False,1993-07-12,,6.27,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
