开始日期,2014-01-01,,,,,
截止日期,2021-01-08,,,,,
证券代码,000300.SH,,,,,
证券简称,沪深300,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,"成交额
[单位]元"
Date,open,high,low,close,volume,amt
2014-10-08,2460.8700,2478.3830,2445.2680,2478.3830,12195360400.0000,116500107810.0000
2014-10-09,2480.1970,2488.1130,2461.1120,2481.9550,13792392000.0000,120752628433.0000
2014-10-10,2472.0960,2482.1360,2457.6840,2466.7890,14763430700.0000,121924973049.0000
2014-10-13,2457.4120,2460.3890,2430.5460,2454.9460,13159336200.0000,112784478808.0000
2014-10-14,2451.0940,2467.9040,2436.3360,2446.5620,12739370500.0000,106356643094.0000
2014-10-15,2444.5380,2465.4980,2431.1880,2463.8740,13580188200.0000,114837290107.0000
2014-10-16,2448.9680,2480.3000,2441.8220,2444.3950,15816660300.0000,128340525473.0000
2014-10-17,2443.2220,2456.1050,2410.4010,2441.7320,13275998800.0000,112685625525.0000
2014-10-20,2448.4530,2456.6210,2441.8960,2454.7110,9143540100.0000,84843604900.0000
2014-10-21,2453.4060,2459.2550,2432.5520,2433.3910,9624191200.0000,86622201933.0000
2014-10-22,2434.8860,2447.4670,2417.5620,2418.6410,8865619300.0000,82251744245.0000
2014-10-23,2415.4400,2424.6620,2392.5320,2395.9360,10349183900.0000,86045452830.0000
2014-10-24,2397.8480,2404.9930,2385.7250,2390.7060,7497486900.0000,65601225156.0000
2014-10-27,2377.5420,2377.5420,2361.6800,2368.8320,7386244700.0000,65956480803.0000
2014-10-28,2373.1550,2416.7660,2373.1550,2416.6530,10152305500.0000,90529903107.0000
2014-10-29,2423.8130,2461.2680,2415.7030,2451.3840,15858406200.0000,134541723619.0000
2014-10-30,2450.3610,2474.3760,2443.7590,2468.9250,18962635300.0000,139157358014.0000
2014-10-31,2473.5010,2512.1890,2466.5040,2508.3250,23917241200.0000,181604617039.0000
2014-11-03,2515.8240,2524.1720,2502.0600,2512.5480,20580122800.0000,151406835108.0000
2014-11-04,2511.0360,2517.4600,2498.6050,2513.1720,21824700500.0000,155291882550.0000
2014-11-05,2516.8700,2519.3990,2499.2280,2503.4480,19049186200.0000,146130895120.0000
2014-11-06,2505.1670,2510.9850,2482.9830,2506.0670,14965111700.0000,118839203631.0000
2014-11-07,2508.7650,2541.5490,2489.4190,2502.1530,20876091100.0000,176868665325.0000
2014-11-10,2529.8300,2565.7300,2514.7100,2565.7300,22659973500.0000,187612569248.0000
2014-11-11,2578.4380,2602.3730,2532.5720,2558.6120,32371165600.0000,265840509803.0000
2014-11-12,2545.4030,2594.3180,2539.6010,2594.3180,18468626100.0000,157847382809.0000
2014-11-13,2597.3890,2607.5190,2567.4630,2579.7500,21981561500.0000,192985452900.0000
2014-11-14,2569.2110,2581.9320,2557.6660,2581.0930,16504996500.0000,145409933865.0000
2014-11-17,2613.5130,2614.0860,2565.9430,2567.1010,15847809500.0000,147724645089.0000
2014-11-18,2565.2730,2570.2110,2534.9270,2541.4160,14294135600.0000,124246649435.0000
2014-11-19,2538.2330,2550.5000,2531.3180,2537.2230,12214697400.0000,113031721938.0000
2014-11-20,2528.7800,2545.4730,2522.8360,2537.0990,10614986400.0000,98145538650.0000
2014-11-21,2537.5380,2585.3620,2530.0320,2583.4550,15102813900.0000,143750813260.0000
2014-11-24,2614.1600,2667.6710,2602.9440,2649.2580,27983972000.0000,264974912281.0000
2014-11-25,2650.0850,2686.0630,2643.8430,2685.5610,22261169900.0000,206879208489.0000
2014-11-26,2695.2630,2723.3600,2690.3100,2723.0180,24396248500.0000,239333899163.0000
2014-11-27,2737.0300,2754.4900,2718.7040,2754.4900,26546473000.0000,261164877169.0000
2014-11-28,2753.9250,2809.5430,2740.3740,2808.8190,37532366200.0000,330256023242.0000
2014-12-01,2825.6110,2855.3320,2808.6530,2819.8120,36548741700.0000,338833084229.0000
2014-12-02,2807.3380,2944.5060,2804.2930,2923.9400,36146532200.0000,341185189116.0000
2014-12-03,2936.1240,3028.2250,2912.2460,2967.5490,46615668500.0000,464857500377.0000
2014-12-04,2975.4030,3104.8900,2968.8760,3104.3510,42681292800.0000,433875560243.0000
2014-12-05,3143.9680,3195.7980,3011.9360,3124.8850,52488126000.0000,554362904944.0000
2014-12-08,3108.2720,3270.8810,3075.7000,3252.8810,48446234400.0000,515773683037.0000
2014-12-09,3233.0970,3387.8270,3074.5160,3106.9130,63287456700.0000,702150099247.0000
2014-12-10,3120.2120,3229.0470,3058.1910,3221.5460,42501870800.0000,477300103105.0000
2014-12-11,3185.1610,3254.4240,3158.4430,3183.0120,36709169100.0000,392944833604.0000
2014-12-12,3182.9230,3239.4470,3167.9280,3193.2270,30106532500.0000,337817436996.0000
2014-12-15,3176.8290,3226.2210,3143.2970,3217.2280,29019383400.0000,326668040798.0000
2014-12-16,3221.3580,3303.4020,3207.6880,3303.4020,35812384700.0000,425665729151.0000
2014-12-17,3325.8200,3368.1940,3275.7360,3360.5980,44814077000.0000,527748937956.0000
2014-12-18,3359.0900,3393.7110,3322.2290,3345.9270,35597020700.0000,416260448852.0000
2014-12-19,3345.6290,3397.1830,3280.9160,3383.1670,41121159000.0000,435516864940.0000
2014-12-22,3396.2510,3455.2070,3357.6610,3394.4810,54980167100.0000,537021101759.0000
2014-12-23,3358.7980,3431.7790,3316.9130,3324.9240,36973609300.0000,377227774057.0000
2014-12-24,3332.1460,3340.3570,3188.4950,3230.3850,31744958700.0000,339475799573.0000
2014-12-25,3254.4800,3335.7790,3226.3220,3335.4190,30979954700.0000,330128939928.0000
2014-12-26,3343.6400,3453.3380,3335.0120,3445.8390,38461412400.0000,438838427110.0000
2014-12-29,3502.1830,3524.2800,3405.8360,3455.4550,42501503700.0000,505004508391.0000
2014-12-30,3450.8140,3491.8260,3422.1740,3457.5540,32823387300.0000,394607772399.0000
2014-12-31,3462.3890,3542.3400,3452.4980,3533.7050,34593476000.0000,403710888146.0000
2015-01-05,3566.0890,3669.0420,3551.5100,3641.5410,45119809800.0000,519849817448.0000
2015-01-06,3608.4280,3683.2260,3587.2310,3641.0590,42096218500.0000,498529588258.0000
2015-01-07,3620.9240,3671.1900,3601.6980,3643.7900,32019123200.0000,398731720502.0000
2015-01-08,3650.0730,3659.9450,3552.1000,3559.2590,29500304500.0000,355831967325.0000
2015-01-09,3547.5740,3689.7530,3536.3950,3546.7230,34998267200.0000,430210592272.0000
2015-01-12,3531.5150,3560.5270,3461.3220,3513.5760,26656717500.0000,334257133083.0000
2015-01-13,3506.4510,3550.1580,3494.7680,3514.0400,18715396500.0000,250796676069.0000
2015-01-14,3522.9070,3547.2420,3471.5600,3502.4230,19601251000.0000,241285837533.0000
2015-01-15,3501.7190,3604.1210,3482.2700,3604.1210,23781233800.0000,303445351108.0000
2015-01-16,3616.2480,3662.1580,3601.2580,3635.1460,28268161400.0000,355568710742.0000
2015-01-19,3414.0130,3497.2520,3330.9810,3355.1550,32950527500.0000,366017532103.0000
2015-01-20,3336.7930,3419.2040,3325.6810,3396.2220,29784323200.0000,381917903845.0000
2015-01-21,3420.4910,3557.7940,3409.4300,3548.8850,33792821000.0000,425433704264.0000
2015-01-22,3551.0520,3576.7560,3520.0530,3567.6130,26885359900.0000,345026040998.0000
2015-01-23,3582.0880,3627.8060,3548.6260,3571.7320,28017217200.0000,361835546416.0000
2015-01-26,3580.1180,3611.6170,3559.3760,3607.9850,23976620300.0000,309585710088.0000
2015-01-27,3614.0380,3616.2580,3510.0170,3574.9310,28766917900.0000,357548249621.0000
2015-01-28,3547.2390,3583.3120,3512.3930,3525.3230,21622021400.0000,278749164896.0000
2015-01-29,3474.9150,3505.5820,3453.9010,3481.7980,21161886000.0000,251897926442.0000
2015-01-30,3496.8850,3514.2170,3431.9360,3434.3900,19647915700.0000,237420793858.0000
2015-02-02,3360.1930,3407.2560,3347.0850,3353.9600,19518369900.0000,224837769887.0000
2015-02-03,3388.6020,3441.7090,3360.7170,3437.4450,19284609600.0000,241100023193.0000
2015-02-04,3446.1440,3476.8170,3399.5650,3401.7680,19130434900.0000,244034297155.0000
2015-02-05,3487.9510,3487.9510,3366.8620,3366.9460,25043060900.0000,311523669172.0000
2015-02-06,3352.3300,3374.0510,3285.9350,3312.4200,19266418600.0000,221433183351.0000
2015-02-09,3305.7340,3376.5260,3298.5970,3345.9210,17235382000.0000,220766525021.0000
2015-02-10,3345.0770,3407.1800,3339.5480,3406.9430,15930908800.0000,199120680699.0000
2015-02-11,3415.9770,3445.6550,3412.1360,3434.1240,14461377200.0000,185979219656.0000
2015-02-12,3435.3610,3453.5820,3405.6270,3442.8740,15608169100.0000,191285873488.0000
2015-02-13,3458.8270,3509.5050,3452.0790,3469.8280,20108997100.0000,247076153339.0000
2015-02-16,3473.2890,3504.4750,3466.6070,3499.4830,16564134300.0000,222799721247.0000
2015-02-17,3511.5440,3536.8200,3511.0930,3522.3220,16532831300.0000,214457267905.0000
2015-02-25,3529.5500,3529.5500,3463.9550,3478.7290,16553935100.0000,211739059322.0000
2015-02-26,3473.7130,3569.3300,3456.8710,3566.2950,22932843800.0000,279809075234.0000
2015-02-27,3565.2330,3594.8130,3560.4550,3572.8430,22278643800.0000,271861944608.0000
2015-03-02,3603.4520,3608.6910,3566.5270,3601.2650,24817612500.0000,325164897145.0000
2015-03-03,3579.3150,3579.3150,3504.2010,3507.9000,26186648900.0000,335700118167.0000
2015-03-04,3514.6670,3540.9120,3497.1720,3530.8220,19966398100.0000,257468790961.0000
2015-03-05,3513.2490,3517.0830,3467.6760,3496.3440,21750880500.0000,279030592350.0000
2015-03-06,3501.1840,3516.2430,3472.3920,3478.5200,18151805400.0000,233468244766.0000
2015-03-09,3449.6960,3546.7050,3417.4860,3537.7500,23394041100.0000,277860471571.0000
2015-03-10,3523.6400,3551.2050,3511.9850,3520.6110,19426765700.0000,245366625918.0000
2015-03-11,3524.5750,3568.9160,3512.2180,3524.6530,18894782500.0000,235772755479.0000
2015-03-12,3557.6860,3603.3410,3536.5340,3592.8440,26566462500.0000,322141249344.0000
2015-03-13,3604.6710,3641.3920,3594.7420,3617.6570,24686476800.0000,297298516465.0000
