开始日期,2010-01-01,,,,
截止日期,当前日期,,,,
收盘价,close,,,,
日期,稳定(风格.中信),成长(风格.中信),金融(风格.中信),周期(风格.中信),消费(风格.中信)
Date,CI005921.WI,CI005920.WI,CI005917.WI,CI005918.WI,CI005919.WI
2010-06-25,1661.463,2716.7308,3531.9536,2664.6848,3889.4911
2010-06-28,1653.0438,2661.5411,3521.4407,2630.4077,3837.8506
2010-06-29,1590.4695,2509.1779,3354.9668,2492.261,3656.2037
2010-06-30,1579.6778,2476.6561,3316.9201,2438.7938,3635.7917
2010-07-01,1566.8754,2434.082,3295.854,2398.4707,3566.4965
2010-07-02,1581.4944,2395.6152,3346.1908,2388.7434,3525.6536
2010-07-05,1574.8364,2364.5601,3326.7333,2367.618,3511.4077
2010-07-06,1599.7134,2438.0282,3382.6745,2427.757,3601.235
2010-07-07,1605.6186,2473.6041,3391.0167,2455.9696,3657.0108
2010-07-08,1597.1715,2457.8602,3393.3267,2448.1155,3650.4739
2010-07-09,1629.9425,2529.3246,3468.452,2530.3,3753.6734
2010-07-12,1642.5555,2553.3959,3523.5301,2559.4616,3772.6566
2010-07-13,1619.8842,2518.2175,3462.3538,2520.7347,3723.8497
2010-07-14,1634.7401,2540.195,3485.4991,2543.7082,3744.0836
2010-07-15,1606.3138,2477.3961,3430.4054,2485.4757,3686.7726
2010-07-16,1608.9631,2481.9493,3435.9853,2500.8431,3709.0744
2010-07-19,1635.8539,2541.5029,3515.2651,2572.8398,3786.2853
2010-07-20,1670.5299,2626.0352,3565.6592,2648.754,3882.7898
2010-07-21,1690.1404,2637.4476,3557.9452,2656.6309,3881.4828
2010-07-22,1703.7065,2675.5951,3612.9185,2691.5187,3930.9606
2010-07-23,1699.5089,2684.0979,3635.8517,2694.9399,3944.085
2010-07-26,1717.1183,2719.3665,3638.4947,2727.2174,3999.091
2010-07-27,1710.1163,2709.4016,3615.1734,2714.0515,4020.0922
2010-07-28,1741.2836,2768.4423,3708.1568,2779.8542,4093.8709
2010-07-29,1750.7642,2789.9545,3726.1662,2805.4698,4090.0893
2010-07-30,1743.2196,2792.4486,3717.0673,2799.3917,4085.8771
2010-08-02,1770.1022,2842.2935,3773.3777,2848.3862,4178.1323
2010-08-03,1741.8561,2788.3432,3710.6004,2802.4841,4109.5112
2010-08-04,1748.3871,2823.1767,3711.7852,2825.8868,4149.8135
2010-08-05,1745.1379,2827.2833,3643.8489,2816.3424,4204.2112
2010-08-06,1770.0567,2889.5094,3686.5763,2874.2754,4278.7446
2010-08-09,1777.7185,2931.6804,3697.8323,2912.8986,4328.1391
2010-08-10,1723.2602,2834.8542,3597.2478,2811.1782,4182.1704
2010-08-11,1736.5753,2864.4776,3623.7353,2829.9808,4230.9872
2010-08-12,1714.2854,2828.1894,3592.6606,2787.3749,4192.5103
2010-08-13,1736.353,2878.1546,3627.9337,2842.8149,4264.6111
2010-08-16,1775.0706,2951.9373,3690.4392,2916.0742,4363.5379
2010-08-17,1782.3842,2977.9048,3712.0307,2940.0365,4403.4535
2010-08-18,1777.2245,2980.4582,3692.1749,2945.5258,4389.9479
2010-08-19,1783.161,2979.7006,3713.1853,2968.8279,4384.9529
2010-08-20,1758.6882,2901.1308,3666.7478,2902.4001,4277.3407
2010-08-23,1755.6265,2928.7577,3657.3248,2908.9941,4303.8047
2010-08-24,1769.3802,2962.8092,3667.5997,2932.6663,4356.8615
2010-08-25,1729.3498,2897.1733,3571.1023,2861.5207,4303.405
2010-08-26,1738.4271,2915.8297,3566.6755,2876.5024,4339.0952
2010-08-27,1747.3516,2937.6642,3569.3216,2886.8357,4376.2429
2010-08-30,1772.04,3035.9041,3601.4918,2956.6076,4505.5737
2010-08-31,1761.0102,3072.834,3565.7725,2967.932,4529.44
2010-09-01,1741.3115,3027.7117,3557.2844,2943.2109,4468.0572
2010-09-02,1759.7293,3090.882,3587.5757,3001.088,4547.2308
2010-09-03,1759.4398,3130.5563,3567.8925,3012.7612,4584.7388
2010-09-06,1783.4159,3121.2056,3656.7158,3042.2238,4577.4144
2010-09-07,1791.6089,3144.8856,3649.2559,3066.3607,4581.2487
2010-09-08,1791.1242,3190.2105,3589.9685,3094.9011,4623.6441
2010-09-09,1761.9684,3165.8914,3515.2595,3037.3069,4577.7021
2010-09-10,1764.3661,3194.7145,3500.6367,3053.1622,4658.1387
2010-09-13,1777.0542,3266.0523,3526.5879,3097.3312,4727.5758
2010-09-14,1784.8059,3295.9477,3525.1498,3102.1731,4722.5117
2010-09-15,1763.1642,3234.8833,3465.6446,3043.0282,4651.0509
2010-09-16,1725.473,3162.9143,3405.8812,2976.1761,4552.2322
2010-09-17,1721.0274,3160.0333,3396.8575,2976.0101,4588.5554
2010-09-20,1712.7366,3105.6715,3395.8157,2948.4179,4572.9507
2010-09-21,1713.7482,3086.5679,3400.7809,2949.568,4586.7728
2010-09-27,1733.4256,3186.5983,3423.126,3023.288,4696.4467
2010-09-28,1717.5668,3183.6028,3366.4956,3007.8866,4702.3627
2010-09-29,1708.5624,3137.9452,3361.1839,3001.8683,4638.0934
2010-09-30,1731.5588,3191.792,3454.0957,3052.7274,4700.9498
2010-10-08,1768.362,3273.9642,3565.6808,3175.5536,4806.2812
2010-10-11,1817.7168,3275.798,3715.7898,3253.8792,4749.4319
2010-10-12,1827.816,3300.4153,3718.9001,3339.4375,4714.9426
2010-10-13,1836.0769,3313.8221,3834.982,3350.5619,4726.9661
2010-10-14,1823.26,3242.4047,3858.8513,3333.0581,4579.1682
2010-10-15,1854.7776,3274.6981,4030.904,3391.105,4573.5771
2010-10-18,1879.8032,3205.833,4054.182,3323.6968,4545.095
2010-10-19,1899.1863,3324.7961,4098.5105,3429.6522,4664.7253
2010-10-20,1868.8493,3339.7785,4099.7596,3456.9449,4740.1485
2010-10-21,1865.5131,3371.0914,4011.7058,3482.3502,4741.8602
2010-10-22,1870.3127,3419.5205,3978.8753,3511.833,4772.6245
2010-10-25,1894.8551,3538.3703,4081.6556,3628.4591,4879.8303
2010-10-26,1890.3269,3568.0913,4057.5847,3627.4422,4890.6917
2010-10-27,1874.8622,3532.7185,4004.1246,3565.2386,4837.3241
2010-10-28,1869.5187,3552.9915,4031.2839,3553.9683,4817.7951
2010-10-29,1870.348,3631.9432,3945.647,3572.4738,4846.3388
2010-11-01,1900.5247,3752.7288,3999.2623,3710.7615,4964.3334
2010-11-02,1903.0786,3715.6038,3993.9144,3702.2515,4937.3077
2010-11-03,1886.7432,3621.3174,4033.2868,3602.6441,4911.1212
2010-11-04,1914.9697,3751.6735,4063.0487,3681.683,5010.3091
2010-11-05,1940.9524,3809.3547,4108.493,3737.2545,5058.666
2010-11-08,1969.9817,3863.7707,4140.0314,3789.4138,5159.0877
2010-11-09,1959.4859,3883.1378,4057.7624,3798.1027,5213.7731
2010-11-10,1943.5229,3903.6219,3978.3359,3789.7442,5302.0087
2010-11-11,1947.868,3873.7088,4010.0836,3784.3872,5245.5452
2010-11-12,1845.2303,3627.6606,3772.0254,3533.0155,4976.2337
2010-11-15,1865.7188,3729.8453,3792.6732,3554.4415,5166.081
2010-11-16,1805.7139,3586.4066,3636.5909,3392.6364,5028.6668
2010-11-17,1768.4623,3455.1271,3618.8011,3291.6304,4799.2263
2010-11-18,1778.1063,3521.264,3653.0207,3350.8612,4854.8555
2010-11-19,1799.1095,3653.0716,3655.7058,3410.532,4992.6934
2010-11-22,1802.3386,3725.3057,3618.0977,3429.1345,5053.4887
2010-11-23,1769.787,3659.0586,3549.998,3356.7188,5012.2631
2010-11-24,1798.2295,3757.3495,3608.2719,3451.1158,5155.4239
2010-11-25,1821.6567,3769.0195,3664.8092,3495.6454,5187.8428
2010-11-26,1804.8562,3738.5705,3610.0549,3479.2174,5189.5108
2010-11-29,1806.4297,3727.8646,3600.7785,3486.5175,5232.2169
2010-11-30,1771.8458,3644.0343,3535.6627,3420.9803,5078.478
2010-12-01,1785.7506,3640.4452,3547.5577,3419.2571,5056.2649
