date,factor_value_raw,factor_value
2016-03-15,-0.46526080786694934,-0.4214798105376897
2016-03-16,-0.5285308914462548,-0.4439673112665129
2016-03-17,-0.3277767259355323,-0.42014386213192995
2016-03-18,-0.2661624624459111,-0.38992227945165914
2016-03-21,-0.12789944186144941,-0.34312606591121936
2016-03-22,-0.001930650866175649,-0.25046003451106463
2016-03-23,0.2430907990989632,-0.09613569640202105
2016-03-24,0.27342317962258766,0.024104284709602953
2016-03-25,0.4018012938093592,0.157697035960657
2016-03-28,0.6071169414094783,0.30470031261484254
2016-03-29,0.5534589185559143,0.4157782264992605
2016-03-30,0.6347291281312077,0.4941058923057094
2016-03-31,0.6133909035017004,0.562099437081532
2016-04-01,0.6909314212019853,0.6199254625600572
2016-04-05,0.7108874665353717,0.6406795675852359
2016-04-06,0.6641975453003034,0.6628272929341137
2016-04-07,0.5515471609713886,0.6461908995021499
2016-04-08,0.5203010320479223,0.6275729252113943
2016-04-11,0.5301274502188119,0.5954121310147596
2016-04-12,0.35268586192998613,0.5237718100936826
2016-04-13,0.38762339957558045,0.4684569809487379
2016-04-14,0.4445640825322894,0.4470603652609181
2016-04-15,0.31429416208532895,0.40585899126839936
2016-04-18,0.17531035469425682,0.3348955721634884
2016-04-19,0.14149482622505027,0.29265736502250117
2016-04-20,-0.03317802000020148,0.20849708110734483
2016-04-21,-0.20053611049348308,0.07947704250219033
2016-04-22,-0.1317362520999805,-0.00972904033487157
2016-04-25,-0.1156334164202626,-0.06791779455777545
2016-04-26,-0.09105867375038136,-0.11442849455286179
2016-04-27,-0.05424759642931691,-0.11864240983868488
2016-04-28,-0.15119915140263523,-0.1087750180205153
2016-04-29,-0.15061973496927347,-0.1125517145943739
2016-05-03,-0.019851877618473693,-0.09339540683401612
2016-05-04,-0.12754438909669275,-0.10069254990327839
2016-05-05,-0.1520707402873534,-0.1202571786748857
2016-05-06,-0.20808534359209238,-0.13163441711277712
2016-05-09,-0.30557084777121946,-0.16262463967316632
2016-05-10,-0.3574046420086251,-0.2301351925511966
2016-05-11,-0.3816744374432762,-0.28096120222051335
2016-05-12,-0.3807059535982391,-0.32668824488269044
2016-05-13,-0.45719665517735536,-0.37651050719974305
2016-05-16,-0.44804860121313084,-0.4050060578881253
2016-05-17,-0.37008880140486844,-0.40754288976737396
2016-05-18,-0.4687049958095733,-0.42494900144063336
2016-05-19,-0.2681633677058954,-0.40244048426216467
2016-05-20,-0.03451148743103525,-0.3179034507129006
2016-05-23,-0.04311849592504487,-0.2369174296552834
2016-05-24,-0.003770439570737594,-0.16365375728845727
2016-05-25,-0.08142415412785811,-0.08619758895211423
2016-05-26,-0.0007902142087616559,-0.03272295825268747
2016-05-27,-0.07628410493867743,-0.04107748175421591
2016-05-30,-0.002251506400171668,-0.03290408384924127
2016-05-31,0.045993531376761924,-0.022951289659741365
2016-06-01,0.16592520094389285,0.026518581354608828
2016-06-02,0.2086442754075358,0.06840547927786832
2016-06-03,0.3469388625912501,0.15305007278385382
2016-06-06,0.5804470734426617,0.26958978875242046
2016-06-07,0.680039937253715,0.39639906992781115
2016-06-08,0.8065270983216632,0.5245194494033651
2016-06-13,0.632004973981674,0.6091915891181928
2016-06-14,0.6510984796795327,0.6700235125358495
2016-06-15,0.7274853285265371,0.6994311635526244
2016-06-16,0.6759168288157836,0.6986065418650382
2016-06-17,0.6784616729897407,0.6729934567986536
2016-06-20,0.6854669429649317,0.6836858505953052
2016-06-21,0.5360959611734256,0.6606853468940839
2016-06-22,0.5620928635663438,0.6276068539020451
2016-06-23,0.6627133052620545,0.6249661491912993
2016-06-24,0.7061169418700546,0.6304972029673621
2016-06-27,0.7333936652212679,0.6400825474186294
2016-06-28,0.7549315362410673,0.6838496624321576
2016-06-29,0.6706892875728157,0.705568947233452
2016-06-30,0.5261309669877805,0.6782524795785972
2016-07-01,0.3576949549889027,0.6085680822023669
2016-07-04,0.24004225406754573,0.5098977999716224
2016-07-05,0.16988008234518448,0.39288750919244586
2016-07-06,0.05397896727969752,0.2695454451338222
2016-07-07,-0.10278013724494553,0.143763224287277
2016-07-08,-0.1291448475885269,0.04639526377179108
2016-07-11,-0.02353336311384371,-0.006319859664486805
2016-07-12,-0.2608216549682395,-0.0924602071271716
2016-07-13,-0.4779069739599424,-0.1988373953750996
2016-07-14,-0.5106124698656694,-0.2804038618992444
2016-07-15,-0.5564418987737509,-0.3658632721362892
2016-07-18,-0.686098519142047,-0.49837630334192984
2016-07-19,-0.48566425206563735,-0.5433448227614095
2016-07-20,-0.6375327015130883,-0.5752699682720385
2016-07-21,-0.7332625221391088,-0.6197999787267265
2016-07-22,-0.7308655067742024,-0.6546847003268168
2016-07-25,-0.8417689660583224,-0.6858187897100718
2016-07-26,-0.8344307923662676,-0.7555720977701978
2016-07-27,-0.8529663747203391,-0.798658832411648
2016-07-28,-0.8773540444183063,-0.8274771368674875
2016-07-29,-0.8449323755127356,-0.8502905106151942
2016-08-01,-0.8041529531531426,-0.8427673080341582
2016-08-02,-0.7503496934637374,-0.825951088253652
2016-08-03,-0.7362983676062413,-0.8026174868308326
2016-08-04,-0.652970559003555,-0.7577407897478824
2016-08-05,-0.6841742465582357,-0.7255891639569824
2016-08-08,-0.6217261496602399,-0.6891038032584019
2016-08-09,-0.48510084731218656,-0.6360540340280917
2016-08-10,-0.501099622147809,-0.5890142849364052
2016-08-11,-0.5509904384440161,-0.5686182608244974
2016-08-12,-0.5273805029998426,-0.5372595121128187
2016-08-15,-0.4890914032548667,-0.5107325628317441
2016-08-16,-0.4963698254394829,-0.5129863584572034
2016-08-17,-0.46671032017942177,-0.506108498063526
2016-08-18,-0.44669751642397576,-0.485249913659518
2016-08-19,-0.42194301307894744,-0.4641624156753389
2016-08-22,-0.3455186431959728,-0.43544786366356003
2016-08-23,-0.35046008910290255,-0.406265916396244
2016-08-24,-0.027254724268471284,-0.31837479721405393
2016-08-25,0.2535661989477452,-0.17832205413970975
2016-08-26,0.41337433221878755,-0.011258585080162743
2016-08-29,0.4218983954237522,0.14222482264378225
2016-08-30,0.4784369731678853,0.30800423509793984
2016-08-31,0.5343633769045321,0.4203278553325405
2016-09-01,0.5327842538268972,0.4761714663083709
2016-09-02,0.5707915881893099,0.5076549175024754
2016-09-05,0.5858500850591404,0.540445255429553
2016-09-06,0.5843509787004249,0.561628056536061
2016-09-07,0.5713997190245288,0.5690353249600603
2016-09-08,0.6211306050741741,0.5867045952095156
2016-09-09,0.6194893968902287,0.5964441569496994
2016-09-12,0.47340808189083833,0.573955756316039
2016-09-13,0.39685585337158524,0.536456731250271
2016-09-14,0.36663476640591497,0.49550374072654835
2016-09-19,0.40996565367810317,0.45327075044733417
2016-09-20,0.3066232982679677,0.39069753072288194
2016-09-21,0.3287510329359631,0.36176612093190685
2016-09-22,0.37372881871478275,0.35714071400054637
2016-09-23,0.16492856743116668,0.31679947420559673
2016-09-26,0.05906175989932808,0.24661869544984172
2016-09-27,-0.037541105958610835,0.17778581460452597
2016-09-28,-0.05792249336457209,0.10045110934441896
2016-09-29,-0.15590211713999938,-0.005475077826537467
2016-09-30,-0.059681595491515124,-0.05039711041107383
2016-10-10,0.08079707855989819,-0.04605004667895981
2016-10-11,0.11245743818643579,-0.016050337849950483
2016-10-12,0.11436620060219091,0.018407400943402118
2016-10-13,-0.012586688869460535,0.047070486597509884
2016-10-14,-0.03326517301192313,0.05235377109342829
2016-10-17,-0.10973732960224415,0.014246889460999817
2016-10-18,-0.029563849414814023,-0.014157368059250145
2016-10-19,0.09562721137830546,-0.017905165904027236
2016-10-20,0.2177647992977379,0.02816513172941245
2016-10-21,0.0886854746382307,0.05255526125944322
2016-10-24,-0.12502463875244257,0.049497799429403536
2016-10-25,-0.17327169041667115,0.020756231229032113
2016-10-26,-0.30521937605059224,-0.059413086256747426
2016-10-27,-0.41217068531056905,-0.1854001831784088
2016-10-28,-0.2953289479239669,-0.26220306769084833
2016-10-31,-0.2120485116024172,-0.2796078422608433
2016-11-01,-0.060339061291542595,-0.25702131643581755
2016-11-02,-0.061723138622043296,-0.2083220689501078
2016-11-03,-0.1040654335431756,-0.14670101859662904
2016-11-04,-0.23607614683583106,-0.13485045837900192
2016-11-07,-0.7414643312011229,-0.240733622298743
2016-11-08,-0.6718911887502537,-0.36304404779048527
2016-11-09,-0.7023528351774249,-0.49116998710156157
2016-11-10,-0.6953117294591691,-0.6094192462847603
2016-11-11,-0.806036311265417,-0.7234112791706775
2016-11-14,-0.7893228904517635,-0.7329829910208056
2016-11-15,-0.6701413563072468,-0.7326330245322042
2016-11-16,-0.49159243633962046,-0.6904809447646434
2016-11-17,-0.77231741502637,-0.7058820818780835
2016-11-18,-0.5432799983667229,-0.6533308192983447
2016-11-21,-0.43963679518505405,-0.5833936002450029
2016-11-22,-0.32326080541440505,-0.5140174900664345
2016-11-23,-0.23681766059186485,-0.4630625349168834
2016-11-24,-0.559415897613943,-0.42048223143439795
2016-11-25,-0.5656439364576251,-0.4249550190525784
2016-11-28,-0.6435258903611235,-0.46573283808779226
2016-11-29,-0.7254611421668298,-0.5461729054382772
2016-11-30,-0.428677485217892,-0.5845448703634827
2016-12-01,-0.475871361547239,-0.5678359631501418
2016-12-02,-0.6149317676083089,-0.5776935293802786
2016-12-05,-0.2312190811871723,-0.4952321675454884
2016-12-06,-0.3268454774162741,-0.41550903459537725
2016-12-07,-0.3191977150546497,-0.3936130805627288
2016-12-08,-0.31172335595114226,-0.3607834794435094
2016-12-09,-0.15889384304512086,-0.26957589453087183
2016-12-12,-0.6603334235485531,-0.355398763003148
2016-12-13,-0.8397542814576407,-0.4579805238114213
2016-12-14,-0.8856277689815315,-0.5712665345967978
2016-12-15,-0.7194822648595403,-0.6528183163784773
2016-12-16,-0.7207394324828857,-0.7651874342660302
2016-12-19,-0.7751120971342554,-0.7881431689831707
2016-12-20,-0.6007520186537564,-0.7403427164223938
2016-12-21,-0.5910626001974246,-0.6814296826655724
2016-12-22,-0.41979670889145804,-0.621492571471956
2016-12-23,-0.304521638131976,-0.538249012601774
2016-12-26,-7.269925577911045e-05,-0.3832411330260788
2016-12-27,0.09060543089149017,-0.24496964311702954
2016-12-28,-0.29675896286933656,-0.18610891565141188
2016-12-29,-0.12575504604763205,-0.1273005830826467
2016-12-30,0.12747239614937791,-0.040901776226375905
2017-01-03,-0.22498350956709837,-0.08588393828863976
2017-01-04,0.02769665463624296,-0.0984656935396892
2017-01-05,0.18490981226615522,-0.0021319385125908364
2017-01-06,-0.13240417951630448,-0.0034617652063253235
2017-01-09,-0.14172154469176523,-0.057300553374553954
2017-01-10,0.5070500138583581,0.08910615131053734
2017-01-11,0.7067855549928727,0.22492393138186326
2017-01-12,0.810546551212081,0.35005127917104845
2017-01-13,0.6121121267444147,0.4989545404231922
2017-01-16,-0.30386317362334614,0.4665262146368761
2017-01-17,0.21102318745057377,0.4073208493553192
2017-01-18,-0.5301351068087818,0.15993671699498832
2017-01-19,-0.534093069343943,-0.10899120711621646
2017-01-20,-0.1832152504470187,-0.2680566825545031
2017-01-23,-0.19968702538904587,-0.24722145290764308
2017-01-24,-0.5097058523213192,-0.39136726086202167
2017-01-25,-0.3960953217400489,-0.36455930384827506
2017-01-26,-0.20487687775248553,-0.2987160655299836
2017-02-03,-0.17826580785760496,-0.29772617701210086
2017-02-06,0.09158268483311958,-0.23947223496766776
2017-02-07,0.111750346379262,-0.11518099522755151
2017-02-08,0.0123166307585365,-0.03349860472783443
2017-02-09,0.10051545442196158,0.027579861707054988
2017-02-10,-0.15697606790309626,0.03183780969795673
2017-02-13,0.2033154742579991,0.05418436758293262
2017-02-14,0.24243916496070225,0.08032213129922068
2017-02-15,0.17245367469366807,0.11234954008624701
2017-02-16,-0.1405655388755068,0.06413334142675334
2017-02-17,0.09420115024782147,0.11436878505693686
2017-02-20,0.5228554998180364,0.17827679016894432
2017-02-21,0.5404851024577954,0.23788597766836292
2017-02-22,0.7385419743611477,0.35110363760185886
2017-02-23,0.8780441051959108,0.5548255664161423
2017-02-24,0.8403021364896451,0.7040457636645071
2017-02-27,0.8257570858674067,0.7646260808743811
2017-02-28,0.8199179202699642,0.8205126444368149
2017-03-01,0.7535013206522355,0.8235045136950326
2017-03-02,0.6954516321872188,0.7869860190932941
2017-03-03,0.8067569024557809,0.7802769722865213
2017-03-06,0.757493294008623,0.7666242139147645
2017-03-07,0.7969369627131397,0.7620280224033997
2017-03-08,0.7423034139334024,0.759788441059633
2017-03-09,0.7651024591549702,0.7737186064531832
2017-03-10,0.8440642930257479,0.7811800845671767
2017-03-13,0.7982852234106155,0.7893384704475752
2017-03-14,0.7750724831717412,0.7849655745392955
2017-03-15,0.7255033920326533,0.7816055701591458
2017-03-16,0.7476440933526975,0.7781138969986912
2017-03-17,0.7379699429462029,0.7568950269827821
2017-03-20,0.7876759945890218,0.7547731812184635
2017-03-21,0.7064116220505064,0.7410410089942164
2017-03-22,0.696428277281293,0.7352259860439444
2017-03-23,0.5713203895908855,0.699961245291582
2017-03-24,0.39617038552287137,0.6316013338069156
2017-03-27,0.3416952421668924,0.5424051833224898
2017-03-28,0.412373511962809,0.4835975613049503
2017-03-29,0.2512888084642165,0.394569667541535
2017-03-30,0.07329338152648651,0.2949642659286552
2017-03-31,-0.014748536135207683,0.21278048159703938
2017-04-05,-0.08573242830740291,0.12729494750218032
2017-04-06,-0.2019103730821092,0.0044381704931966805
2017-04-07,-0.211817651493445,-0.08818312149833561
2017-04-10,-0.539340783166084,-0.21070995443684973
2017-04-11,-0.5661856210060939,-0.3209973714110269
2017-04-12,-0.6699984764314048,-0.43785058103582736
2017-04-13,-0.7082564723901433,-0.5391198008974342
2017-04-14,-0.6702164042825843,-0.6307995514552621
2017-04-17,-0.6940328734308557,-0.6617379695082164
2017-04-18,-0.7288408320522062,-0.6942690117174388
2017-04-19,-0.6759015643431684,-0.6954496292997916
2017-04-20,-0.6194047979991686,-0.6776792944215966
2017-04-21,-0.5894372530424158,-0.6615234641735629
2017-04-24,-0.5471767646883376,-0.6321522424250593
2017-04-25,-0.4708068189125719,-0.5805454397971325
2017-04-26,-0.481027959024775,-0.5415707187334539
2017-04-27,-0.4181706219323133,-0.5013238835200827
2017-04-28,-0.2827298821384373,-0.439982409339287
2017-05-02,-0.09745189489611059,-0.3500374353808416
2017-05-03,-0.20677797129515704,-0.2972316658573586
2017-05-04,-0.1974637304239311,-0.2405188201371898
2017-05-05,-0.12468239794349936,-0.18182117533942704
2017-05-08,-0.09718341601247145,-0.14471188211423386
2017-05-09,0.14022762265922326,-0.0971759786031671
2017-05-10,0.1931469335396798,-0.017190997636199728
2017-05-11,0.3370531541614652,0.08971237928087952
2017-05-12,0.38993149018362955,0.1926351569063053
2017-05-15,0.40691457244049833,0.29345475459689924
2017-05-16,0.5264034272267631,0.37068991551040725
2017-05-17,0.5577351489397093,0.4436075585904131
2017-05-18,0.5269035645411474,0.4815776406663496
2017-05-19,0.4307985661489232,0.48975105585940837
2017-05-22,0.42515849900731423,0.49339984117277147
2017-05-23,0.22621721155460955,0.43336259803834076
2017-05-24,0.2772487077604641,0.37726530980249173
2017-05-25,0.1358329714274171,0.2990511911797457
2017-05-26,0.04941568883727219,0.22277461571741547
2017-05-31,0.034007825487734115,0.14454448101349943
2017-06-01,-0.20392286865669637,0.05851646497123828
2017-06-02,-0.16317103587174142,-0.029567483755202833
2017-06-05,-0.10674338624232424,-0.0780827552891511
2017-06-06,-0.16778533932328504,-0.12152296092126255
2017-06-07,-0.06859148814948335,-0.14204282364870605
2017-06-08,-0.10703058937334516,-0.1226643677920358
2017-06-09,-0.10106194533169963,-0.11024254968402744
2017-06-12,-0.24140699463317097,-0.1371752713621968
2017-06-13,-0.13028752616080339,-0.12967570872970047
2017-06-14,-0.053464313315744284,-0.12665027376295265
2017-06-15,-0.08661704728132655,-0.1225675653445489
2017-06-16,-0.05151928634631129,-0.11265903354747124
2017-06-19,-0.1584998789741938,-0.09607761041567582
2017-06-20,0.07324755063955948,-0.05537059505560323
2017-06-21,0.05082602244084232,-0.03451252790428592
2017-06-22,0.15076379962536587,0.012963641477052562
2017-06-23,0.07397341594883267,0.03806218193608135
2017-06-26,0.12715469256543893,0.0951930962440079
2017-06-27,0.04701566964413174,0.08994672004492235
2017-06-28,-0.027608459275658925,0.0742598237016221
2017-06-29,0.3049152153017879,0.10509010683690652
2017-06-30,0.25866592251694626,0.14202860815052923
2017-07-03,0.10543114305637936,0.1376838982487173
2017-07-04,0.2617336372809595,0.18062749177608284
2017-07-05,0.11907045508640261,0.20996327464849518
2017-07-06,0.19082091564842638,0.18714441471782287
2017-07-07,0.004703586253888446,0.1363519474652113
2017-07-10,-0.1315399628296959,0.08895772628799625
2017-07-11,-0.2913217637639306,-0.021653353920981767
2017-07-12,-0.3981365186701099,-0.12509474867228426
2017-07-13,-0.732492634125009,-0.30975745862697135
2017-07-14,-0.8379754838069403,-0.47829327263913707
2017-07-17,-0.9355253360997895,-0.6390903472931557
2017-07-18,-0.9507587217077844,-0.7709777388819266
2017-07-19,-0.9478480081978173,-0.8809200367874681
2017-07-20,-0.9032563850818726,-0.9150727869788409
2017-07-21,-0.8808146162477549,-0.9236406134670038
2017-07-24,-0.8329617959953205,-0.90312790544611
2017-07-25,-0.7604027973832791,-0.8650567205812087
2017-07-26,-0.726934548210554,-0.8208740285837562
2017-07-27,-0.5069532022432561,-0.7416133920160328
2017-07-28,-0.5267850533521713,-0.6708074794369161
