phase,n_sessions,kind,delta,method,rep,data_seed,p_C1,p_C2,estimate_C1,estimate_C2,reject_any,reject_C2,positive_C1
A,2016,iid,0.0,sn_if,245,91719245,1.0,1.0,0.11649367340324379,-0.05576540556497578,False,False,False
A,2016,iid,0.0,group_t4,246,91719246,0.23069327647002283,0.395204034432999,-0.5102161819033979,0.19372730536921068,False,False,False
A,2016,iid,0.0,group_t8,246,91719246,0.21917495789340724,0.5040759252818664,-0.5055430280600632,0.18025622256630677,False,False,False
A,2016,iid,0.0,sn_if,246,91719246,0.3198336033279334,0.32943341133177334,-0.5090442366733983,0.19634765095642576,False,False,False
A,2016,iid,0.0,group_t4,247,91719247,0.8107731284879737,0.17153512501985946,0.06764500003896201,-0.21077875062870485,False,False,False
A,2016,iid,0.0,group_t8,247,91719247,0.7925933372394077,0.48769956640201345,0.06402384872442571,-0.1900811632751974,False,False,False
A,2016,iid,0.0,sn_if,247,91719247,0.7742245155096898,0.22967540649187015,0.058350161383095345,-0.21093354604754672,False,False,False
A,2016,iid,0.0,group_t4,248,91719248,1.0,1.0,-0.040130087720545354,0.023603559846250628,False,False,False
A,2016,iid,0.0,group_t8,248,91719248,1.0,1.0,-0.03902998749312869,0.03096929647865522,False,False,False
A,2016,iid,0.0,sn_if,248,91719248,1.0,1.0,-0.02525885409989953,0.03558221952096641,False,False,False
A,2016,iid,0.0,group_t4,249,91719249,0.19017637828568726,0.9027193651777504,0.2182115092441847,-0.024807045039622527,False,False,False
A,2016,iid,0.0,group_t8,249,91719249,0.7875712250789876,0.9496859034758086,0.19966927989738031,-0.022589398121645343,False,False,False
A,2016,iid,0.0,sn_if,249,91719249,0.44599108017839645,0.878902421951561,0.22147103615723088,-0.0294373388677297,False,False,False
A,2016,iid,0.0,group_t4,250,91719250,0.06483155732284575,0.311280429221291,0.5796376192609521,0.10452241918505886,False,False,False
A,2016,iid,0.0,group_t8,250,91719250,0.3317634170225709,0.3317634170225709,0.5528528475245176,0.135255061782727,False,False,False
A,2016,iid,0.0,sn_if,250,91719250,0.10659786804263914,0.5570888582228355,0.5852113964794964,0.10432107858168821,False,False,False
A,2016,iid,0.0,group_t4,251,91719251,1.0,1.0,-0.002520957659072176,0.13533187356166673,False,False,False
A,2016,iid,0.0,group_t8,251,91719251,1.0,1.0,-0.007672252763073643,0.15369363101731778,False,False,False
A,2016,iid,0.0,sn_if,251,91719251,1.0,1.0,-0.0023196672703345023,0.1350619606136313,False,False,False
A,2016,iid,0.0,group_t4,252,91719252,0.9886193287177177,0.9886193287177177,-0.0020693632147389535,-0.0732284321329914,False,False,False
A,2016,iid,0.0,group_t8,252,91719252,1.0,1.0,0.004604568293796442,-0.06823286733875789,False,False,False
A,2016,iid,0.0,sn_if,252,91719252,1.0,1.0,-0.002970631510910593,-0.07535148630410465,False,False,False
A,2016,iid,0.0,group_t4,253,91719253,1.0,1.0,-0.1373633377375565,-0.14445877109988903,False,False,False
A,2016,iid,0.0,group_t8,253,91719253,0.753691732968607,0.753691732968607,-0.13384444541767931,-0.14904115243090038,False,False,False
A,2016,iid,0.0,sn_if,253,91719253,0.7647847043059138,0.7647847043059138,-0.11546732672179932,-0.14251285391988722,False,False,False
A,2016,iid,0.0,group_t4,254,91719254,0.08932107118257393,0.7741497397117431,-0.18107756672226683,0.06520263089219147,False,False,False
A,2016,iid,0.0,group_t8,254,91719254,0.4045702031269989,0.7753395906728381,-0.17385240173918254,0.055398104615980964,False,False,False
A,2016,iid,0.0,sn_if,254,91719254,0.31735365292694145,0.7312053758924821,-0.18566908763327228,0.0642727919497948,False,False,False
A,2016,iid,0.0,group_t4,255,91719255,0.9543512394406659,0.5188143951578977,-0.008875857829830788,0.2718703616832683,False,False,False
A,2016,iid,0.0,group_t8,255,91719255,0.9586783550059582,0.33605023468899464,-0.012115012840888686,0.26790772028395865,False,False,False
A,2016,iid,0.0,sn_if,255,91719255,0.994480110397792,0.23251534969300613,-0.001805499272873226,0.27440533904760245,False,False,False
A,2016,iid,0.0,group_t4,256,91719256,0.7345238309303497,0.7345238309303497,-0.036977232209551854,-0.0536594729209827,False,False,False
A,2016,iid,0.0,group_t8,256,91719256,1.0,1.0,-0.04672667130929972,-0.07203377404925555,False,False,False
A,2016,iid,0.0,sn_if,256,91719256,1.0,1.0,-0.029206607796508383,-0.05358280249077152,False,False,False
A,2016,iid,0.0,group_t4,257,91719257,0.10415019271193725,0.10415019271193725,-0.29023219197608374,-0.4706345963584941,False,False,False
A,2016,iid,0.0,group_t8,257,91719257,0.30561945303732185,0.06626078110984009,-0.26390508970610915,-0.467977865669492,False,False,False
A,2016,iid,0.0,sn_if,257,91719257,0.14517709645807084,0.01387972240555189,-0.29699597229739455,-0.46562184284009484,True,True,False
A,2016,iid,0.0,group_t4,258,91719258,1.0,1.0,-0.008282420489448522,-0.011754051465696885,False,False,False
A,2016,iid,0.0,group_t8,258,91719258,1.0,1.0,-0.00702982927016034,-0.013993196502553179,False,False,False
A,2016,iid,0.0,sn_if,258,91719258,1.0,1.0,-0.0056735258090738205,-0.013672402543984719,False,False,False
A,2016,iid,0.0,group_t4,259,91719259,0.9073999660800451,0.9073999660800451,-0.15342196757242763,-0.062492500604463486,False,False,False
A,2016,iid,0.0,group_t8,259,91719259,1.0,1.0,-0.13374469778104886,-0.06320712714989889,False,False,False
A,2016,iid,0.0,sn_if,259,91719259,1.0,1.0,-0.13717179487657338,-0.079912076785534,False,False,False
A,2016,iid,0.0,group_t4,260,91719260,0.12756530225989585,0.5643254278022491,-0.41261937741784116,0.14722242287323992,False,False,False
