date,symbol,open,close,oi,settle,volume
2017-02-28,IC1704.CFE,6280.4000,6298.2000,2225,6293.8000,738
2017-02-28,IC1706.CFE,6152.2000,6177.2000,7001,6164.2000,606
2017-02-28,IC1709.CFE,5979.8000,6005.4000,2131,5993.2000,223
2017-03-01,IC1703.CFE,6375.8000,6397.8000,24130,6406.8000,10832
2017-03-01,IC1704.CFE,6299.6000,6322.2000,2831,6335.0000,1070
2017-03-01,IC1706.CFE,6176.8000,6191.8000,7078,6196.8000,860
2017-03-01,IC1709.CFE,6002.0000,6014.4000,2198,6023.6000,300
2017-03-02,IC1703.CFE,6416.8000,6390.0000,23850,6385.2000,9945
2017-03-02,IC1704.CFE,6301.0000,6312.8000,3246,6308.8000,1109
2017-03-02,IC1706.CFE,6192.2000,6177.0000,7157,6174.2000,682
2017-03-02,IC1709.CFE,6021.6000,6003.6000,2344,5999.8000,374
2017-03-03,IC1703.CFE,6379.8000,6393.0000,23929,6402.6000,10414
2017-03-03,IC1704.CFE,6302.2000,6325.0000,3857,6325.0000,1281
2017-03-03,IC1706.CFE,6165.6000,6195.0000,7252,6190.2000,747
2017-03-03,IC1709.CFE,6002.0000,6021.0000,2420,6015.2000,328
2017-03-06,IC1703.CFE,6404.8000,6459.8000,23295,6463.8000,9589
2017-03-06,IC1704.CFE,6337.4000,6381.0000,4347,6384.8000,1252
2017-03-06,IC1706.CFE,6198.2000,6246.0000,7305,6248.8000,701
2017-03-06,IC1709.CFE,6019.8000,6073.6000,2534,6078.2000,399
2017-03-07,IC1703.CFE,6463.8000,6465.0000,21900,6459.4000,8213
2017-03-07,IC1704.CFE,6380.2000,6381.6000,5004,6374.4000,1085
2017-03-07,IC1706.CFE,6248.2000,6244.6000,7330,6234.2000,652
2017-03-07,IC1709.CFE,6074.2000,6065.4000,2679,6055.0000,395
2017-03-08,IC1703.CFE,6466.0000,6449.6000,21150,6439.6000,8016
2017-03-08,IC1704.CFE,6375.0000,6361.6000,5670,6352.4000,1247
2017-03-08,IC1706.CFE,6235.4000,6218.6000,7396,6202.8000,722
2017-03-08,IC1709.CFE,6059.4000,6034.8000,2708,6022.2000,281
2017-03-09,IC1703.CFE,6436.0000,6390.8000,20473,6391.2000,10675
2017-03-09,IC1704.CFE,6348.4000,6293.6000,6556,6303.6000,1736
2017-03-09,IC1706.CFE,6203.8000,6159.4000,7552,6149.8000,826
2017-03-09,IC1709.CFE,5996.0000,5964.2000,2975,5962.4000,543
2017-03-10,IC1703.CFE,6397.8000,6410.4000,18588,6409.0000,8480
2017-03-10,IC1704.CFE,6293.6000,6317.2000,7541,6319.2000,2062
2017-03-10,IC1706.CFE,6158.0000,6157.0000,7716,6156.4000,758
2017-03-10,IC1709.CFE,5901.2000,5958.0000,3021,5969.2000,401
2017-03-13,IC1703.CFE,6404.8000,6484.6000,16764,6483.0000,10438
2017-03-13,IC1704.CFE,6317.2000,6393.2000,9369,6391.4000,3471
2017-03-13,IC1706.CFE,6155.0000,6245.8000,8277,6232.4000,1318
2017-03-13,IC1709.CFE,5962.8000,6049.6000,3175,6034.8000,433
2017-03-14,IC1703.CFE,6487.2000,6470.0000,14200,6470.2000,8196
2017-03-14,IC1704.CFE,6394.4000,6381.2000,11117,6380.4000,3246
2017-03-14,IC1706.CFE,6245.4000,6226.2000,8517,6222.6000,953
2017-03-14,IC1709.CFE,6049.6000,6032.8000,3246,6025.8000,309
2017-03-15,IC1703.CFE,6464.6000,6466.4000,11018,6470.0000,8862
2017-03-15,IC1704.CFE,6375.0000,6376.0000,13730,6381.6000,4373
2017-03-15,IC1706.CFE,6222.8000,6228.4000,9026,6228.6000,1108
2017-03-15,IC1709.CFE,6013.2000,6024.2000,3472,6029.0000,465
2017-03-16,IC1703.CFE,6489.6000,6539.0000,5484,6536.6000,7810
2017-03-16,IC1704.CFE,6398.2000,6469.4000,19088,6460.6000,9012
2017-03-16,IC1706.CFE,6244.0000,6340.0000,9428,6319.2000,1577
2017-03-16,IC1709.CFE,6068.8000,6142.0000,3628,6127.6000,619
2017-03-17,IC1703.CFE,6536.0000,6527.6000,0,6527.7500,4762
2017-03-17,IC1704.CFE,6485.0000,6410.0000,22976,6433.6000,12413
2017-03-17,IC1706.CFE,6348.4000,6278.0000,9851,6302.2000,2113
2017-03-17,IC1709.CFE,6148.8000,6092.4000,3817,6121.4000,755
2017-03-20,IC1704.CFE,6423.6000,6427.0000,23207,6415.4000,9473
2017-03-20,IC1705.CFE,6373.0000,6359.8000,272,6344.6000,273
2017-03-20,IC1706.CFE,6278.0000,6295.2000,9905,6281.2000,1163
2017-03-20,IC1709.CFE,6094.6000,6106.2000,3785,6099.8000,393
2017-03-21,IC1704.CFE,6426.6000,6445.0000,23397,6425.8000,8546
2017-03-21,IC1705.CFE,6350.4000,6374.8000,348,6356.6000,254
2017-03-21,IC1706.CFE,6315.2000,6315.0000,9908,6295.0000,1010
2017-03-21,IC1709.CFE,6106.2000,6139.0000,3925,6119.8000,351
2017-03-22,IC1704.CFE,6415.8000,6428.8000,23942,6424.2000,10292
2017-03-22,IC1705.CFE,6351.0000,6358.0000,450,6349.6000,248
2017-03-22,IC1706.CFE,6292.0000,6303.4000,9956,6292.2000,996
2017-03-22,IC1709.CFE,6098.8000,6125.2000,4015,6108.8000,467
2017-03-23,IC1704.CFE,6441.0000,6450.0000,24170,6436.4000,12578
2017-03-23,IC1705.CFE,6369.6000,6384.6000,661,6369.6000,435
2017-03-23,IC1706.CFE,6307.0000,6320.2000,10292,6305.8000,1257
2017-03-23,IC1709.CFE,6121.6000,6136.4000,4065,6126.0000,429
2017-03-24,IC1704.CFE,6451.4000,6527.8000,23524,6514.6000,11786
2017-03-24,IC1705.CFE,6368.6000,6468.2000,836,6447.6000,402
2017-03-24,IC1706.CFE,6324.4000,6410.2000,10290,6394.4000,1338
2017-03-24,IC1709.CFE,6142.0000,6238.0000,4124,6211.6000,421
2017-03-27,IC1704.CFE,6533.4000,6480.6000,23151,6482.0000,10213
2017-03-27,IC1705.CFE,6460.4000,6428.2000,1152,6423.6000,515
2017-03-27,IC1706.CFE,6411.0000,6377.0000,10305,6382.8000,1253
2017-03-27,IC1709.CFE,6222.6000,6220.2000,4304,6222.6000,726
2017-03-28,IC1704.CFE,6485.0000,6467.2000,22859,6472.4000,8921
2017-03-28,IC1705.CFE,6413.6000,6413.4000,1486,6418.2000,673
2017-03-28,IC1706.CFE,6381.2000,6366.2000,10332,6376.0000,848
2017-03-28,IC1709.CFE,6220.2000,6231.2000,4388,6240.4000,556
2017-03-29,IC1704.CFE,6470.0000,6443.6000,23230,6453.8000,11307
2017-03-29,IC1705.CFE,6424.0000,6397.0000,1652,6403.6000,554
2017-03-29,IC1706.CFE,6381.6000,6347.8000,10259,6362.6000,1110
2017-03-29,IC1709.CFE,6230.0000,6223.0000,4463,6232.0000,484
2017-03-30,IC1704.CFE,6438.0000,6366.4000,22612,6376.6000,12536
2017-03-30,IC1705.CFE,6378.2000,6326.8000,2040,6330.4000,1063
2017-03-30,IC1706.CFE,6341.0000,6286.0000,10031,6293.4000,1739
2017-03-30,IC1709.CFE,6219.8000,6161.0000,4694,6169.8000,761
2017-03-31,IC1704.CFE,6378.6000,6380.2000,21670,6370.8000,9206
2017-03-31,IC1705.CFE,6328.2000,6335.0000,2161,6326.8000,666
2017-03-31,IC1706.CFE,6289.0000,6299.8000,10048,6285.2000,1133
