signal,kou_jing,window,seg,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
mixed,1000,2014-2020,long,0.1893569686616627,1.0285294117030954,-0.19440186701160878,0.9740491260320828,9.759812536613941,0.5363849765258216,1707
mixed,1000,2014-2020,short,0.09271496718424366,0.41899236217858177,-0.37746777130595144,0.24562353194677058,9.759812536613941,0.4490238611713666,1707
mixed,1000,2021-2023,full,0.3525187082742678,1.7782510953218702,-0.13747584360217047,2.564222913913454,16.85006877579092,0.5385674931129476,727
mixed,1000,2021-2023,long,0.17429386411456155,1.3265843067654834,-0.1311230438935641,1.3292390028410284,8.42503438789546,0.554726368159204,727
mixed,1000,2021-2023,short,0.17822484415970632,1.1934179558756062,-0.16725628985142005,1.0655793233129232,8.42503438789546,0.4813753581661891,727
mixed,1000,2024-2026,full,0.3092905516438531,1.1262745194806896,-0.3082232770635107,1.0034626670331666,21.976744186046513,0.5357737104825291,602
mixed,1000,2024-2026,long,0.31638609678384283,1.6685105021567852,-0.16985606035341794,1.862671818276847,10.988372093023257,0.5761589403973509,602
mixed,1000,2024-2026,short,-0.007095545139989777,-0.03572956093620778,-0.29373325362007474,-0.024156424417534326,10.988372093023257,0.4539877300613497,602
mixed,blend,full,full,0.2678115835388258,1.05718252958681,-0.35899706155218947,0.7459993749834425,19.367588932806324,0.5186161449752883,3036
mixed,blend,full,long,0.22610756735038356,1.3640450011515843,-0.15692255121654142,1.4408863837446282,9.683794466403162,0.5529865125240848,3036
mixed,blend,full,short,0.0417040161884422,0.21748249016697124,-0.3920972827214929,0.10636140066817196,9.683794466403162,0.4474342928660826,3036
mixed,blend,2014-2020,full,0.23154510606275144,0.8366935151889993,-0.35899706155218947,0.644977719487797,19.519625073227882,0.5064478311840562,1707
mixed,blend,2014-2020,long,0.22045428063042702,1.2456485413696634,-0.15526492986928042,1.4198588233416933,9.759812536613941,0.545774647887324,1707
mixed,blend,2014-2020,short,0.011090825432324406,0.05212506851841787,-0.3920972827214929,0.02828590230298084,9.759812536613941,0.43383947939262474,1707
mixed,blend,2021-2023,full,0.3068715582920599,1.6944721674914245,-0.1390299827906777,2.2072329445230747,16.85006877579092,0.5344352617079889,727
mixed,blend,2021-2023,long,0.15661946557855663,1.295086909691519,-0.1312448943202561,1.1933375876427086,8.42503438789546,0.5447761194029851,727
mixed,blend,2021-2023,short,0.15025209271350323,1.1083691905308795,-0.13534697605970603,1.1101252284145755,8.42503438789546,0.48424068767908307,727
mixed,blend,2024-2026,full,0.3128707755606846,1.2099572883633636,-0.2847343756506515,1.0988163085182043,21.976744186046513,0.5324459234608985,602
mixed,blend,2024-2026,long,0.31736645628998794,1.775330876629484,-0.15692255121654164,2.0224400752447966,10.988372093023257,0.5827814569536424,602
mixed,blend,2024-2026,short,-0.004495680729303249,-0.024066285103071818,-0.25406906934928664,-0.017694718766111273,10.988372093023257,0.4447852760736196,602
rotation,500,full,full,0.2230474360339339,0.911174805005044,-0.47396224856413827,0.4706016918217703,23.241106719367586,0.5215815485996705,3036
rotation,500,full,long,0.23644771305244547,1.5215111931899965,-0.2301539571833977,1.02734585121225,11.620553359683793,0.5473098330241187,3036
rotation,500,full,short,-0.013400277018511535,-0.07087665159251827,-0.4445100586508409,-0.030146172752948532,11.620553359683793,0.4475032010243278,3036
rotation,500,2014-2020,full,0.2828327304240952,1.0501394185765054,-0.3069847025505119,0.9213251607465922,24.112478031634446,0.5099648300117233,1707
rotation,500,2014-2020,long,0.3024588196714406,1.753225831192381,-0.12660651132541267,2.3889673327625336,12.056239015817223,0.5485651214128036,1707
rotation,500,2014-2020,short,-0.019626089247345487,-0.0949444572961966,-0.42811578182195364,-0.04584294735368494,12.056239015817223,0.4230769230769231,1707
rotation,500,2021-2023,full,0.20462115115984872,1.2073563018991833,-0.1560880182580502,1.3109343910149582,19.546079779917466,0.5413223140495868,727
rotation,500,2021-2023,long,0.11064343846755019,0.9419430150671974,-0.13371121202494074,0.8274806337625016,9.773039889958733,0.5474452554744526,727
rotation,500,2021-2023,short,0.09397771269229856,0.7670643608223627,-0.1667562982174573,0.563563197893417,9.773039889958733,0.4883720930232558,727
rotation,500,2024-2026,full,0.06629274211122675,0.26684805652594024,-0.4739622485641384,0.13986924551915186,25.232558139534884,0.5291181364392679,602
rotation,500,2024-2026,long,0.1932676871129882,1.348716931028755,-0.21833235561221054,0.8851994775170164,12.616279069767442,0.5418060200668896,602
rotation,500,2024-2026,short,-0.12697494500176146,-0.6273004370032962,-0.42630589082405046,-0.2978493793654095,12.616279069767442,0.46846846846846846,602
rotation,1000,full,full,0.29539135415933027,1.1093707035394254,-0.49386795276279094,0.5981180850202064,23.241106719367586,0.5255354200988468,3036
